;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;45.811;493;35;443;31.120;131;4.095;149;3;560;403;1;0;4;27;103;65;0;0;83.443;32.383;290;11;64;36.571;251;3.956;4;7;534;348;1;0;0;20;104;72;0;0;74.616;78.194;783;46;507;67.691;382;8.051;153;10;1.094;751;2;0;4;47;207;137;0;0;158.059
;00:Até 0,50;114;1;0;0;7;12;50;1;0;262;2;0;0;0;0;0;0;0;0;449;157;1;0;0;19;18;65;0;0;254;0;0;0;0;0;0;0;0;0;514;271;2;0;0;26;30;115;1;0;516;2;0;0;0;0;0;0;0;0;963
;01:0,51 a 1,00;711;36;2;32;303;18;240;13;1;269;9;0;0;1;5;3;0;0;0;1.643;854;14;0;17;183;16;381;0;2;266;17;0;0;0;0;1;0;0;0;1.751;1.565;50;2;49;486;34;621;13;3;535;26;0;0;1;5;4;0;0;0;3.394
;02:1,01 a 1,50;13.576;219;22;155;3.222;1;781;34;1;24;150;1;0;1;5;50;2;0;0;18.244;15.409;175;6;30;6.744;5;827;1;4;13;129;1;0;0;4;68;1;0;0;23.417;28.985;394;28;185;9.966;6;1.608;35;5;37;279;2;0;1;9;118;3;0;0;41.661
;03:1,51 a 2,00;12.940;117;9;126;1.894;6;539;47;0;1;120;0;0;1;4;23;2;0;0;15.829;7.515;50;1;8;4.536;18;478;0;1;0;132;0;0;0;4;19;0;0;0;12.762;20.455;167;10;134;6.430;24;1.017;47;1;1;252;0;0;1;8;42;2;0;0;28.591
;04:2,01 a 3,00;8.961;90;2;101;5.211;7;862;51;0;1;68;0;0;1;1;15;6;0;0;15.377;3.716;26;2;5;6.468;7;665;3;0;0;43;0;0;0;4;10;12;0;0;10.961;12.677;116;4;106;11.679;14;1.527;54;0;1;111;0;0;1;5;25;18;0;0;26.338
;05:3,01 a 4,00;3.072;14;0;10;6.047;31;521;2;0;0;21;0;0;0;2;1;40;0;0;9.761;1.536;10;2;2;9.677;105;489;0;0;1;11;0;0;0;1;2;40;0;0;11.876;4.608;24;2;12;15.724;136;1.010;2;0;1;32;0;0;0;3;3;80;0;0;21.637
;06:4,01 a 5,00;1.411;2;0;6;3.097;7;277;1;0;0;7;0;0;0;2;2;10;0;0;4.822;771;1;0;1;2.019;15;337;0;0;0;3;0;0;0;1;0;14;0;0;3.162;2.182;3;0;7;5.116;22;614;1;0;0;10;0;0;0;3;2;24;0;0;7.984
;07:5,01 a 7,00;1.478;6;0;2;5.326;8;344;0;0;0;9;0;0;0;5;8;4;0;0;7.190;777;7;0;1;3.170;14;294;0;0;0;6;0;0;0;2;2;4;0;0;4.277;2.255;13;0;3;8.496;22;638;0;0;0;15;0;0;0;7;10;8;0;0;11.467
