;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
120040:Rio Branco - AC;Total;33.006;781;44;273;14.166;1.456;4.430;0;11;433;248;3;2;32;10;53;54;0;423;55.425;22.399;269;7;16;16.247;2.663;5.893;0;3;373;306;0;0;2;6;33;62;1;1.547;49.827;55.405;1.050;51;289;30.413;4.119;10.323;0;14;806;554;3;2;34;16;86;116;1;1.970;105.252
;00:Até 0,50;27;0;0;0;0;1;2;0;0;241;0;0;0;0;0;0;0;0;0;271;25;0;0;0;1;0;4;0;0;197;0;0;0;0;0;0;0;0;0;227;52;0;0;0;1;1;6;0;0;438;0;0;0;0;0;0;0;0;0;498
;01:0,51 a 1,00;961;218;12;47;25;3;15;0;0;174;12;1;1;1;1;2;0;0;0;1.473;1.138;68;1;5;16;1;63;0;0;162;10;0;0;1;2;4;0;0;7;1.478;2.099;286;13;52;41;4;78;0;0;336;22;1;1;2;3;6;0;0;7;2.951
;02:1,01 a 1,50;13.475;358;19;153;223;103;332;0;6;13;97;0;1;21;5;16;0;0;107;14.929;12.436;147;6;10;592;211;298;0;0;14;156;0;0;0;1;12;1;1;579;14.464;25.911;505;25;163;815;314;630;0;6;27;253;0;1;21;6;28;1;1;686;29.393
;03:1,51 a 2,00;7.600;120;1;39;535;249;817;0;3;1;68;2;0;4;1;14;1;0;47;9.502;3.710;21;0;1;1.517;809;616;0;1;0;75;0;0;1;0;6;2;0;63;6.822;11.310;141;1;40;2.052;1.058;1.433;0;4;1;143;2;0;5;1;20;3;0;110;16.324
;04:2,01 a 3,00;5.647;55;1;27;1.912;343;1.080;0;1;0;31;0;0;5;0;11;11;0;139;9.263;2.137;16;0;0;3.428;501;1.947;0;1;0;34;0;0;0;1;5;16;0;611;8.697;7.784;71;1;27;5.340;844;3.027;0;2;0;65;0;0;5;1;16;27;0;750;17.960
;05:3,01 a 4,00;1.856;11;1;2;3.791;242;782;0;0;0;25;0;0;0;1;4;22;0;72;6.809;1.025;12;0;0;2.926;399;1.166;0;1;0;13;0;0;0;0;3;20;0;153;5.718;2.881;23;1;2;6.717;641;1.948;0;1;0;38;0;0;0;1;7;42;0;225;12.527
;06:4,01 a 5,00;830;3;7;1;2.639;119;350;0;0;0;1;0;0;0;0;3;13;0;41;4.007;504;0;0;0;3.042;227;528;0;0;0;7;0;0;0;0;0;16;0;116;4.440;1.334;3;7;1;5.681;346;878;0;0;0;8;0;0;0;0;3;29;0;157;8.447
;07:5,01 a 7,00;793;4;1;0;2.081;98;334;0;0;0;2;0;0;1;1;2;6;0;8;3.331;528;1;0;0;2.361;294;454;0;0;0;2;0;0;0;1;1;4;0;6;3.652;1.321;5;1;0;4.442;392;788;0;0;0;4;0;0;1;2;3;10;0;14;6.983
;08:7,01 a 10,00;506;2;0;0;1.070;133;326;0;1;0;4;0;0;0;0;1;1;0;9;2.053;276;1;0;0;1.147;144;390;0;0;0;4;0;0;0;0;0;3;0;11;1.976;782;3;0;0;2.217;277;716;0;1;0;8;0;0;0;0;1;4;0;20;4.029
