;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;44.399;388;30;452;30.437;71;4.897;159;4;431;955;16;0;17;30;207;40;0;92;82.625;30.640;233;13;54;34.337;151;6.709;14;0;475;579;1;0;3;21;70;52;0;371;73.723;75.039;621;43;506;64.774;222;11.606;173;4;906;1.534;17;0;20;51;277;92;0;463;156.348
;00:Até 0,50;179;1;0;1;17;0;19;0;0;222;26;0;0;1;0;0;0;0;0;466;222;2;0;0;20;0;27;0;0;216;54;0;0;0;0;1;0;0;0;542;401;3;0;1;37;0;46;0;0;438;80;0;0;1;0;1;0;0;0;1.008
;01:0,51 a 1,00;2.385;55;1;33;308;16;193;12;0;168;154;0;0;3;3;9;1;0;0;3.341;3.108;27;1;13;259;20;272;3;0;208;124;0;0;1;1;7;0;0;0;4.044;5.493;82;2;46;567;36;465;15;0;376;278;0;0;4;4;16;1;0;0;7.385
;02:1,01 a 1,50;13.553;163;9;145;2.683;8;905;20;1;11;366;10;0;7;0;36;0;0;13;17.930;13.024;137;6;26;5.667;14;956;1;0;7;216;1;0;1;1;21;0;0;99;20.177;26.577;300;15;171;8.350;22;1.861;21;1;18;582;11;0;8;1;57;0;0;112;38.107
;03:1,51 a 2,00;11.141;82;8;141;1.528;2;759;28;1;1;181;5;0;4;5;60;0;0;20;13.966;5.573;24;5;12;3.411;0;1.480;6;0;0;71;0;0;0;5;20;0;0;83;10.690;16.714;106;13;153;4.939;2;2.239;34;1;1;252;5;0;4;10;80;0;0;103;24.656
;04:2,01 a 3,00;6.759;62;8;92;5.455;5;1.083;89;0;1;124;1;0;2;3;59;10;0;10;13.763;3.108;19;1;2;7.099;5;973;4;0;1;37;0;0;1;3;9;9;0;49;11.320;9.867;81;9;94;12.554;10;2.056;93;0;2;161;1;0;3;6;68;19;0;59;25.083
;05:3,01 a 4,00;2.724;11;2;20;6.486;34;728;9;1;0;21;0;0;0;3;4;19;0;14;10.076;1.309;12;0;1;8.848;104;1.372;0;0;0;15;0;0;0;0;2;15;0;58;11.736;4.033;23;2;21;15.334;138;2.100;9;1;0;36;0;0;0;3;6;34;0;72;21.812
;06:4,01 a 5,00;1.204;3;0;6;3.696;1;343;0;0;0;4;0;0;0;0;3;2;0;6;5.268;630;2;0;0;2.867;4;551;0;0;0;4;0;0;0;1;1;9;0;17;4.086;1.834;5;0;6;6.563;5;894;0;0;0;8;0;0;0;1;4;11;0;23;9.354
;07:5,01 a 7,00;1.434;7;0;3;3.869;1;430;0;0;0;5;0;0;0;1;3;5;0;10;5.768;759;3;0;0;2.288;1;589;0;0;0;4;0;0;0;1;1;12;0;18;3.676;2.193;10;0;3;6.157;2;1.019;0;0;0;9;0;0;0;2;4;17;0;28;9.444
