;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
;09:10,01 a 15,00;333;0;0;0;923;25;70;0;0;0;0;0;0;0;1;0;0;0;0;1.352;180;0;0;0;728;34;87;0;0;0;0;0;0;0;2;0;0;0;0;1.031;0;0;0;0;513;0;0;0;1.651;59;157;0;0;0;0;0;0;0;3;0;0;0;0;2.383
;10:15,01 a 20,00;163;0;0;0;376;7;10;0;0;0;1;0;0;0;0;2;0;0;0;559;104;0;0;0;253;2;7;0;0;0;0;0;0;0;0;0;0;0;0;366;0;0;0;0;267;0;0;0;629;9;17;0;0;0;1;0;0;0;0;2;0;0;0;925
;11:Mais de 20,00;338;1;0;0;272;20;3;0;0;0;1;0;0;0;2;0;0;0;0;637;174;0;0;0;130;19;1;0;0;0;0;0;0;0;3;0;0;0;0;327;0;0;0;0;512;1;0;0;402;39;4;0;0;0;1;0;0;0;5;0;0;0;0;964
;{ñ class};2.513;12;4;7;18;0;1;24;0;18;218;10;0;0;27;5;0;0;0;2.857;2.066;12;2;0;11;4;4;0;0;9;123;1;0;0;12;2;0;0;2;2.248;0;0;0;0;4.579;24;6;7;29;4;5;24;0;27;341;11;0;0;39;7;0;0;2;5.105
150140:Belém - PA;Total;155.616;424;536;111;68.946;467;12.126;1.744;444;1.935;5.957;11;0;20;150;920;799;0;0;250.206;98.441;915;316;4;59.065;730;16.184;18;350;1.883;4.335;20;1;0;118;927;385;0;0;183.692;0;1;0;1;254.057;1.339;852;115;128.011;1.197;28.310;1.762;794;3.819;10.292;31;1;20;268;1.847;1.184;0;0;433.899
;00:Até 0,50;900;0;2;0;28;1;1;0;5;1.136;286;1;0;0;0;1;0;0;0;2.361;766;1;2;0;10;0;0;0;8;1.083;283;2;0;0;0;3;0;0;0;2.158;0;0;0;0;1.666;1;4;0;38;1;1;0;13;2.219;569;3;0;0;0;4;0;0;0;4.519
;01:0,51 a 1,00;6.967;38;44;23;1.094;25;363;0;162;695;1.605;6;0;11;0;65;0;0;0;11.098;6.336;56;19;0;675;26;568;0;226;677;1.313;3;0;0;0;52;0;0;0;9.951;0;0;0;0;13.303;94;63;23;1.769;51;931;0;388;1.372;2.918;9;0;11;0;117;0;0;0;21.049
;02:1,01 a 1,50;56.604;227;227;66;3.889;24;2.075;0;207;31;2.417;3;0;8;1;438;436;0;0;66.653;43.114;530;184;2;5.910;49;3.242;0;81;29;1.793;13;0;0;0;574;158;0;0;55.679;0;0;0;0;99.718;757;411;68;9.799;73;5.317;0;288;60;4.210;16;0;8;1;1.012;594;0;0;122.332
;03:1,51 a 2,00;32.641;66;113;7;7.543;18;1.716;0;31;5;709;1;0;1;0;135;69;0;0;43.055;15.494;159;48;0;6.276;18;1.949;0;10;8;354;0;0;0;0;106;0;0;0;24.422;0;0;0;0;48.135;225;161;7;13.819;36;3.665;0;41;13;1.063;1;0;1;0;241;69;0;0;67.477
;04:2,01 a 3,00;23.563;21;45;6;5.544;23;2.577;0;15;4;410;0;0;0;0;68;144;0;0;32.420;9.972;58;20;0;5.604;17;2.846;0;8;5;266;1;0;0;0;60;58;0;0;18.915;0;0;0;0;33.535;79;65;6;11.148;40;5.423;0;23;9;676;1;0;0;0;128;202;0;0;51.335
;05:3,01 a 4,00;7.094;12;24;0;10.933;6;2.265;0;3;4;112;0;0;0;0;32;100;0;0;20.585;4.160;13;7;2;6.000;8;2.359;0;2;5;67;0;0;0;1;23;104;0;0;12.751;0;0;0;0;11.254;25;31;2;16.933;14;4.624;0;5;9;179;0;0;0;1;55;204;0;0;33.336
;06:4,01 a 5,00;3.283;4;9;0;11.587;34;595;0;4;0;43;0;0;0;0;16;17;0;0;15.592;2.335;6;1;0;6.342;47;1.155;0;1;3;20;0;0;0;2;9;27;0;0;9.948;0;0;0;0;5.618;10;10;0;17.929;81;1.750;0;5;3;63;0;0;0;2;25;44;0;0;25.540
;07:5,01 a 7,00;3.773;5;10;0;6.580;108;1.227;0;2;2;31;0;0;0;0;17;13;0;0;11.768;2.832;7;3;0;8.413;196;2.364;0;2;4;13;0;0;0;0;2;21;0;0;13.857;0;0;0;0;6.605;12;13;0;14.993;304;3.591;0;4;6;44;0;0;0;0;19;34;0;0;25.625
;08:7,01 a 10,00;3.112;3;4;0;9.673;106;791;1;3;0;10;0;0;0;1;31;6;0;0;13.741;1.997;0;0;0;11.609;182;1.014;0;3;0;7;0;0;0;1;1;6;0;0;14.820;0;0;0;0;5.109;3;4;0;21.282;288;1.805;1;6;0;17;0;0;0;2;32;12;0;0;28.561
;09:10,01 a 15,00;2.513;2;4;0;6.847;63;351;1;0;0;3;0;0;0;6;11;7;0;0;9.808;1.666;4;2;0;5.047;96;521;0;4;0;5;0;0;0;1;4;5;0;0;7.355;0;0;0;0;4.179;6;6;0;11.894;159;872;1;4;0;8;0;0;0;7;15;12;0;0;17.163
;10:15,01 a 20,00;1.028;1;1;0;2.399;43;68;0;0;0;2;0;0;0;7;2;5;0;0;3.556;948;4;2;0;1.503;73;101;0;0;0;0;0;0;0;5;2;6;0;0;2.644;0;0;0;0;1.976;5;3;0;3.902;116;169;0;0;0;2;0;0;0;12;4;11;0;0;6.200
;11:Mais de 20,00;1.601;1;3;0;2.755;16;77;109;1;0;0;0;0;0;32;0;1;0;0;4.596;1.266;0;1;0;1.644;18;50;0;0;0;2;0;0;0;19;2;0;0;0;3.002;0;0;0;0;2.867;1;4;0;4.399;34;127;109;1;0;2;0;0;0;51;2;1;0;0;7.598
;{ñ class};12.537;44;50;9;74;0;20;1.633;11;58;329;0;0;0;103;104;1;0;0;14.973;7.555;77;27;0;32;0;15;18;5;69;212;1;1;0;89;89;0;0;0;8.190;0;1;0;1;20.092;121;77;9;106;0;35;1.651;16;128;541;1;1;0;192;193;1;0;0;23.164
160030:Macapá - AP;Total;35.872;181;26;80;17.215;111;4.287;3;0;202;2.130;5;0;3;26;524;61;11;0;60.737;25.778;145;6;5;19.005;73;6.352;0;0;206;1.498;1;0;0;22;290;61;6;0;53.448;0;0;0;0;61.650;326;32;85;36.220;184;10.639;3;0;408;3.628;6;0;3;48;814;122;17;0;114.185
;00:Até 0,50;86;0;0;1;144;0;4;0;0;121;79;0;0;0;0;10;0;0;0;445;77;3;0;0;167;0;2;0;0;138;75;0;0;0;0;2;0;0;0;464;0;0;0;0;163;3;0;1;311;0;6;0;0;259;154;0;0;0;0;12;0;0;0;909
;01:0,51 a 1,00;2.685;44;3;24;381;11;138;0;0;66;690;3;0;0;1;70;0;0;0;4.116;2.223;20;2;0;636;9;100;0;0;54;546;0;0;0;0;41;0;0;0;3.631;0;0;0;0;4.908;64;5;24;1.017;20;238;0;0;120;1.236;3;0;0;1;111;0;0;0;7.747
;02:1,01 a 1,50;15.794;99;10;38;296;71;243;0;0;4;878;0;0;3;0;408;0;11;0;17.855;13.531;86;2;3;257;45;237;0;0;2;620;0;0;0;0;234;0;6;0;15.023;0;0;0;0;29.325;185;12;41;553;116;480;0;0;6;1.498;0;0;3;0;642;0;17;0;32.878
;03:1,51 a 2,00;5.599;18;6;9;177;7;590;0;0;0;213;1;0;0;0;20;0;0;0;6.640;3.011;18;1;0;172;8;840;0;0;0;109;0;0;0;0;7;0;0;0;4.166;0;0;0;0;8.610;36;7;9;349;15;1.430;0;0;0;322;1;0;0;0;27;0;0;0;10.806
;04:2,01 a 3,00;4.488;5;1;4;1.045;17;990;0;0;1;119;0;0;0;3;4;13;0;0;6.690;2.241;3;1;0;902;8;1.347;0;0;0;65;1;0;0;0;1;19;0;0;4.588;0;0;0;0;6.729;8;2;4;1.947;25;2.337;0;0;1;184;1;0;0;3;5;32;0;0;11.278
;05:3,01 a 4,00;1.431;3;1;0;1.549;2;1.108;0;0;1;21;0;0;0;0;3;31;0;0;4.150;867;7;0;0;1.927;2;2.240;0;0;1;9;0;0;0;0;0;30;0;0;5.083;0;0;0;0;2.298;10;1;0;3.476;4;3.348;0;0;2;30;0;0;0;0;3;61;0;0;9.233
;06:4,01 a 5,00;571;0;0;0;2.771;1;271;0;0;0;13;0;0;0;1;0;13;0;0;3.641;377;0;0;0;2.475;0;460;0;0;1;2;0;0;0;0;0;5;0;0;3.320;0;0;0;0;948;0;0;0;5.246;1;731;0;0;1;15;0;0;0;1;0;18;0;0;6.961
;07:5,01 a 7,00;598;1;0;0;4.123;2;360;0;0;0;4;0;0;0;0;0;3;0;0;5.091;337;1;0;0;5.905;0;676;0;0;0;3;0;0;0;0;0;6;0;0;6.928;0;0;0;0;935;2;0;0;10.028;2;1.036;0;0;0;7;0;0;0;0;0;9;0;0;12.019
;08:7,01 a 10,00;453;0;1;0;3.155;0;201;0;0;0;2;0;0;0;0;0;1;0;0;3.813;235;1;0;0;3.826;1;181;0;0;0;0;0;0;0;2;0;1;0;0;4.247;0;0;0;0;688;1;1;0;6.981;1;382;0;0;0;2;0;0;0;2;0;2;0;0;8.060
;09:10,01 a 15,00;415;0;0;0;1.922;0;81;0;0;0;1;0;0;0;0;0;0;0;0;2.419;191;1;0;0;1.870;0;103;0;0;0;1;0;0;0;0;0;0;0;0;2.166;0;0;0;0;606;1;0;0;3.792;0;184;0;0;0;2;0;0;0;0;0;0;0;0;4.585
;10:15,01 a 20,00;210;1;1;0;828;0;64;0;0;0;1;0;0;0;0;1;0;0;0;1.106;92;0;0;0;455;0;41;0;0;0;0;0;0;0;0;0;0;0;0;588;0;0;0;0;302;1;1;0;1.283;0;105;0;0;0;1;0;0;0;0;1;0;0;0;1.694
;11:Mais de 20,00;335;1;0;0;738;0;227;0;0;0;0;0;0;0;6;0;0;0;0;1.307;144;0;0;0;382;0;110;0;0;0;0;0;0;0;2;0;0;0;0;638;0;0;0;0;479;1;0;0;1.120;0;337;0;0;0;0;0;0;0;8;0;0;0;0;1.945
;{ñ class};3.207;9;3;4;86;0;10;3;0;9;109;1;0;0;15;8;0;0;0;3.464;2.452;5;0;2;31;0;15;0;0;10;68;0;0;0;18;5;0;0;0;2.606;0;0;0;0;5.659;14;3;6;117;0;25;3;0;19;177;1;0;0;33;13;0;0;0;6.070
172100:Palmas - TO;Total;34.738;360;70;57;20.417;211;2.386;0;1;588;2.752;28;0;3;16;30;87;9.355;407;71.506;26.740;289;37;1;22.665;369;2.794;0;0;618;2.476;8;0;1;11;30;93;19.509;751;76.392;0;0;0;0;61.478;649;107;58;43.082;580;5.180;0;1;1.206;5.228;36;0;4;27;60;180;28.864;1.158;147.898
;00:Até 0,50;218;0;0;0;8;0;1;0;0;310;126;0;0;0;0;1;0;3;3;670;353;1;0;0;6;0;0;0;0;320;109;0;0;0;0;0;0;38;2;829;0;0;0;0;571;1;0;0;14;0;1;0;0;630;235;0;0;0;0;1;0;41;5;1.499
;01:0,51 a 1,00;1.514;44;2;7;78;3;59;0;0;249;722;12;0;2;0;2;0;3.173;88;5.955;1.611;18;2;1;102;8;87;0;0;276;710;2;0;1;0;2;0;5.642;60;8.522;0;0;0;0;3.125;62;4;8;180;11;146;0;0;525;1.432;14;0;3;0;4;0;8.815;148;14.477
;02:1,01 a 1,50;11.062;115;9;18;1.529;8;853;0;0;17;1.113;10;0;0;0;3;0;1.492;178;16.407;12.284;120;14;0;1.202;23;911;0;0;13;1.112;6;0;0;0;9;0;3.698;277;19.669;0;0;0;0;23.346;235;23;18;2.731;31;1.764;0;0;30;2.225;16;0;0;0;12;0;5.190;455;36.076
;03:1,51 a 2,00;6.896;48;11;2;1.058;31;292;0;0;0;361;6;0;0;0;4;2;508;21;9.240;4.008;49;5;0;1.450;35;370;0;0;0;246;0;0;0;0;5;1;882;135;7.186;0;0;0;0;10.904;97;16;2;2.508;66;662;0;0;0;607;6;0;0;0;9;3;1.390;156;16.426
;04:2,01 a 3,00;6.659;52;11;11;1.701;73;362;0;0;0;224;0;0;0;0;10;23;1.642;9;10.777;2.843;40;6;0;3.379;163;482;0;0;0;131;0;0;0;0;9;27;4.345;45;11.470;0;0;0;0;9.502;92;17;11;5.080;236;844;0;0;0;355;0;0;0;0;19;50;5.987;54;22.247
;05:3,01 a 4,00;2.080;19;8;7;2.224;25;314;0;0;0;51;0;0;1;0;4;47;1.969;10;6.759;1.225;18;4;0;2.511;36;440;0;0;1;58;0;0;0;0;1;47;4.351;62;8.754;0;0;0;0;3.305;37;12;7;4.735;61;754;0;0;1;109;0;0;1;0;5;94;6.320;72;15.513
;06:4,01 a 5,00;1.041;7;2;1;2.553;34;84;0;0;0;18;0;0;0;0;1;10;140;26;3.917;580;4;2;0;3.993;52;76;0;0;0;11;0;0;0;0;1;11;184;78;4.992;0;0;0;0;1.621;11;4;1;6.546;86;160;0;0;0;29;0;0;0;0;2;21;324;104;8.909
;07:5,01 a 7,00;823;3;3;0;2.862;34;240;0;0;0;13;0;0;0;0;1;4;29;30;4.042;552;3;2;0;4.447;46;313;0;0;0;8;0;0;0;0;0;7;41;65;5.484;0;0;0;0;1.375;6;5;0;7.309;80;553;0;0;0;21;0;0;0;0;1;11;70;95;9.526
;08:7,01 a 10,00;587;6;1;0;2.985;3;107;0;0;0;7;0;0;0;0;1;1;206;21;3.925;353;3;0;0;2.288;5;58;0;0;0;6;0;0;0;0;1;0;177;20;2.911;0;0;0;0;940;9;1;0;5.273;8;165;0;0;0;13;0;0;0;0;2;1;383;41;6.836
;09:10,01 a 15,00;396;0;2;0;2.757;0;37;0;0;0;2;0;0;0;0;0;0;146;4;3.344;247;0;0;0;1.839;1;22;0;0;0;1;0;0;0;0;0;0;88;2;2.200;0;0;0;0;643;0;2;0;4.596;1;59;0;0;0;3;0;0;0;0;0;0;234;6;5.544
;10:15,01 a 20,00;175;0;1;0;1.450;0;32;0;0;0;2;0;0;0;0;0;0;13;0;1.673;108;0;0;0;742;0;31;0;0;0;0;0;0;0;2;0;0;12;0;895;0;0;0;0;283;0;1;0;2.192;0;63;0;0;0;2;0;0;0;2;0;0;25;0;2.568
;11:Mais de 20,00;330;2;4;0;1.191;0;1;0;0;0;1;0;0;0;2;0;0;23;0;1.554;195;3;0;0;678;0;0;0;0;0;0;0;0;0;3;0;0;12;0;891;0;0;0;0;525;5;4;0;1.869;0;1;0;0;0;1;0;0;0;5;0;0;35;0;2.445
;{ñ class};2.957;64;16;11;21;0;4;0;1;12;112;0;0;0;14;3;0;11;17;3.243;2.381;30;2;0;28;0;4;0;0;8;84;0;0;0;6;2;0;39;5;2.589;0;0;0;0;5.338;94;18;11;49;0;8;0;1;20;196;0;0;0;20;5;0;50;22;5.832
211130:São Luiz - MA;Total;152.046;207;346;11;34.493;1.756;6.713;490;6.801;1.531;9.561;3;0;1;197;670;85;6;56;214.973;117.311;289;339;0;34.291;1.841;9.659;2;7.545;1.678;5.673;9;0;0;88;140;101;7;117;179.090;0;0;0;0;269.357;496;685;11;68.784;3.597;16.372;492;14.346;3.209;15.234;12;0;1;285;810;186;13;173;394.063
;00:Até 0,50;457;2;0;0;4;0;2;7;0;379;486;0;0;0;0;4;0;0;2;1.343;570;0;3;0;1;0;10;0;0;436;271;0;0;0;0;1;0;0;5;1.297;0;0;0;0;1.027;2;3;0;5;0;12;7;0;815;757;0;0;0;0;5;0;0;7;2.640
;01:0,51 a 1,00;6.784;19;6;1;43;265;712;10;4;942;2.422;1;0;0;0;82;0;3;16;11.310;6.919;21;13;0;43;273;1.255;0;1;1.012;1.483;4;0;0;0;14;0;0;52;11.090;0;0;0;0;13.703;40;19;1;86;538;1.967;10;5;1.954;3.905;5;0;0;0;96;0;3;68;22.400
;02:1,01 a 1,50;56.217;87;126;6;1.282;159;2.710;2;1.561;74;3.490;1;0;1;0;213;0;0;21;65.950;54.308;135;157;0;2.244;155;4.223;0;646;102;2.455;2;0;0;0;45;0;4;29;64.505;0;0;0;0;110.525;222;283;6;3.526;314;6.933;2;2.207;176;5.945;3;0;1;0;258;0;4;50;130.455
;03:1,51 a 2,00;27.928;32;72;1;2.294;79;494;1;2.574;2;1.436;0;0;0;1;189;0;1;9;35.113;16.094;40;59;0;2.869;99;853;0;4.559;1;583;1;0;0;0;26;0;0;18;25.202;0;0;0;0;44.022;72;131;1;5.163;178;1.347;1;7.133;3;2.019;1;0;0;1;215;0;1;27;60.315
;04:2,01 a 3,00;22.509;24;72;1;3.818;248;992;1;1.442;8;849;1;0;0;0;62;22;1;2;30.052;14.925;32;48;0;4.680;247;1.265;0;566;10;483;1;0;0;1;13;25;2;8;22.306;0;0;0;0;37.434;56;120;1;8.498;495;2.257;1;2.008;18;1.332;2;0;0;1;75;47;3;10;52.358
;05:3,01 a 4,00;8.563;9;31;0;4.979;108;551;3;878;2;201;0;0;0;0;18;46;0;6;15.395;5.672;14;26;0;7.212;71;684;0;1.340;5;128;0;0;0;0;7;54;0;2;15.215;0;0;0;0;14.235;23;57;0;12.191;179;1.235;3;2.218;7;329;0;0;0;0;25;100;0;8;30.610
;06:4,01 a 5,00;4.269;0;10;0;7.600;114;459;1;261;3;77;0;0;0;1;9;8;0;0;12.812;2.294;5;8;0;7.548;128;572;0;402;4;39;0;0;0;2;1;15;1;1;11.020;0;0;0;0;6.563;5;18;0;15.148;242;1.031;1;663;7;116;0;0;0;3;10;23;1;1;23.832
;07:5,01 a 7,00;4.575;6;4;0;5.590;295;442;2;45;7;46;0;0;0;3;2;8;0;0;11.025;2.422;7;3;0;4.091;332;504;0;20;7;34;0;0;0;0;0;7;0;0;7.427;0;0;0;0;6.997;13;7;0;9.681;627;946;2;65;14;80;0;0;0;3;2;15;0;0;18.452
;08:7,01 a 10,00;3.138;1;2;0;3.891;217;261;5;30;3;33;0;0;0;1;9;1;0;0;7.592;1.540;1;4;0;3.034;215;221;0;10;1;12;0;0;0;3;1;0;0;0;5.042;0;0;0;0;4.678;2;6;0;6.925;432;482;5;40;4;45;0;0;0;4;10;1;0;0;12.634
;09:10,01 a 15,00;2.228;6;1;0;2.514;65;81;20;4;1;17;0;0;0;3;3;0;1;0;4.944;1.098;2;5;0;1.363;77;65;0;1;1;12;0;0;0;0;1;0;0;0;2.625;0;0;0;0;3.326;8;6;0;3.877;142;146;20;5;2;29;0;0;0;3;4;0;1;0;7.569
;10:15,01 a 20,00;1.022;0;1;0;1.185;194;4;1;0;1;3;0;0;0;4;0;0;0;0;2.415;565;0;3;0;540;236;3;0;0;2;5;0;0;0;4;0;0;0;0;1.358;0;0;0;0;1.587;0;4;0;1.725;430;7;1;0;3;8;0;0;0;8;0;0;0;0;3.773
;11:Mais de 20,00;1.496;0;5;0;1.281;12;2;55;0;0;2;0;0;0;70;0;0;0;0;2.923;691;0;1;0;649;8;1;1;0;0;4;0;0;0;42;0;0;0;0;1.397;0;0;0;0;2.187;0;6;0;1.930;20;3;56;0;0;6;0;0;0;112;0;0;0;0;4.320
;{ñ class};12.860;21;16;2;12;0;3;382;2;109;499;0;0;0;114;79;0;0;0;14.099;10.213;32;9;0;17;0;3;1;0;97;164;1;0;0;36;31;0;0;2;10.606;0;0;0;0;23.073;53;25;2;29;0;6;383;2;206;663;1;0;0;150;110;0;0;2;24.705
221100:Terezina - PI;Total;113.520;574;325;113;29.925;55;2.687;358;336;1.405;4.953;28;0;1;88;268;262;52;0;154.950;77.045;399;137;3;31.807;36;4.193;0;273;1.467;3.246;9;0;0;48;172;909;96;0;119.840;0;0;0;0;190.565;973;462;116;61.732;91;6.880;358;609;2.872;8.199;37;0;1;136;440;1.171;148;0;274.790
;00:Até 0,50;558;0;3;0;29;0;1;4;2;814;304;4;0;0;0;3;0;0;0;1.722;378;1;6;0;25;0;3;0;0;905;205;1;0;0;0;6;0;0;0;1.530;0;0;0;0;936;1;9;0;54;0;4;4;2;1.719;509;5;0;0;0;9;0;0;0;3.252
;01:0,51 a 1,00;7.960;97;15;33;107;0;154;4;3;521;1.871;7;0;1;0;50;1;2;0;10.826;6.338;22;9;1;84;0;162;0;1;495;1.518;2;0;0;0;78;2;0;0;8.712;0;0;0;0;14.298;119;24;34;191;0;316;4;4;1.016;3.389;9;0;1;0;128;3;2;0;19.538
;02:1,01 a 1,50;54.614;217;188;64;2.513;9;1.081;8;214;12;2.031;16;0;0;2;152;12;1;0;61.134;42.542;193;68;2;2.187;3;2.162;0;185;9;1.165;4;0;0;0;59;9;5;0;48.593;0;0;0;0;97.156;410;256;66;4.700;12;3.243;8;399;21;3.196;20;0;0;2;211;21;6;0;109.727
;03:1,51 a 2,00;17.749;60;48;4;3.010;6;463;8;63;4;333;0;0;0;0;22;25;0;0;21.795;8.119;65;19;0;3.950;1;734;0;46;4;122;2;0;0;0;9;23;0;0;13.094;0;0;0;0;25.868;125;67;4;6.960;7;1.197;8;109;8;455;2;0;0;0;31;48;0;0;34.889
;04:2,01 a 3,00;10.517;39;32;2;3.386;5;426;3;23;5;156;1;0;0;0;13;79;8;0;14.695;5.892;29;15;0;5.702;7;583;0;26;3;95;0;0;0;2;8;371;11;0;12.744;0;0;0;0;16.409;68;47;2;9.088;12;1.009;3;49;8;251;1;0;0;2;21;450;19;0;27.439
;05:3,01 a 4,00;3.477;22;1;0;7.367;9;175;7;25;4;33;0;0;0;1;3;115;41;0;11.280;2.760;34;1;0;7.711;10;162;0;8;4;21;0;0;0;1;1;463;78;0;11.254;0;0;0;0;6.237;56;2;0;15.078;19;337;7;33;8;54;0;0;0;2;4;578;119;0;22.534
;06:4,01 a 5,00;2.133;6;3;0;2.007;11;97;3;3;1;7;0;0;0;0;1;25;0;0;4.297;1.383;9;3;0;2.482;5;147;0;3;4;5;0;0;0;0;0;34;1;0;4.076;0;0;0;0;3.516;15;6;0;4.489;16;244;3;6;5;12;0;0;0;0;1;59;1;0;8.373
;07:5,01 a 7,00;1.991;3;4;0;1.920;8;95;11;0;1;13;0;0;0;0;1;5;0;0;4.052;1.359;6;1;0;3.454;6;112;0;0;0;4;0;0;0;2;1;7;1;0;4.953;0;0;0;0;3.350;9;5;0;5.374;14;207;11;0;1;17;0;0;0;2;2;12;1;0;9.005
;08:7,01 a 10,00;1.819;2;4;0;3.805;3;88;37;2;0;2;0;0;0;0;2;0;0;0;5.764;1.365;3;1;0;2.618;1;67;0;4;0;4;0;0;0;0;0;0;0;0;4.063;0;0;0;0;3.184;5;5;0;6.423;4;155;37;6;0;6;0;0;0;0;2;0;0;0;9.827
;09:10,01 a 15,00;1.537;2;4;1;3.591;3;12;119;0;0;1;0;0;0;1;1;0;0;0;5.272;983;0;1;0;2.303;2;11;0;0;0;1;0;0;0;2;0;0;0;0;3.303;0;0;0;0;2.520;2;5;1;5.894;5;23;119;0;0;2;0;0;0;3;1;0;0;0;8.575
;10:15,01 a 20,00;588;0;2;0;1.175;1;4;1;0;0;0;0;0;0;3;0;0;0;0;1.774;338;1;2;0;754;1;1;0;0;0;0;0;0;0;5;0;0;0;0;1.102;0;0;0;0;926;1;4;0;1.929;2;5;1;0;0;0;0;0;0;8;0;0;0;0;2.876
;11:Mais de 20,00;852;0;0;0;991;0;5;13;0;0;1;0;0;0;28;0;0;0;0;1.890;503;1;0;0;525;0;0;0;0;0;0;0;0;0;11;0;0;0;0;1.040;0;0;0;0;1.355;1;0;0;1.516;0;5;13;0;0;1;0;0;0;39;0;0;0;0;2.930
;{ñ class};9.725;126;21;9;24;0;86;140;1;43;201;0;0;0;53;20;0;0;0;10.449;5.085;35;11;0;12;0;49;0;0;43;106;0;0;0;25;10;0;0;0;5.376;0;0;0;0;14.810;161;32;9;36;0;135;140;1;86;307;0;0;0;78;30;0;0;0;15.825
230440:Fortaleza - CE;Total;358.342;609;542;23;64.981;86;3.255;479;350;3.812;20.942;14;0;1;150;614;586;9.713;1.293;465.792;257.423;1.810;336;5;58.964;103;3.791;6;254;4.131;15.460;32;0;0;89;413;349;13.276;6.591;363.033;0;0;2;2;615.765;2.419;878;28;123.945;189;7.046;485;604;7.943;36.404;46;0;1;239;1.027;935;22.989;7.884;828.827
;00:Até 0,50;1.397;0;0;0;165;0;1;1;24;1.314;1.174;1;0;0;0;5;0;1.045;1;5.128;1.314;4;1;0;94;0;0;0;16;1.405;906;1;0;0;0;6;0;1.405;2;5.154;0;0;0;0;2.711;4;1;0;259;0;1;1;40;2.719;2.080;2;0;0;0;11;0;2.450;3;10.282
;01:0,51 a 1,00;20.475;22;16;3;493;0;155;1;72;2.244;6.999;3;0;0;0;107;1;2.206;3;32.800;20.358;65;13;1;1.344;0;96;0;50;2.461;5.897;6;0;0;0;27;1;2.904;11;33.234;0;0;0;0;40.833;87;29;4;1.837;0;251;1;122;4.705;12.896;9;0;0;0;134;2;5.110;14;66.034
;02:1,01 a 1,50;160.570;268;259;15;1.152;6;260;1;166;32;8.126;3;0;1;0;272;324;1.186;94;172.735;132.050;1.193;162;2;1.209;5;259;0;122;42;5.762;24;0;0;0;192;171;1.475;735;143.403;0;0;0;0;292.620;1.461;421;17;2.361;11;519;1;288;74;13.888;27;0;1;0;464;495;2.661;829;316.138
;03:1,51 a 2,00;60.624;111;104;3;2.330;22;454;2;23;5;1.795;1;0;0;0;86;2;983;185;66.730;30.020;171;50;0;3.464;24;407;0;14;4;809;1;0;0;1;82;4;1.510;925;37.486;0;0;0;0;90.644;282;154;3;5.794;46;861;2;37;9;2.604;2;0;0;1;168;6;2.493;1.110;104.216
;04:2,01 a 3,00;45.318;74;61;0;6.922;13;767;1;20;9;1.102;1;0;0;1;17;147;952;190;55.595;23.236;108;53;1;13.611;17;1.119;0;13;10;779;0;0;0;1;34;84;1.369;956;41.391;0;0;0;0;68.554;182;114;1;20.533;30;1.886;1;33;19;1.881;1;0;0;2;51;231;2.321;1.146;96.986
