;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;47.119;512;53;403;32.457;161;4.580;147;4;612;356;3;1;3;43;78;40;0;0;86.572;33.500;337;15;75;38.503;255;3.774;3;3;546;379;0;0;0;24;61;41;0;0;77.516;80.619;849;68;478;70.960;416;8.354;150;7;1.158;735;3;1;3;67;139;81;0;0;164.088
;00:Até 0,50;98;0;0;0;7;1;32;2;0;287;1;0;0;0;0;0;0;0;0;428;119;0;0;0;9;2;21;0;0;247;0;0;0;0;0;0;0;0;0;398;217;0;0;0;16;3;53;2;0;534;1;0;0;0;0;0;0;0;0;826
;01:0,51 a 1,00;888;49;3;39;124;27;300;16;1;281;17;0;0;0;6;2;1;0;0;1.754;1.098;25;1;16;176;41;265;0;0;254;7;0;0;0;5;2;1;0;0;1.891;1.986;74;4;55;300;68;565;16;1;535;24;0;0;0;11;4;2;0;0;3.645
;02:1,01 a 1,50;13.842;189;17;154;3.330;15;474;33;0;42;103;0;0;1;9;31;2;0;0;18.242;16.533;186;10;42;6.486;21;595;1;0;44;123;0;0;0;1;39;3;0;0;24.084;30.375;375;27;196;9.816;36;1.069;34;0;86;226;0;0;1;10;70;5;0;0;42.326
;03:1,51 a 2,00;11.682;126;19;124;2.074;13;487;40;1;1;84;3;1;0;9;20;0;0;0;14.684;6.968;61;2;8;4.977;18;605;1;3;1;112;0;0;0;7;8;1;0;0;12.772;18.650;187;21;132;7.051;31;1.092;41;4;2;196;3;1;0;16;28;1;0;0;27.456
;04:2,01 a 3,00;10.348;86;11;73;6.394;11;1.289;50;1;0;55;0;0;2;6;12;6;0;0;18.344;4.018;37;1;8;9.508;11;815;1;0;0;48;0;0;0;5;8;8;0;0;14.468;14.366;123;12;81;15.902;22;2.104;51;1;0;103;0;0;2;11;20;14;0;0;32.812
;05:3,01 a 4,00;3.116;35;2;4;5.171;19;673;3;0;0;46;0;0;0;3;3;16;0;0;9.091;1.545;13;1;1;8.318;30;523;0;0;0;32;0;0;0;0;2;19;0;0;10.484;4.661;48;3;5;13.489;49;1.196;3;0;0;78;0;0;0;3;5;35;0;0;19.575
;06:4,01 a 5,00;1.548;17;0;2;4.164;27;427;0;0;0;13;0;0;0;0;3;12;0;0;6.213;800;1;0;0;2.375;81;304;0;0;0;15;0;0;0;1;1;7;0;0;3.585;2.348;18;0;2;6.539;108;731;0;0;0;28;0;0;0;1;4;19;0;0;9.798
;07:5,01 a 7,00;1.660;3;0;1;4.224;4;355;0;0;0;16;0;0;0;1;6;3;0;0;6.273;860;7;0;0;2.733;5;221;0;0;0;24;0;0;0;3;1;1;0;0;3.855;2.520;10;0;1;6.957;9;576;0;0;0;40;0;0;0;4;7;4;0;0;10.128
;08:7,01 a 10,00;1.204;0;0;0;2.519;2;216;0;1;0;12;0;0;0;0;1;0;0;0;3.955;615;2;0;0;1.434;4;156;0;0;0;10;0;0;0;1;0;1;0;0;2.223;1.819;2;0;0;3.953;6;372;0;1;0;22;0;0;0;1;1;1;0;0;6.178
;09:10,01 a 15,00;685;1;0;0;2.256;1;105;0;0;0;5;0;0;0;0;0;0;0;0;3.053;284;0;0;0;1.510;2;129;0;0;0;6;0;0;0;0;0;0;0;0;1.931;969;1;0;0;3.766;3;234;0;0;0;11;0;0;0;0;0;0;0;0;4.984
;10:15,01 a 20,00;249;0;0;0;1.170;0;42;0;0;0;2;0;0;0;0;0;0;0;0;1.463;73;0;0;0;515;0;39;0;0;0;1;0;0;0;0;0;0;0;0;628;322;0;0;0;1.685;0;81;0;0;0;3;0;0;0;0;0;0;0;0;2.091
;11:Mais de 20,00;381;0;0;0;1.001;18;123;0;0;0;0;0;0;0;9;0;0;0;0;1.532;69;0;0;0;407;6;38;0;0;0;0;0;0;0;1;0;0;0;0;521;450;0;0;0;1.408;24;161;0;0;0;0;0;0;0;10;0;0;0;0;2.053
;{ñ class};1.418;6;1;6;23;23;57;3;0;1;2;0;0;0;0;0;0;0;0;1.540;518;5;0;0;55;34;63;0;0;0;1;0;0;0;0;0;0;0;0;676;1.936;11;1;6;78;57;120;3;0;1;3;0;0;0;0;0;0;0;0;2.216
120040:Rio Branco - AC;Total;30.037;783;36;295;13.620;1.430;4.531;0;8;391;231;5;0;35;6;45;59;1;122;51.635;21.206;253;6;11;15.287;2.589;6.203;0;4;389;505;2;0;4;2;19;78;1;205;46.764;51.243;1.036;42;306;28.907;4.019;10.734;0;12;780;736;7;0;39;8;64;137;2;327;98.399
;00:Até 0,50;29;0;0;1;2;1;3;0;0;216;0;0;0;0;0;0;0;0;0;252;18;0;0;0;1;0;9;0;0;231;0;0;0;0;0;0;0;0;0;259;47;0;0;1;3;1;12;0;0;447;0;0;0;0;0;0;0;0;0;511
;01:0,51 a 1,00;1.022;166;7;49;42;3;64;0;0;158;4;0;0;3;0;2;0;0;0;1.520;1.226;57;3;3;30;1;132;0;0;139;3;1;0;0;0;0;0;0;4;1.599;2.248;223;10;52;72;4;196;0;0;297;7;1;0;3;0;2;0;0;4;3.119
;02:1,01 a 1,50;13.135;414;15;189;273;185;565;0;5;12;157;2;0;23;0;14;0;0;15;15.004;12.443;137;3;8;814;221;596;0;1;19;421;0;0;3;1;13;1;1;63;14.745;25.578;551;18;197;1.087;406;1.161;0;6;31;578;2;0;26;1;27;1;1;78;29.749
;03:1,51 a 2,00;6.767;121;1;29;601;327;731;0;1;1;35;3;0;6;1;14;0;1;15;8.654;2.944;25;0;0;1.444;820;545;0;0;0;44;0;0;1;0;4;0;0;36;5.863;9.711;146;1;29;2.045;1.147;1.276;0;1;1;79;3;0;7;1;18;0;1;51;14.517
;04:2,01 a 3,00;4.444;53;2;17;2.254;400;1.595;0;0;0;18;0;0;2;1;7;18;0;51;8.862;1.907;20;0;0;3.592;631;2.935;0;0;0;21;0;0;0;0;1;16;0;60;9.183;6.351;73;2;17;5.846;1.031;4.530;0;0;0;39;0;0;2;1;8;34;0;111;18.045
;05:3,01 a 4,00;1.614;9;2;4;3.871;187;490;0;1;0;5;0;0;0;1;5;26;0;29;6.244;970;6;0;0;2.996;409;734;0;3;0;2;0;0;0;0;0;34;0;26;5.180;2.584;15;2;4;6.867;596;1.224;0;4;0;7;0;0;0;1;5;60;0;55;11.424
