;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;35.242;393;65;376;24.558;1;3.063;149;55;195;239;18;0;6;118;14;1;0;0;64.493;20.253;279;9;39;30.764;5;2.525;1;1;152;319;5;2;1;45;2;0;0;0;54.402;55.495;672;74;415;55.322;6;5.588;150;56;347;558;23;2;7;163;16;1;0;0;118.895
;00:Até 0,50;37;1;0;0;27;0;16;4;0;33;0;0;0;0;0;0;0;0;0;118;49;0;0;0;14;0;6;0;0;23;0;0;0;0;0;0;0;0;0;92;86;1;0;0;41;0;22;4;0;56;0;0;0;0;0;0;0;0;0;210
;01:0,51 a 1,00;820;41;2;51;1.538;0;131;24;0;125;9;1;0;1;61;0;0;0;0;2.804;806;60;1;18;3.375;0;187;0;0;99;4;0;0;1;20;0;0;0;0;4.571;1.626;101;3;69;4.913;0;318;24;0;224;13;1;0;2;81;0;0;0;0;7.375
;02:1,01 a 1,50;12.644;208;19;157;2.221;0;299;35;39;36;75;16;0;4;18;8;0;0;0;15.779;9.648;176;3;18;4.374;1;376;0;1;30;129;5;1;0;9;1;0;0;0;14.772;22.292;384;22;175;6.595;1;675;35;40;66;204;21;1;4;27;9;0;0;0;30.551
;03:1,51 a 2,00;8.916;89;29;78;1.292;1;349;35;13;0;38;1;0;0;9;5;1;0;0;10.856;3.722;27;1;1;2.878;1;309;1;0;0;72;0;0;0;6;0;0;0;0;7.018;12.638;116;30;79;4.170;2;658;36;13;0;110;1;0;0;15;5;1;0;0;17.874
;04:2,01 a 3,00;5.451;37;8;67;3.647;0;888;32;3;1;54;0;0;1;9;0;0;0;0;10.198;2.609;11;3;1;5.586;2;615;0;0;0;76;0;0;0;1;0;0;0;0;8.904;8.060;48;11;68;9.233;2;1.503;32;3;1;130;0;0;1;10;0;0;0;0;19.102
;05:3,01 a 4,00;2.210;12;5;12;2.592;0;431;8;0;0;12;0;0;0;6;1;0;0;0;5.289;1.101;1;1;0;6.155;0;315;0;0;0;11;0;0;0;1;0;0;0;0;7.585;3.311;13;6;12;8.747;0;746;8;0;0;23;0;0;0;7;1;0;0;0;12.874
;06:4,01 a 5,00;1.288;0;1;4;2.905;0;220;5;0;0;5;0;0;0;2;0;0;0;0;4.430;773;2;0;0;1.830;1;172;0;0;0;4;0;0;0;2;1;0;0;0;2.785;2.061;2;1;4;4.735;1;392;5;0;0;9;0;0;0;4;1;0;0;0;7.215
;07:5,01 a 7,00;1.110;1;1;1;3.953;0;204;1;0;0;21;0;0;0;4;0;0;0;0;5.296;587;1;0;0;2.535;0;147;0;0;0;8;0;1;0;1;0;0;0;0;3.280;1.697;2;1;1;6.488;0;351;1;0;0;29;0;1;0;5;0;0;0;0;8.576
;08:7,01 a 10,00;916;0;0;1;2.256;0;216;0;0;0;17;0;0;0;0;0;0;0;0;3.406;439;0;0;1;1.848;0;204;0;0;0;11;0;0;0;1;0;0;0;0;2.504;1.355;0;0;2;4.104;0;420;0;0;0;28;0;0;0;1;0;0;0;0;5.910
