;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;75.140;398;34;397;29.248;1.034;4.363;130;13;411;630;1;0;2;132;57;41;0;0;112.031;33.417;340;10;58;33.838;310;3.092;6;9;345;546;1;0;0;85;19;0;0;0;72.076;108.557;738;44;455;63.086;1.344;7.455;136;22;756;1.176;2;0;2;217;76;41;0;0;184.107
;00:Até 0,50;85;1;0;0;12;0;94;21;0;255;0;0;0;0;1;0;0;0;0;469;58;0;0;1;17;0;96;0;0;219;1;0;0;0;0;1;0;0;0;393;143;1;0;1;29;0;190;21;0;474;1;0;0;0;1;1;0;0;0;862
;01:0,51 a 1,00;905;43;0;63;951;0;227;36;0;120;8;0;0;1;66;8;0;0;0;2.428;1.170;51;1;24;1.478;0;205;1;0;103;12;0;0;0;26;2;0;0;0;3.073;2.075;94;1;87;2.429;0;432;37;0;223;20;0;0;1;92;10;0;0;0;5.501
;02:1,01 a 1,50;14.515;124;8;159;2.245;0;482;35;6;34;167;0;0;0;18;7;0;0;0;17.800;15.229;228;4;31;4.448;2;492;1;1;23;146;1;0;0;25;9;0;0;0;20.640;29.744;352;12;190;6.693;2;974;36;7;57;313;1;0;0;43;16;0;0;0;38.440
;03:1,51 a 2,00;17.318;125;16;101;3.585;0;874;16;4;2;164;1;0;0;13;23;2;0;0;22.244;6.612;35;2;1;5.677;1;648;1;1;0;123;0;0;0;10;3;0;0;0;13.114;23.930;160;18;102;9.262;1;1.522;17;5;2;287;1;0;0;23;26;2;0;0;35.358
;04:2,01 a 3,00;19.712;65;6;56;4.786;0;1.056;4;1;0;147;0;0;1;12;16;1;0;0;25.863;4.827;19;1;1;4.733;4;598;0;2;0;193;0;0;0;4;3;0;0;0;10.385;24.539;84;7;57;9.519;4;1.654;4;3;0;340;0;0;1;16;19;1;0;0;36.248
;05:3,01 a 4,00;9.019;20;4;10;4.976;1;565;1;0;0;29;0;0;0;5;3;7;0;0;14.640;2.261;2;1;0;8.374;5;342;0;2;0;16;0;0;0;5;1;0;0;0;11.009;11.280;22;5;10;13.350;6;907;1;2;0;45;0;0;0;10;4;7;0;0;25.649
;06:4,01 a 5,00;3.515;10;0;2;3.117;6;243;0;1;0;14;0;0;0;3;0;14;0;0;6.925;1.033;1;1;0;2.486;14;182;0;1;0;6;0;0;0;1;0;0;0;0;3.725;4.548;11;1;2;5.603;20;425;0;2;0;20;0;0;0;4;0;14;0;0;10.650
;07:5,01 a 7,00;3.751;3;0;2;3.211;99;315;0;1;0;28;0;0;0;2;0;14;0;0;7.426;895;2;0;0;2.464;143;211;0;2;0;12;0;0;0;6;0;0;0;0;3.735;4.646;5;0;2;5.675;242;526;0;3;0;40;0;0;0;8;0;14;0;0;11.161
;08:7,01 a 10,00;2.259;2;0;1;1.917;679;265;0;0;0;44;0;0;0;6;0;2;0;0;5.175;612;2;0;0;1.725;119;161;0;0;0;20;0;0;0;3;0;0;0;0;2.642;2.871;4;0;1;3.642;798;426;0;0;0;64;0;0;0;9;0;2;0;0;7.817
;09:10,01 a 15,00;1.935;0;0;0;1.919;242;140;0;0;0;24;0;0;0;1;0;0;0;0;4.261;346;0;0;0;1.250;21;98;0;0;0;17;0;0;0;0;0;0;0;0;1.732;2.281;0;0;0;3.169;263;238;0;0;0;41;0;0;0;1;0;0;0;0;5.993
;10:15,01 a 20,00;829;0;0;0;922;5;48;0;0;0;0;0;0;0;0;0;0;0;0;1.804;120;0;0;0;423;1;29;0;0;0;0;0;0;0;0;0;0;0;0;573;949;0;0;0;1.345;6;77;0;0;0;0;0;0;0;0;0;0;0;0;2.377
;11:Mais de 20,00;733;0;0;0;1.483;2;34;0;0;0;0;0;0;0;1;0;0;0;0;2.253;84;0;0;0;725;0;2;0;0;0;0;0;0;0;1;0;0;0;0;812;817;0;0;0;2.208;2;36;0;0;0;0;0;0;0;2;0;0;0;0;3.065
