;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;56.766;384;40;404;27.849;2;4.716;153;5;336;579;4;0;6;109;3;23;0;0;91.379;27.480;317;15;36;32.434;14;3.220;2;2;264;570;5;2;0;55;4;1;0;0;64.421;84.246;701;55;440;60.283;16;7.936;155;7;600;1.149;9;2;6;164;7;24;0;0;155.800
;00:Até 0,50;32;0;0;0;17;0;24;3;0;157;0;0;0;0;0;0;0;0;0;233;31;0;0;1;15;0;28;0;0;129;0;0;0;0;0;0;0;0;0;204;63;0;0;1;32;0;52;3;0;286;0;0;0;0;0;0;0;0;0;437
;01:0,51 a 1,00;1.061;51;1;51;714;0;195;23;0;115;5;0;0;5;63;1;0;0;0;2.285;915;63;0;17;1.167;0;214;0;0;96;6;1;0;0;30;1;0;0;0;2.510;1.976;114;1;68;1.881;0;409;23;0;211;11;1;0;5;93;2;0;0;0;4.795
;02:1,01 a 1,50;16.004;157;13;187;2.580;0;574;34;3;63;82;4;0;1;11;2;0;0;0;19.715;13.233;203;10;14;5.073;3;497;1;1;39;223;2;1;0;8;2;0;0;0;19.310;29.237;360;23;201;7.653;3;1.071;35;4;102;305;6;1;1;19;4;0;0;0;39.025
;03:1,51 a 2,00;14.000;88;12;101;2.231;1;671;40;0;0;96;0;0;0;9;0;0;0;0;17.249;5.734;24;2;2;4.558;2;526;1;0;0;45;1;0;0;8;1;0;0;0;10.904;19.734;112;14;103;6.789;3;1.197;41;0;0;141;1;0;0;17;1;0;0;0;28.153
;04:2,01 a 3,00;11.975;51;9;45;5.818;1;1.436;32;1;0;201;0;0;0;11;0;1;0;0;19.581;3.181;20;0;1;6.959;6;761;0;0;0;244;1;0;0;4;0;0;0;0;11.177;15.156;71;9;46;12.777;7;2.197;32;1;0;445;1;0;0;15;0;1;0;0;30.758
;05:3,01 a 4,00;4.654;30;4;12;2.803;0;633;16;0;0;82;0;0;0;5;0;0;0;0;8.239;1.620;3;1;1;5.664;1;317;0;0;0;14;0;0;0;0;0;0;0;0;7.621;6.274;33;5;13;8.467;1;950;16;0;0;96;0;0;0;5;0;0;0;0;15.860
;06:4,01 a 5,00;2.360;1;0;2;3.271;0;304;2;1;0;27;0;0;0;1;0;6;0;0;5.975;849;0;1;0;2.065;1;202;0;1;0;5;0;0;0;0;0;0;0;0;3.124;3.209;1;1;2;5.336;1;506;2;2;0;32;0;0;0;1;0;6;0;0;9.099
;07:5,01 a 7,00;2.194;2;0;2;3.509;0;368;0;0;0;34;0;0;0;0;0;14;0;0;6.123;741;1;0;0;2.861;1;275;0;0;0;14;0;1;0;1;0;0;0;0;3.895;2.935;3;0;2;6.370;1;643;0;0;0;48;0;1;0;1;0;14;0;0;10.018
