;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;191;564;216;181;21;78;658;182;177;126;71;0;1.600;2.421;4.008;10.878;3.945;753;8.839;4.663;3.778;1.140;3.252;34.754;947;83.443;33;73;30;41;3;13;119;64;60;46;148;0;1.012;569;470;9.909;1.615;923;3.655;1.191;6.064;3.728;4.451;40.235;164;74.616;224;637;246;222;24;91;777;246;237;172;219;0;2.612;2.990;4.478;20.787;5.560;1.676;12.494;5.854;9.842;4.868;7.703;74.989;1.111;158.059
;00:Até 0,50;0;2;1;0;0;0;0;1;3;1;0;0;28;11;3;103;39;9;20;37;67;7;39;78;0;449;0;3;1;0;0;0;0;0;1;0;0;0;9;1;4;98;17;10;41;55;85;18;42;129;0;514;0;5;2;0;0;0;0;1;4;1;0;0;37;12;7;201;56;19;61;92;152;25;81;207;0;963
;01:0,51 a 1,00;3;9;9;2;1;0;10;2;1;6;5;0;19;16;41;191;79;8;237;52;147;38;122;583;62;1.643;1;4;1;0;0;1;3;1;1;2;4;0;19;18;8;235;72;10;172;51;221;112;190;602;23;1.751;4;13;10;2;1;1;13;3;2;8;9;0;38;34;49;426;151;18;409;103;368;150;312;1.185;85;3.394
;02:1,01 a 1,50;58;160;71;46;9;38;205;78;60;53;40;0;595;25;983;5.004;1.264;85;1.598;1.077;1.533;376;476;4.055;355;18.244;9;30;19;21;1;6;73;35;29;23;101;0;625;17;218;5.562;807;146;1.469;558;3.089;1.643;1.140;7.723;73;23.417;67;190;90;67;10;44;278;113;89;76;141;0;1.220;42;1.201;10.566;2.071;231;3.067;1.635;4.622;2.019;1.616;11.778;428;41.661
;03:1,51 a 2,00;57;147;64;43;5;16;237;52;72;33;19;0;476;245;1.234;2.847;1.044;37;3.866;885;958;340;346;2.555;251;15.829;8;9;5;7;1;4;27;11;11;10;32;0;191;64;83;2.340;274;79;1.165;168;1.554;1.015;423;5.258;23;12.762;65;156;69;50;6;20;264;63;83;43;51;0;667;309;1.317;5.187;1.318;116;5.031;1.053;2.512;1.355;769;7.813;274;28.591
;04:2,01 a 3,00;44;120;54;45;5;16;161;30;19;16;1;0;302;325;846;1.468;777;96;2.265;1.358;520;205;382;6.122;200;15.377;5;17;3;6;0;1;11;11;10;6;6;0;102;51;56;959;207;151;460;170;433;483;594;7.192;27;10.961;49;137;57;51;5;17;172;41;29;22;7;0;404;376;902;2.427;984;247;2.725;1.528;953;688;976;13.314;227;26.338
;05:3,01 a 4,00;15;64;7;15;0;3;28;9;8;8;1;0;73;172;263;512;308;84;298;590;188;93;385;6.598;39;9.761;3;5;0;4;0;1;4;2;5;3;0;0;16;66;22;312;104;106;129;62;163;201;442;10.221;5;11.876;18;69;7;19;0;4;32;11;13;11;1;0;89;238;285;824;412;190;427;652;351;294;827;16.819;44;21.637
;06:4,01 a 5,00;5;23;3;5;0;1;2;3;4;3;2;0;39;194;98;238;141;71;122;202;56;33;206;3.355;16;4.822;4;0;1;1;0;0;0;1;1;2;0;0;13;47;10;119;50;93;36;40;62;103;279;2.294;6;3.162;9;23;4;6;0;1;2;4;5;5;2;0;52;241;108;357;191;164;158;242;118;136;485;5.649;22;7.984
;07:5,01 a 7,00;9;7;0;12;0;2;3;2;2;2;1;0;17;382;70;193;135;99;95;200;82;27;287;5.556;7;7.190;3;3;0;0;0;0;0;1;0;0;0;0;6;77;11;95;38;142;53;32;93;56;334;3.328;5;4.277;12;10;0;12;0;2;3;3;2;2;1;0;23;459;81;288;173;241;148;232;175;83;621;8.884;12;11.467
