;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;08:7,01 a 10,00;0;7;1;2;0;0;0;3;1;0;0;0;5;420;32;107;65;119;62;92;69;8;416;1.996;1;3.406;0;1;0;1;0;0;1;1;0;0;1;0;2;96;4;42;18;102;24;20;75;32;446;1.494;1;2.361;0;8;1;3;0;0;1;4;1;0;1;0;7;516;36;149;83;221;86;112;144;40;862;3.490;2;5.767
;09:10,01 a 15,00;0;0;0;3;0;0;0;0;1;1;0;0;3;263;12;45;32;63;51;51;79;2;402;1.767;0;2.775;0;0;0;0;0;0;0;0;0;0;0;0;1;64;0;10;5;47;23;9;156;8;396;1.075;0;1.794;0;0;0;3;0;0;0;0;1;1;0;0;4;327;12;55;37;110;74;60;235;10;798;2.842;0;4.569
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;1;146;6;14;5;40;15;4;21;0;108;870;0;1.230;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1;5;1;14;5;3;16;0;74;312;0;462;0;0;0;0;0;0;0;0;0;0;0;0;1;177;7;19;6;54;20;7;37;0;182;1.182;0;1.692
;11:Mais de 20,00;0;1;0;1;0;0;0;0;0;0;0;0;2;194;3;16;11;36;40;8;6;0;52;1.061;0;1.431;0;0;0;1;0;0;0;0;0;0;0;0;0;29;2;3;0;9;14;1;4;1;38;367;0;469;0;1;0;2;0;0;0;0;0;0;0;0;2;223;5;19;11;45;54;9;10;1;90;1.428;0;1.900
;{ñ class};0;24;6;7;1;2;12;2;6;3;2;0;40;28;417;140;45;6;170;107;52;11;31;158;16;1.286;0;1;0;0;1;0;0;1;2;0;4;0;28;8;51;129;22;14;64;22;113;56;53;240;1;810;0;25;6;7;2;2;12;3;8;3;6;0;68;36;468;269;67;20;234;129;165;67;84;398;17;2.096
120040:Rio Branco - AC;Total;37;422;79;20;12;68;425;177;184;113;48;8;1.264;1.331;3.712;9.074;2.234;496;4.379;1.901;3.748;985;2.502;16.132;1.288;50.639;11;32;10;6;4;27;66;79;49;39;90;9;532;256;994;6.334;729;490;3.071;576;4.801;2.552;2.878;20.081;230;43.946;48;454;89;26;16;95;491;256;233;152;138;17;1.796;1.587;4.706;15.408;2.963;986;7.450;2.477;8.549;3.537;5.380;36.213;1.518;94.585
;00:Até 0,50;0;2;0;0;0;0;1;0;2;0;0;0;12;10;10;109;24;2;23;15;28;9;21;4;2;274;0;0;0;0;0;0;0;0;0;0;0;0;8;0;5;95;15;4;17;17;25;4;22;5;0;217;0;2;0;0;0;0;1;0;2;0;0;0;20;10;15;204;39;6;40;32;53;13;43;9;2;491
;01:0,51 a 1,00;0;39;5;2;0;5;25;12;2;2;5;1;49;8;105;297;71;6;390;17;184;25;64;158;224;1.696;0;8;3;0;0;2;3;10;2;2;13;0;17;18;43;230;29;8;680;28;283;122;101;168;30;1.800;0;47;8;2;0;7;28;22;4;4;18;1;66;26;148;527;100;14;1.070;45;467;147;165;326;254;3.496
;02:1,01 a 1,50;14;189;37;10;10;29;209;71;60;61;40;6;500;165;1.490;4.621;1.074;120;1.608;493;2.073;384;323;786;630;15.003;9;11;6;3;4;14;47;51;28;25;70;8;330;17;638;3.675;424;50;1.628;208;3.187;1.156;475;1.321;101;13.486;23;200;43;13;14;43;256;122;88;86;110;14;830;182;2.128;8.296;1.498;170;3.236;701;5.260;1.540;798;2.107;731;28.489
;03:1,51 a 2,00;9;123;10;6;2;19;95;43;58;31;3;1;363;359;913;2.006;464;21;1.446;331;723;194;207;934;206;8.567;0;7;0;1;0;4;6;8;6;4;5;0;90;38;101;1.365;90;48;337;99;564;444;301;1.955;31;5.504;9;130;10;7;2;23;101;51;64;35;8;1;453;397;1.014;3.371;554;69;1.783;430;1.287;638;508;2.889;237;14.071
;04:2,01 a 3,00;8;51;17;1;0;13;59;38;38;14;0;0;211;153;755;1.121;351;30;446;413;378;133;267;2.589;119;7.205;2;4;1;2;0;6;5;9;7;3;1;1;44;44;121;546;92;36;179;98;349;304;389;4.844;32;7.119;10;55;18;3;0;19;64;47;45;17;1;1;255;197;876;1.667;443;66;625;511;727;437;656;7.433;151;14.324
;05:3,01 a 4,00;2;4;5;1;0;0;8;8;12;3;0;0;44;86;162;356;97;53;148;396;106;92;328;1.520;11;3.442;0;1;0;0;0;1;1;0;4;1;0;0;21;28;48;176;29;81;66;46;110;295;349;3.186;6;4.449;2;5;5;1;0;1;9;8;16;4;0;0;65;114;210;532;126;134;214;442;216;387;677;4.706;17;7.891
;06:4,01 a 5,00;0;2;1;0;0;0;5;2;1;1;0;0;18;116;42;204;38;42;55;65;49;33;244;2.176;4;3.098;0;0;0;0;0;0;0;1;0;1;0;0;6;17;12;93;15;50;34;21;42;77;269;2.984;2;3.624;0;2;1;0;0;0;5;3;1;2;0;0;24;133;54;297;53;92;89;86;91;110;513;5.160;6;6.722
;07:5,01 a 7,00;0;1;0;0;0;0;4;1;3;0;0;0;15;127;40;141;44;72;54;42;37;19;275;4.143;14;5.032;0;0;0;0;0;0;1;0;0;0;0;0;4;24;8;49;17;94;45;19;47;27;261;2.893;2;3.491;0;1;0;0;0;0;5;1;3;0;0;0;19;151;48;190;61;166;99;61;84;46;536;7.036;16;8.523
;08:7,01 a 10,00;0;0;0;0;0;0;0;1;2;0;0;0;7;129;13;65;31;58;51;22;47;17;361;1.841;26;2.671;0;0;0;0;0;0;0;0;1;0;0;0;2;34;8;35;7;59;26;6;44;23;346;1.585;6;2.182;0;0;0;0;0;0;0;1;3;0;0;0;9;163;21;100;38;117;77;28;91;40;707;3.426;32;4.853
;09:10,01 a 15,00;0;0;0;0;0;0;0;0;0;0;0;0;4;73;16;39;11;52;27;12;58;45;269;1.008;32;1.646;0;0;0;0;0;0;0;0;0;0;0;0;1;16;1;6;1;35;9;6;71;40;251;690;19;1.146;0;0;0;0;0;0;0;0;0;0;0;0;5;89;17;45;12;87;36;18;129;85;520;1.698;51;2.792
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;1;38;7;3;4;16;17;5;11;16;69;431;4;622;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;5;1;16;6;1;6;22;62;214;0;348;0;0;0;0;0;0;0;0;0;0;0;0;1;53;7;8;5;32;23;6;17;38;131;645;4;970
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;3;53;1;4;2;22;54;0;3;7;59;537;0;745;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;4;22;0;5;5;22;227;0;288;0;0;0;0;0;0;0;0;0;0;0;0;3;55;1;5;2;26;76;0;8;12;81;764;0;1.033
;{ñ class};4;11;4;0;0;2;19;1;6;1;0;0;37;14;158;108;23;2;60;90;51;11;15;5;16;638;0;1;0;0;0;0;3;0;1;3;1;0;9;3;9;58;9;5;22;27;68;33;30;9;1;292;4;12;4;0;0;2;22;1;7;4;1;0;46;17;167;166;32;7;82;117;119;44;45;14;17;930
130260:Manaus - AM;Total;472;557;5.139;8.241;12.262;12.281;863;2.505;2.726;8.587;642;16;7.360;4.086;15.104;36.491;10.758;1.802;33.570;27.112;16.889;4.917;8.842;58.196;1.139;280.557;106;94;1.486;5.863;9.708;2.074;252;1.124;1.673;3.114;908;8;4.478;760;2.279;31.409;5.085;2.269;14.495;7.534;18.869;12.876;12.806;68.346;290;207.906;578;651;6.625;14.104;21.970;14.355;1.115;3.629;4.399;11.701;1.550;24;11.838;4.846;17.383;67.900;15.843;4.071;48.065;34.646;35.758;17.793;21.648;126.542;1.429;488.463
;00:Até 0,50;1;0;87;133;161;80;11;26;21;102;15;0;67;21;113;463;151;8;165;382;270;55;93;15;1;2.441;2;4;50;118;148;62;12;21;23;63;14;0;57;46;99;466;127;6;120;175;260;50;117;12;1;2.053;3;4;137;251;309;142;23;47;44;165;29;0;124;67;212;929;278;14;285;557;530;105;210;27;2;4.494
;01:0,51 a 1,00;0;14;52;87;189;114;26;47;95;78;63;1;144;27;321;1.118;163;36;548;722;846;131;437;512;94;5.865;0;1;28;79;210;32;9;94;46;60;80;1;147;19;116;1.164;158;55;552;240;1.049;371;834;345;25;5.715;0;15;80;166;399;146;35;141;141;138;143;2;291;46;437;2.282;321;91;1.100;962;1.895;502;1.271;857;119;11.580
;02:1,01 a 1,50;25;156;931;1.806;2.550;635;512;1.051;681;1.485;402;7;3.319;326;5.209;19.644;4.588;134;11.779;7.020;9.148;1.444;1.602;4.057;614;79.125;11;22;317;2.484;3.053;306;147;552;514;862;692;5;2.544;100;1.036;18.959;2.294;202;7.345;3.727;12.712;4.989;3.665;5.245;198;71.981;36;178;1.248;4.290;5.603;941;659;1.603;1.195;2.347;1.094;12;5.863;426;6.245;38.603;6.882;336;19.124;10.747;21.860;6.433;5.267;9.302;812;151.106
;03:1,51 a 2,00;34;131;1.185;2.875;3.875;2.503;178;531;780;2.641;84;5;1.563;981;3.657;8.142;2.223;95;9.561;4.624;2.949;1.146;915;10.781;283;61.742;9;19;291;1.795;3.415;463;37;195;569;929;51;2;749;47;296;5.458;1.083;230;3.058;1.017;2.067;3.198;1.464;14.202;46;40.690;43;150;1.476;4.670;7.290;2.966;215;726;1.349;3.570;135;7;2.312;1.028;3.953;13.600;3.306;325;12.619;5.641;5.016;4.344;2.379;24.983;329;102.432
;04:2,01 a 3,00;41;123;1.143;1.623;1.938;3.046;75;462;531;1.814;45;1;1.083;838;3.245;4.095;1.751;110;7.059;8.083;1.900;794;1.135;11.051;95;52.081;3;26;321;664;1.241;403;20;125;279;480;30;0;440;91;311;3.113;656;186;1.496;1.122;1.198;2.232;1.650;17.695;9;33.791;44;149;1.464;2.287;3.179;3.449;95;587;810;2.294;75;1;1.523;929;3.556;7.208;2.407;296;8.555;9.205;3.098;3.026;2.785;28.746;104;85.872
;05:3,01 a 4,00;17;46;512;510;794;1.698;25;169;198;703;14;1;432;382;1.009;1.370;731;241;1.278;2.859;609;217;931;5.735;26;20.507;5;8;151;216;478;201;13;64;87;232;4;0;163;63;181;1.034;286;329;575;405;520;471;1.153;8.510;5;15.154;22;54;663;726;1.272;1.899;38;233;285;935;18;1;595;445;1.190;2.404;1.017;570;1.853;3.264;1.129;688;2.084;14.245;31;35.661
;06:4,01 a 5,00;11;23;322;290;560;1.093;12;78;106;391;6;0;198;133;409;542;353;244;675;977;261;155;683;5.309;7;12.838;1;7;98;111;239;143;2;23;32;119;2;0;74;44;72;380;163;282;328;181;238;352;955;6.619;2;10.467;12;30;420;401;799;1.236;14;101;138;510;8;0;272;177;481;922;516;526;1.003;1.158;499;507;1.638;11.928;9;23.305
;07:5,01 a 7,00;16;23;426;284;813;1.125;6;61;138;458;1;1;233;301;420;475;322;301;754;731;256;646;945;7.824;7;16.567;5;2;108;105;311;198;4;30;46;136;1;0;96;78;70;371;142;398;441;200;226;771;1.069;6.507;0;11.315;21;25;534;389;1.124;1.323;10;91;184;594;2;1;329;379;490;846;464;699;1.195;931;482;1.417;2.014;14.331;7;27.882
;08:7,01 a 10,00;43;11;231;241;592;690;3;35;84;308;2;0;85;222;182;193;202;289;660;357;202;213;881;5.136;2;10.864;14;3;53;97;216;114;2;10;24;69;0;0;49;52;42;125;62;279;229;110;182;224;871;4.196;1;7.024;57;14;284;338;808;804;5;45;108;377;2;0;134;274;224;318;264;568;889;467;384;437;1.752;9.332;3;17.888
;09:10,01 a 15,00;66;4;113;159;366;519;3;17;41;164;0;0;35;222;113;101;106;181;440;206;178;71;738;4.129;1;7.973;14;1;25;44;94;93;1;5;15;44;0;0;21;115;21;55;38;195;136;52;170;68;629;2.702;0;4.538;80;5;138;203;460;612;4;22;56;208;0;0;56;337;134;156;144;376;576;258;348;139;1.367;6.831;1;12.511
;10:15,01 a 20,00;32;4;31;63;121;191;4;3;17;95;0;0;10;219;23;36;29;90;145;72;36;16;239;1.664;0;3.140;10;0;13;8;29;18;0;1;8;14;0;0;7;47;2;17;9;53;45;15;18;13;167;1.117;0;1.611;42;4;44;71;150;209;4;4;25;109;0;0;17;266;25;53;38;143;190;87;54;29;406;2.781;0;4.751
;11:Mais de 20,00;185;6;19;58;109;239;0;3;18;233;2;0;26;345;19;17;31;64;155;64;23;2;141;1.910;0;3.669;31;0;12;5;17;14;0;1;8;19;0;0;8;48;1;4;5;33;59;12;5;3;102;1.142;0;1.529;216;6;31;63;126;253;0;4;26;252;2;0;34;393;20;21;36;97;214;76;28;5;243;3.052;0;5.198
;{ñ class};1;16;87;112;194;348;8;22;16;115;8;0;165;69;384;295;108;9;351;1.015;211;27;102;73;9;3.745;1;1;19;137;257;27;5;3;22;87;34;0;123;10;32;263;62;21;111;278;224;134;130;54;3;2.038;2;17;106;249;451;375;13;25;38;202;42;0;288;79;416;558;170;30;462;1.293;435;161;232;127;12;5.783
140010:Boa Vista - RR;Total;36;341;78;9;43;16;119;110;72;25;72;0;793;1.134;3.305;8.324;1.893;304;2.319;1.458;3.604;666;1.981;16.168;400;43.270;0;47;13;2;8;3;21;60;30;12;92;0;420;315;767;6.515;762;304;1.559;406;4.894;1.261;2.774;23.226;85;43.576;36;388;91;11;51;19;140;170;102;37;164;0;1.213;1.449;4.072;14.839;2.655;608;3.878;1.864;8.498;1.927;4.755;39.394;485;86.846
;00:Até 0,50;0;1;0;0;0;0;0;0;0;0;0;0;9;0;35;58;10;0;19;8;23;7;30;8;0;208;0;2;0;0;0;0;0;0;0;0;0;0;7;0;23;62;11;1;19;11;21;9;20;6;4;196;0;3;0;0;0;0;0;0;0;0;0;0;16;0;58;120;21;1;38;19;44;16;50;14;4;404
;01:0,51 a 1,00;0;30;14;0;2;1;10;7;4;0;0;0;53;32;82;303;55;0;91;64;171;27;117;256;53;1.372;0;3;3;0;1;0;1;2;5;1;8;0;24;20;35;246;44;6;135;39;200;97;207;348;17;1.442;0;33;17;0;3;1;11;9;9;1;8;0;77;52;117;549;99;6;226;103;371;124;324;604;70;2.814
;02:1,01 a 1,50;7;150;42;5;19;9;66;59;24;15;63;0;489;36;1.206;4.798;1.009;8;958;530;2.035;202;358;2.123;198;14.409;0;17;9;1;3;2;17;42;15;7;80;0;297;8;527;4.531;440;16;868;178;3.284;665;655;3.635;46;15.343;7;167;51;6;22;11;83;101;39;22;143;0;786;44;1.733;9.329;1.449;24;1.826;708;5.319;867;1.013;5.758;244;29.752
;03:1,51 a 2,00;10;85;21;3;7;3;23;26;16;4;8;0;145;46;934;1.730;403;2;710;390;625;90;121;1.146;89;6.637;0;10;1;1;3;0;3;8;5;2;3;0;61;22;95;921;139;7;244;60;642;159;244;1.270;12;3.912;10;95;22;4;10;3;26;34;21;6;11;0;206;68;1.029;2.651;542;9;954;450;1.267;249;365;2.416;101;10.549
;04:2,01 a 3,00;13;55;1;1;7;2;10;16;15;6;1;0;69;261;669;799;270;18;296;231;368;45;179;2.547;42;5.921;0;6;0;0;1;1;0;4;3;0;0;0;16;69;44;487;80;19;136;70;346;96;224;4.772;5;6.379;13;61;1;1;8;3;10;20;18;6;1;0;85;330;713;1.286;350;37;432;301;714;141;403;7.319;47;12.300
;05:3,01 a 4,00;3;7;0;0;5;0;6;1;10;0;0;0;10;184;206;296;59;62;49;93;139;35;211;2.314;5;3.695;0;6;0;0;0;0;0;3;1;1;0;0;3;36;14;142;17;62;44;26;116;52;288;3.484;0;4.295;3;13;0;0;5;0;6;4;11;1;0;0;13;220;220;438;76;124;93;119;255;87;499;5.798;5;7.990
;06:4,01 a 5,00;1;5;0;0;1;1;1;1;3;0;0;0;3;152;48;126;23;41;33;43;68;13;167;1.012;1;1.743;0;1;0;0;0;0;0;1;0;0;0;0;5;21;11;47;17;44;38;5;45;24;211;2.006;1;2.477;1;6;0;0;1;1;1;2;3;0;0;0;8;173;59;173;40;85;71;48;113;37;378;3.018;2;4.220
;07:5,01 a 7,00;1;1;0;0;1;0;1;0;0;0;0;0;5;134;33;102;31;58;26;51;63;219;167;2.661;3;3.557;0;0;0;0;0;0;0;0;1;0;0;0;1;34;9;35;3;53;17;7;96;116;244;4.130;0;4.746;1;1;0;0;1;0;1;0;1;0;0;0;6;168;42;137;34;111;43;58;159;335;411;6.791;3;8.303
;08:7,01 a 10,00;0;0;0;0;1;0;0;0;0;0;0;0;0;100;20;40;14;48;19;9;31;14;226;1.831;3;2.356;0;1;0;0;0;0;0;0;0;0;0;0;0;28;2;18;8;50;13;8;41;15;299;2.020;0;2.503;0;1;0;0;1;0;0;0;0;0;0;0;0;128;22;58;22;98;32;17;72;29;525;3.851;3;4.859
;09:10,01 a 15,00;0;1;0;0;0;0;0;0;0;0;0;0;0;77;13;11;7;35;30;18;27;13;245;1.149;0;1.626;0;0;0;0;0;0;0;0;0;0;0;0;0;46;2;3;1;25;13;1;50;19;247;973;0;1.380;0;1;0;0;0;0;0;0;0;0;0;0;0;123;15;14;8;60;43;19;77;32;492;2.122;0;3.006
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;36;3;3;2;10;8;1;10;0;92;538;0;703;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;1;0;12;5;0;7;2;69;256;0;369;0;0;0;0;0;0;0;0;0;0;0;0;0;52;4;4;2;22;13;1;17;2;161;794;0;1.072
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;70;1;2;0;20;43;0;5;0;57;544;1;743;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;8;22;0;1;0;48;252;0;345;0;0;0;0;0;0;0;0;0;0;0;0;0;84;1;2;0;28;65;0;6;0;105;796;1;1.088
;{ñ class};1;6;0;0;0;0;2;0;0;0;0;0;10;6;55;56;10;2;37;20;39;1;11;39;5;300;0;1;0;0;0;0;0;0;0;1;1;0;6;1;4;22;2;1;5;1;45;7;18;74;0;189;1;7;0;0;0;0;2;0;0;1;1;0;16;7;59;78;12;3;42;21;84;8;29;113;5;489
150140:Belém - PA;Total;40;377;219;352;283;509;1.277;1.417;414;679;123;13;4.196;3.670;18.646;31.322;5.382;4.103;34.115;13.845;23.082;7.475;12.162;69.796;1.095;234.592;32;68;31;52;23;66;168;500;146;271;245;13;1.608;764;1.794;25.976;2.377;3.855;12.936;2.895;23.081;17.804;13.915;65.970;95;174.685;72;445;250;404;306;575;1.445;1.917;560;950;368;26;5.804;4.434;20.440;57.298;7.759;7.958;47.051;16.740;46.163;25.279;26.077;135.766;1.190;409.277
;00:Até 0,50;0;0;0;0;0;12;24;35;2;18;0;0;58;29;151;366;66;11;165;171;480;93;345;97;2;2.125;0;0;0;0;0;11;7;20;3;13;1;0;50;29;100;365;40;24;144;84;803;119;242;23;4;2.082;0;0;0;0;0;23;31;55;5;31;1;0;108;58;251;731;106;35;309;255;1.283;212;587;120;6;4.207
;01:0,51 a 1,00;0;2;11;5;2;4;14;26;11;11;7;0;127;27;156;1.771;178;42;461;336;1.146;122;851;1.740;180;7.230;0;1;3;0;1;4;0;13;9;10;17;0;66;11;36;1.095;86;29;437;111;1.645;271;832;1.254;14;5.945;0;3;14;5;3;8;14;39;20;21;24;0;193;38;192;2.866;264;71;898;447;2.791;393;1.683;2.994;194;13.175
;02:1,01 a 1,50;0;103;100;144;32;89;528;360;156;231;92;12;1.647;284;5.930;16.756;2.273;208;9.496;4.250;11.263;2.236;2.218;6.486;397;65.291;2;21;18;21;8;13;52;184;83;158;191;10;1.028;55;683;14.180;1.146;345;5.682;1.029;13.081;4.789;3.591;9.920;31;56.321;2;124;118;165;40;102;580;544;239;389;283;22;2.675;339;6.613;30.936;3.419;553;15.178;5.279;24.344;7.025;5.809;16.406;428;121.612
;03:1,51 a 2,00;2;83;51;78;28;178;317;352;121;168;19;0;994;765;5.453;6.458;1.254;182;8.801;2.437;4.979;1.602;821;6.529;234;41.906;1;9;6;15;3;12;49;129;28;33;24;3;167;117;423;5.532;464;345;2.295;464;3.147;4.063;1.078;6.480;11;24.898;3;92;57;93;31;190;366;481;149;201;43;3;1.161;882;5.876;11.990;1.718;527;11.096;2.901;8.126;5.665;1.899;13.009;245;66.804
;04:2,01 a 3,00;6;102;48;69;31;140;219;290;87;125;4;1;684;1.020;4.626;3.402;821;287;10.035;3.104;2.741;1.176;1.035;9.248;131;39.432;6;6;2;9;3;8;25;74;12;18;6;0;145;164;300;2.656;337;355;1.898;473;1.928;3.158;1.279;7.009;9;19.880;12;108;50;78;34;148;244;364;99;143;10;1;829;1.184;4.926;6.058;1.158;642;11.933;3.577;4.669;4.334;2.314;16.257;140;59.312
