Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total
110020:Porto Velho - RO;Total;57;500;323;48;4;49;564;252;91;89;46;0;1.587;1.686;5.911;9.076;2.747;566;6.929;3.399;3.233;568;2.419;30.974;766;0;71.884;10;51;29;4;0;5;94;132;44;26;158;0;646;438;634;6.783;1.083;569;1.826;835;4.099;1.799;2.629;36.376;225;0;58.495;67;551;352;52;4;54;658;384;135;115;204;0;2.233;2.124;6.545;15.859;3.830;1.135;8.755;4.234;7.332;2.367;5.048;67.350;991;0;130.379
;07:5,01 a 7,00;0;1;0;0;0;0;0;0;0;1;0;0;7;172;20;46;12;49;34;31;29;3;125;2.085;8;0;2.623;1;0;0;0;0;0;0;0;0;0;0;0;6;45;1;23;6;39;16;12;47;5;162;2.600;5;0;2.968;1;1;0;0;0;0;0;0;0;1;0;0;13;217;21;69;18;88;50;43;76;8;287;4.685;13;0;5.591
;08:7,01 a 10,00;0;1;0;0;0;0;0;0;1;0;0;0;3;105;16;29;2;43;27;29;25;1;129;988;11;0;1.410;0;0;0;0;0;0;0;0;0;0;0;0;2;33;0;9;0;40;17;9;71;3;185;1.152;6;0;1.527;0;1;0;0;0;0;0;0;1;0;0;0;5;138;16;38;2;83;44;38;96;4;314;2.140;17;0;2.937
;09:10,01 a 15,00;0;0;0;0;0;0;0;0;0;0;0;0;0;67;4;6;2;31;18;20;23;0;117;523;4;0;815;0;0;0;0;0;0;0;1;0;0;0;0;0;26;0;2;0;12;11;2;23;2;105;324;2;0;510;0;0;0;0;0;0;0;1;0;0;0;0;0;93;4;8;2;43;29;22;46;2;222;847;6;0;1.325
;10:15,01 a 20,00;0;1;0;0;0;0;0;0;0;0;0;0;0;38;2;3;5;20;11;5;5;0;64;240;1;0;395;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;1;6;8;2;6;0;52;89;0;0;178;0;1;0;0;0;0;0;0;0;0;0;0;0;51;2;4;6;26;19;7;11;0;116;329;1;0;573
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;72;4;2;0;16;22;2;5;0;23;430;3;0;579;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;1;0;4;4;0;4;1;8;197;0;0;238;0;0;0;0;0;0;0;0;0;0;0;0;0;91;4;3;0;20;26;2;9;1;31;627;3;0;817
;{ñ class};1;0;0;0;0;0;1;1;0;2;0;0;6;20;41;23;6;2;21;50;10;2;6;16;10;0;218;0;0;0;0;0;0;0;1;0;0;0;0;1;0;9;14;1;2;2;11;10;2;9;15;2;0;79;1;0;0;0;0;0;1;2;0;2;0;0;7;20;50;37;7;4;23;61;20;4;15;31;12;0;297
150140:Belém - PA;Total;93;410;849;172;152;607;2.618;1.534;401;947;334;0;4.763;3.619;15.204;30.031;5.878;3.617;26.253;13.264;18.056;3.606;8.274;69.441;2.132;0;212.255;37;29;66;30;31;32;306;663;108;308;642;1;1.652;907;1.097;24.405;2.235;3.563;7.240;2.718;14.248;9.018;8.674;67.020;592;0;145.622;130;439;915;202;183;639;2.924;2.197;509;1.255;976;1;6.415;4.526;16.301;54.436;8.113;7.180;33.493;15.982;32.304;12.624;16.948;136.461;2.724;0;357.877
;00:Até 0,50;0;0;4;0;0;0;3;17;0;4;0;0;43;9;5;245;30;5;36;30;516;26;127;9;2;0;1.111;0;0;0;0;0;0;1;29;1;0;0;0;31;3;2;206;14;5;29;61;247;38;115;16;0;0;798;0;0;4;0;0;0;4;46;1;4;0;0;74;12;7;451;44;10;65;91;763;64;242;25;2;0;1.909
;01:0,51 a 1,00;1;19;23;6;5;16;44;47;24;29;19;0;123;12;516;2.482;437;38;744;221;1.210;91;509;2.818;279;0;9.713;1;2;5;4;3;0;6;24;10;13;39;0;137;3;104;1.607;179;49;417;93;951;276;549;4.112;44;0;8.628;2;21;28;10;8;16;50;71;34;42;58;0;260;15;620;4.089;616;87;1.161;314;2.161;367;1.058;6.930;323;0;18.341
;02:1,01 a 1,50;1;163;299;52;50;176;1.234;419;161;278;236;0;1.869;323;6.551;15.800;2.500;190;7.256;3.278;9.394;1.225;1.628;8.155;1.015;0;62.253;2;14;35;8;16;10;107;211;46;143;547;1;1.038;86;462;14.584;1.160;582;2.970;880;8.371;3.273;2.314;11.740;375;0;48.975;3;177;334;60;66;186;1.341;630;207;421;783;1;2.907;409;7.013;30.384;3.660;772;10.226;4.158;17.765;4.498;3.942;19.895;1.390;0;111.228
;03:1,51 a 2,00;2;65;178;20;40;152;537;226;72;157;37;0;804;706;4.778;5.619;1.061;142;8.068;1.725;2.482;702;667;5.279;247;0;33.766;2;6;9;3;4;4;84;113;20;57;24;0;148;115;181;4.131;321;207;1.449;360;1.639;1.928;792;6.350;43;0;17.990;4;71;187;23;44;156;621;339;92;214;61;0;952;821;4.959;9.750;1.382;349;9.517;2.085;4.121;2.630;1.459;11.629;290;0;51.756
;04:2,01 a 3,00;10;72;196;23;32;182;346;266;70;153;27;0;834;661;1.642;3.110;831;253;7.191;3.539;1.552;657;847;11.445;166;0;34.105;9;2;7;7;5;6;39;96;14;30;8;0;108;362;140;2.162;249;352;951;435;1.165;1.654;955;9.826;19;0;18.601;19;74;203;30;37;188;385;362;84;183;35;0;942;1.023;1.782;5.272;1.080;605;8.142;3.974;2.717;2.311;1.802;21.271;185;0;52.706
;05:3,01 a 4,00;20;41;71;26;11;25;131;219;11;115;4;0;404;426;472;1.111;415;333;1.045;1.466;736;367;568;12.835;71;0;20.923;3;1;6;0;3;4;20;57;9;26;8;0;60;62;60;729;117;369;373;231;559;616;596;8.127;14;0;12.050;23;42;77;26;14;29;151;276;20;141;12;0;464;488;532;1.840;532;702;1.418;1.697;1.295;983;1.164;20.962;85;0;32.973
;06:4,01 a 5,00;13;22;24;8;4;16;58;104;16;53;2;0;235;319;237;556;145;288;366;812;348;141;521;6.821;60;0;11.169;1;1;1;3;0;2;12;42;3;5;2;0;25;55;34;306;58;237;262;125;281;339;503;7.295;9;0;9.601;14;23;25;11;4;18;70;146;19;58;4;0;260;374;271;862;203;525;628;937;629;480;1.024;14.116;69;0;20.770
;07:5,01 a 7,00;4;4;23;16;2;13;48;108;29;45;1;0;194;342;272;412;130;701;465;666;439;159;978;9.667;117;0;14.835;3;3;0;1;0;1;12;28;2;11;0;0;31;61;39;298;50;491;296;182;304;417;815;9.513;24;0;12.582;7;7;23;17;2;14;60;136;31;56;1;0;225;403;311;710;180;1.192;761;848;743;576;1.793;19.180;141;0;27.417
;08:7,01 a 10,00;5;11;15;7;3;0;33;62;8;39;1;0;104;240;284;227;90;607;386;505;555;101;923;5.154;29;0;9.389;2;0;3;2;0;3;7;28;1;7;0;0;18;51;49;131;36;555;227;165;404;236;799;4.995;7;0;7.726;7;11;18;9;3;3;40;90;9;46;1;0;122;291;333;358;126;1.162;613;670;959;337;1.722;10.149;36;0;17.115
;09:10,01 a 15,00;9;4;1;3;1;11;18;21;1;20;0;0;57;213;78;125;57;613;230;335;282;69;668;2.820;36;0;5.672;9;0;0;1;0;2;4;15;0;4;0;0;6;58;17;43;17;493;114;95;114;123;650;2.010;9;0;3.784;18;4;1;4;1;13;22;36;1;24;0;0;63;271;95;168;74;1.106;344;430;396;192;1.318;4.830;45;0;9.456
;10:15,01 a 20,00;6;3;6;4;1;0;4;9;3;8;0;0;14;79;28;33;39;210;116;134;66;30;541;1.648;16;0;2.998;3;0;0;1;0;0;2;2;0;0;0;0;3;24;2;7;11;129;51;27;55;30;401;944;12;0;1.704;9;3;6;5;1;0;6;11;3;8;0;0;17;103;30;40;50;339;167;161;121;60;942;2.592;28;0;4.702
;11:Mais de 20,00;22;2;1;3;0;0;16;7;1;6;0;0;22;254;22;39;47;215;133;110;39;14;186;2.747;52;0;3.938;2;0;0;0;0;0;0;3;0;2;0;0;2;23;0;5;7;71;45;21;16;15;97;2.045;14;0;2.368;24;2;1;3;0;0;16;10;1;8;0;0;24;277;22;44;54;286;178;131;55;29;283;4.792;66;0;6.306
;{ñ class};0;4;8;4;3;16;146;29;5;40;7;0;60;35;319;272;96;22;217;443;437;24;111;43;42;0;2.383;0;0;0;0;0;0;12;15;2;10;14;0;45;4;7;196;16;23;56;43;142;73;88;47;22;0;815;0;4;8;4;3;16;158;44;7;50;21;0;105;39;326;468;112;45;273;486;579;97;199;90;64;0;3.198
160030:Macapá - AP;Total;63;311;48;24;5;27;169;189;28;61;43;0;373;1.213;2.489;7.777;1.648;426;4.308;1.671;2.966;379;1.165;17.779;299;0;43.461;14;42;3;3;1;3;16;133;19;19;60;0;222;316;313;5.617;603;547;2.113;451;3.535;699;1.488;21.137;43;0;37.397;77;353;51;27;6;30;185;322;47;80;103;0;595;1.529;2.802;13.394;2.251;973;6.421;2.122;6.501;1.078;2.653;38.916;342;0;80.858
;00:Até 0,50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;98;0;8;16;19;10;4;16;4;0;0;182;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;105;2;6;21;4;13;5;17;4;0;0;191;0;1;0;0;0;0;0;0;1;0;0;0;0;0;19;203;2;14;37;23;23;9;33;8;0;0;373
;01:0,51 a 1,00;4;15;4;1;1;4;19;17;0;7;10;0;76;4;134;790;199;8;117;33;267;8;111;73;109;0;2.011;0;4;0;0;0;0;4;9;3;3;18;0;33;0;45;602;168;12;88;14;300;65;200;67;9;0;1.644;4;19;4;1;1;4;23;26;3;10;28;0;109;4;179;1.392;367;20;205;47;567;73;311;140;118;0;3.655
;02:1,01 a 1,50;18;181;24;8;0;7;86;81;14;43;25;0;227;59;992;4.088;767;59;968;329;1.299;148;307;680;119;0;10.529;3;25;0;1;1;1;8;89;11;13;34;0;170;32;174;3.064;258;109;1.060;137;1.310;308;491;1.278;28;0;8.605;21;206;24;9;1;8;94;170;25;56;59;0;397;91;1.166;7.152;1.025;168;2.028;466;2.609;456;798;1.958;147;0;19.134
;03:1,51 a 2,00;9;74;9;7;0;7;44;43;7;7;7;0;39;150;701;1.299;281;16;1.848;338;703;104;126;701;40;0;6.560;2;3;0;1;0;1;2;22;3;2;7;0;13;62;37;979;75;46;635;151;1.260;170;192;697;4;0;4.364;11;77;9;8;0;8;46;65;10;9;14;0;52;212;738;2.278;356;62;2.483;489;1.963;274;318;1.398;44;0;10.924
;04:2,01 a 3,00;21;26;5;4;3;7;13;30;3;2;1;0;24;159;400;865;218;39;1.061;506;341;32;181;1.224;26;0;5.191;1;6;0;1;0;1;0;9;0;0;1;0;5;46;33;522;51;58;168;71;301;70;160;1.422;1;0;2.927;22;32;5;5;3;8;13;39;3;2;2;0;29;205;433;1.387;269;97;1.229;577;642;102;341;2.646;27;0;8.118
;05:3,01 a 4,00;2;8;4;2;0;2;0;10;2;2;0;0;4;279;102;295;70;64;134;223;156;24;94;1.335;3;0;2.815;2;2;1;0;0;0;0;3;1;1;0;0;1;57;4;178;24;109;45;22;91;26;114;1.216;1;0;1.898;4;10;5;2;0;2;0;13;3;3;0;0;5;336;106;473;94;173;179;245;247;50;208;2.551;4;0;4.713
;06:4,01 a 5,00;3;4;0;1;1;0;1;2;2;0;0;0;0;74;46;135;48;33;38;38;49;35;67;1.682;0;0;2.259;2;2;1;0;0;0;1;0;0;0;0;0;0;23;4;69;11;44;14;12;57;33;73;2.808;0;0;3.154;5;6;1;1;1;0;2;2;2;0;0;0;0;97;50;204;59;77;52;50;106;68;140;4.490;0;0;5.413
;07:5,01 a 7,00;0;1;0;0;0;0;2;4;0;0;0;0;2;149;65;111;39;59;30;51;59;6;82;6.365;1;0;7.026;0;0;1;0;0;0;1;1;0;0;0;0;0;43;2;44;7;75;29;13;68;6;96;7.819;0;0;8.205;0;1;1;0;0;0;3;5;0;0;0;0;2;192;67;155;46;134;59;64;127;12;178;14.184;1;0;15.231
;08:7,01 a 10,00;1;0;1;0;0;0;1;2;0;0;0;0;1;168;26;41;18;57;29;54;43;8;74;2.679;1;0;3.204;3;0;0;0;0;0;0;0;0;0;0;0;0;27;0;31;6;45;24;9;94;4;51;3.452;0;0;3.746;4;0;1;0;0;0;1;2;0;0;0;0;1;195;26;72;24;102;53;63;137;12;125;6.131;1;0;6.950
;09:10,01 a 15,00;2;0;0;0;0;0;0;0;0;0;0;0;0;61;2;21;5;48;16;37;23;2;46;1.360;0;0;1.623;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;24;15;5;26;2;44;1.529;0;0;1.669;2;0;0;0;0;0;0;0;0;0;0;0;0;73;2;33;5;72;31;42;49;4;90;2.889;0;0;3.292
;10:15,01 a 20,00;2;0;0;0;0;0;1;0;0;0;0;0;0;29;2;4;0;17;14;12;7;4;7;657;0;0;756;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;3;0;12;6;5;5;5;9;381;0;0;437;3;0;0;0;0;0;1;0;0;0;0;0;0;39;2;7;0;29;20;17;12;9;16;1.038;0;0;1.193
;11:Mais de 20,00;1;0;0;0;0;0;0;0;0;0;0;0;0;80;0;5;1;18;17;3;5;2;4;1.013;0;0;1.149;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;4;5;3;3;3;0;454;0;0;477;1;0;0;0;0;0;0;0;0;0;0;0;0;83;0;7;1;22;22;6;8;5;4;1.467;0;0;1.626
;{ñ class};0;1;1;1;0;0;2;0;0;0;0;0;0;1;13;25;2;0;20;28;4;2;50;6;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;3;3;5;7;2;41;10;0;0;80;0;1;1;1;0;0;2;0;0;0;0;0;0;2;14;31;3;3;23;33;11;4;91;16;0;0;236
172100:Palmas - TO;Total;86;302;203;34;11;56;50;224;73;224;29;8;262;1.661;5.521;4.819;1.620;403;2.729;1.615;1.679;270;1.923;28.132;264;0;52.198;12;30;20;5;3;5;3;116;15;48;65;3;145;381;475;3.628;546;368;988;406;1.922;987;1.982;39.439;30;0;51.622;98;332;223;39;14;61;53;340;88;272;94;11;407;2.042;5.996;8.447;2.166;771;3.717;2.021;3.601;1.257;3.905;67.571;294;0;103.820
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;0;9;1;5;2;8;8;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;2;0;3;0;2;2;6;17;1;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;4;0;12;1;7;4;14;25;1;0;157
;01:0,51 a 1,00;2;34;5;0;0;0;1;5;3;2;2;0;7;18;189;169;19;13;106;55;123;18;64;505;81;0;1.421;1;3;0;0;0;0;1;10;3;0;3;0;13;26;22;188;35;7;94;23;178;91;174;695;9;0;1.576;3;37;5;0;0;0;2;15;6;2;5;0;20;44;211;357;54;20;200;78;301;109;238;1.200;90;0;2.997
;02:1,01 a 1,50;16;147;95;16;4;28;36;67;26;85;19;7;164;146;1.810;2.479;801;17;572;294;857;91;266;5.490;116;0;13.649;3;18;14;3;0;4;2;42;7;24;52;3;118;44;201;2.140;282;26;388;81;1.134;520;340;8.686;15;0;14.147;19;165;109;19;4;32;38;109;33;109;71;10;282;190;2.011;4.619;1.083;43;960;375;1.991;611;606;14.176;131;0;27.796
;03:1,51 a 2,00;12;54;56;6;4;19;8;48;13;40;6;0;63;61;1.157;931;348;7;1.358;185;235;64;250;2.076;35;0;7.036;5;3;4;0;1;1;0;18;1;7;5;0;10;39;59;631;118;22;227;30;205;175;172;3.418;3;0;5.154;17;57;60;6;5;20;8;66;14;47;11;0;73;100;1.216;1.562;466;29;1.585;215;440;239;422;5.494;38;0;12.190
;04:2,01 a 3,00;43;40;40;4;3;5;3;40;18;57;1;0;15;520;1.483;625;240;22;380;615;172;37;182;4.040;21;0;8.606;2;3;1;2;2;0;0;20;3;12;5;0;3;90;98;377;64;22;120;124;150;101;216;8.097;1;0;9.513;45;43;41;6;5;5;3;60;21;69;6;0;18;610;1.581;1.002;304;44;500;739;322;138;398;12.137;22;0;18.119
;05:3,01 a 4,00;4;16;2;4;0;1;2;31;7;22;1;1;8;367;423;252;100;61;104;157;63;34;298;3.786;4;0;5.748;0;0;1;0;0;0;0;17;1;4;0;0;1;31;43;111;24;47;66;58;63;43;229;4.384;0;0;5.123;4;16;3;4;0;1;2;48;8;26;1;1;9;398;466;363;124;108;170;215;126;77;527;8.170;4;0;10.871
;06:4,01 a 5,00;4;2;3;2;0;3;0;12;0;6;0;0;0;219;145;108;36;30;64;74;32;7;147;3.084;2;0;3.980;0;2;0;0;0;0;0;3;0;0;0;0;0;50;11;59;7;41;38;30;39;22;168;4.682;1;0;5.153;4;4;3;2;0;3;0;15;0;6;0;0;0;269;156;167;43;71;102;104;71;29;315;7.766;3;0;9.133
;07:5,01 a 7,00;1;5;1;0;0;0;0;12;4;3;0;0;1;115;105;115;34;57;55;85;71;9;167;4.488;2;0;5.330;0;1;0;0;0;0;0;4;0;1;0;0;0;40;20;35;14;64;15;24;43;17;162;5.993;0;0;6.433;1;6;1;0;0;0;0;16;4;4;0;0;1;155;125;150;48;121;70;109;114;26;329;10.481;2;0;11.763
;08:7,01 a 10,00;0;3;0;1;0;0;0;5;1;5;0;0;3;77;118;64;20;74;33;67;66;3;195;1.861;0;0;2.596;0;0;0;0;0;0;0;0;0;0;0;0;0;21;17;12;0;53;24;25;82;6;199;2.040;0;0;2.479;0;3;0;1;0;0;0;5;1;5;0;0;3;98;135;76;20;127;57;92;148;9;394;3.901;0;0;5.075
;09:10,01 a 15,00;0;0;0;0;0;0;0;2;0;2;0;0;0;58;24;33;10;66;25;45;19;2;173;995;0;0;1.454;1;0;0;0;0;0;0;0;0;0;0;0;0;24;4;4;0;60;7;6;11;2;187;652;0;0;958;1;0;0;0;0;0;0;2;0;2;0;0;0;82;28;37;10;126;32;51;30;4;360;1.647;0;0;2.412
;10:15,01 a 20,00;0;0;0;1;0;0;0;1;0;0;0;0;0;32;8;9;2;29;8;18;11;1;141;983;0;0;1.244;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;16;3;0;4;3;97;393;0;0;522;0;0;0;1;0;0;0;1;0;0;0;0;0;38;8;9;2;45;11;18;15;4;238;1.376;0;0;1.766
;11:Mais de 20,00;1;0;0;0;0;0;0;0;0;0;0;0;0;30;4;6;1;26;4;6;18;2;27;776;0;0;901;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;7;3;0;7;1;21;305;0;0;352;1;0;0;0;0;0;0;1;0;0;0;0;0;37;4;6;1;33;7;6;25;3;48;1.081;0;0;1.253
;{ñ class};3;1;1;0;0;0;0;1;1;2;0;0;1;18;55;4;7;1;11;13;7;0;5;40;3;0;174;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;6;0;3;0;5;4;4;11;77;0;0;114;3;1;1;0;0;0;0;2;1;2;0;0;1;21;55;10;7;4;11;18;11;4;16;117;3;0;288
211130:São Luiz - MA;Total;101;545;3.148;2.770;77;152;397;881;169;735;270;4;2.540;2.525;29.125;19.331;5.061;1.442;16.759;12.539;12.724;2.457;3.862;42.989;646;0;161.249;16;46;335;159;9;19;119;380;53;133;346;1;1.399;740;1.499;15.117;1.430;1.543;5.322;2.988;12.215;6.203;4.889;61.029;170;0;116.160;117;591;3.483;2.929;86;171;516;1.261;222;868;616;5;3.939;3.265;30.624;34.448;6.491;2.985;22.081;15.527;24.939;8.660;8.751;104.018;816;0;277.409
;00:Até 0,50;0;0;0;1;0;0;0;0;0;0;0;0;0;19;5;7;0;0;4;7;214;0;75;18;0;0;350;0;0;1;0;0;0;0;6;0;0;0;0;1;11;1;23;1;0;5;3;30;0;74;56;0;0;212;0;0;1;1;0;0;0;6;0;0;0;0;1;30;6;30;1;0;9;10;244;0;149;74;0;0;562
;01:0,51 a 1,00;6;30;34;64;2;8;37;12;17;12;46;0;104;24;945;587;47;19;619;289;1.010;47;295;1.822;38;0;6.114;0;1;4;59;0;0;14;17;7;2;36;0;54;8;97;416;26;51;417;125;1.037;138;468;2.990;8;0;5.975;6;31;38;123;2;8;51;29;24;14;82;0;158;32;1.042;1.003;73;70;1.036;414;2.047;185;763;4.812;46;0;12.089
;02:1,01 a 1,50;28;382;455;260;26;96;251;306;97;256;172;4;1.211;577;10.726;12.314;2.272;94;7.698;2.462;7.472;1.226;990;6.415;351;0;56.141;6;27;82;25;5;16;79;172;31;69;292;1;1.012;183;581;10.934;841;290;2.633;1.495;7.717;3.764;1.362;11.086;80;0;42.783;34;409;537;285;31;112;330;478;128;325;464;5;2.223;760;11.307;23.248;3.113;384;10.331;3.957;15.189;4.990;2.352;17.501;431;0;98.924
;03:1,51 a 2,00;25;88;240;290;19;22;64;223;28;133;23;0;294;271;6.068;3.024;747;73;4.901;1.178;1.792;385;410;3.288;61;0;23.647;2;13;15;15;0;1;12;63;7;11;8;0;89;42;218;1.929;209;107;734;285;1.297;943;702;5.684;8;0;12.394;27;101;255;305;19;23;76;286;35;144;31;0;383;313;6.286;4.953;956;180;5.635;1.463;3.089;1.328;1.112;8.972;69;0;36.041
;04:2,01 a 3,00;9;23;424;596;16;19;26;163;21;91;9;0;424;450;4.955;1.844;522;91;1.530;3.504;955;258;399;6.927;48;0;23.304;1;5;59;30;2;2;6;55;2;13;7;0;99;118;240;1.010;139;87;558;315;862;445;566;14.721;16;0;19.358;10;28;483;626;18;21;32;218;23;104;16;0;523;568;5.195;2.854;661;178;2.088;3.819;1.817;703;965;21.648;64;0;42.662
;05:3,01 a 4,00;3;7;291;698;5;5;9;64;1;107;11;0;194;290;2.802;795;412;177;564;1.360;408;117;362;5.587;24;0;14.293;1;0;26;6;2;0;6;27;2;14;0;0;60;79;114;427;94;171;186;187;631;235;354;8.871;5;0;11.498;4;7;317;704;7;5;15;91;3;121;11;0;254;369;2.916;1.222;506;348;750;1.547;1.039;352;716;14.458;29;0;25.791
;06:4,01 a 5,00;1;4;179;403;1;0;3;36;1;43;1;0;99;181;1.386;258;356;113;279;932;249;118;233;6.584;16;0;11.476;0;0;19;15;0;0;1;10;3;13;0;0;27;50;66;147;47;125;140;139;208;171;303;6.458;9;0;7.951;1;4;198;418;1;0;4;46;4;56;1;0;126;231;1.452;405;403;238;419;1.071;457;289;536;13.042;25;0;19.427
;07:5,01 a 7,00;2;2;331;230;4;0;2;47;1;31;4;0;99;205;973;215;324;229;352;956;231;123;326;6.185;29;0;10.901;1;0;39;3;0;0;0;12;1;5;0;0;20;83;86;121;36;189;212;156;225;183;363;5.812;20;0;7.567;3;2;370;233;4;0;2;59;2;36;4;0;119;288;1.059;336;360;418;564;1.112;456;306;689;11.997;49;0;18.468
;08:7,01 a 10,00;3;4;657;115;0;0;1;8;1;23;2;0;43;125;608;90;188;198;320;722;130;85;344;1.969;30;0;5.666;2;0;29;2;0;0;1;12;0;3;0;0;17;65;45;47;21;228;210;106;102;108;327;2.471;5;0;3.801;5;4;686;117;0;0;2;20;1;26;2;0;60;190;653;137;209;426;530;828;232;193;671;4.440;35;0;9.467
;09:10,01 a 15,00;2;3;303;49;2;0;0;13;1;17;1;0;22;97;249;75;97;271;193;585;65;30;231;1.241;14;0;3.561;0;0;40;4;0;0;0;4;0;2;0;0;9;51;29;22;10;214;133;84;41;28;219;1.168;9;0;2.067;2;3;343;53;2;0;0;17;1;19;1;0;31;148;278;97;107;485;326;669;106;58;450;2.409;23;0;5.628
;10:15,01 a 20,00;4;0;74;41;0;0;1;0;0;6;0;0;6;94;101;26;41;97;100;155;23;25;92;1.237;8;0;2.131;3;0;9;0;0;0;0;0;0;0;0;0;2;28;10;5;2;65;49;27;5;65;74;754;3;0;1.101;7;0;83;41;0;0;1;0;0;6;0;0;8;122;111;31;43;162;149;182;28;90;166;1.991;11;0;3.232
;11:Mais de 20,00;18;0;96;17;0;0;0;5;0;3;0;0;11;173;118;21;31;75;90;129;24;29;39;1.697;25;0;2.601;0;0;10;0;0;0;0;1;0;0;0;0;0;8;10;2;2;14;26;20;2;72;15;932;7;0;1.121;18;0;106;17;0;0;0;6;0;3;0;0;11;181;128;23;33;89;116;149;26;101;54;2.629;32;0;3.722
;{ñ class};0;2;64;6;2;2;3;4;1;13;1;0;33;19;189;75;24;5;109;260;151;14;66;19;2;0;1.064;0;0;2;0;0;0;0;1;0;1;3;0;9;14;2;34;2;2;19;46;58;51;62;26;0;0;332;0;2;66;6;2;2;3;5;1;14;4;0;42;33;191;109;26;7;128;306;209;65;128;45;2;0;1.396
221100:Terezina - PI;Total;138;1.720;841;265;78;709;1.013;626;442;1.014;1.105;41;3.290;2.588;15.700;17.222;5.645;1.623;8.533;6.796;10.262;3.463;7.621;35.726;1.165;0;127.626;17;129;78;42;16;138;120;228;110;301;2.390;12;1.372;473;881;11.246;1.804;1.599;2.237;1.094;10.788;7.949;8.373;44.644;128;0;96.169;155;1.849;919;307;94;847;1.133;854;552;1.315;3.495;53;4.662;3.061;16.581;28.468;7.449;3.222;10.770;7.890;21.050;11.412;15.994;80.370;1.293;0;223.795
