Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total
110020:Porto Velho - RO;Total;57;500;323;48;4;49;564;252;91;89;46;0;1.587;1.686;5.911;9.076;2.747;566;6.929;3.399;3.233;568;2.419;30.974;766;0;71.884;10;51;29;4;0;5;94;132;44;26;158;0;646;438;634;6.783;1.083;569;1.826;835;4.099;1.799;2.629;36.376;225;0;58.495;67;551;352;52;4;54;658;384;135;115;204;0;2.233;2.124;6.545;15.859;3.830;1.135;8.755;4.234;7.332;2.367;5.048;67.350;991;0;130.379
;08:7,01 a 10,00;0;2;1;0;0;0;0;5;2;0;0;0;18;372;84;90;46;84;53;110;117;3;267;2.354;1;0;3.609;1;0;0;0;0;0;0;4;0;0;0;0;0;97;9;29;12;74;24;49;243;11;226;1.836;0;0;2.615;1;2;1;0;0;0;0;9;2;0;0;0;18;469;93;119;58;158;77;159;360;14;493;4.190;1;0;6.224
;09:10,01 a 15,00;0;1;0;0;0;0;0;0;1;2;0;0;6;321;71;49;28;67;37;59;44;2;187;1.793;2;0;2.670;0;0;0;0;0;0;0;0;0;0;0;0;1;66;11;15;1;59;11;15;59;0;168;1.031;0;0;1.437;0;1;0;0;0;0;0;0;1;2;0;0;7;387;82;64;29;126;48;74;103;2;355;2.824;2;0;4.107
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;1;156;34;14;10;26;23;26;12;1;87;825;1;0;1.216;0;0;0;0;0;0;0;0;1;0;0;0;0;33;2;1;1;15;10;8;12;0;90;348;0;0;521;0;0;0;0;0;0;0;0;1;0;0;0;1;189;36;15;11;41;33;34;24;1;177;1.173;1;0;1.737
;11:Mais de 20,00;0;1;0;0;0;0;0;0;0;0;0;0;5;189;61;9;12;28;39;18;20;0;37;1.608;0;0;2.027;0;0;0;0;0;0;0;0;0;0;0;0;0;22;4;1;0;5;11;2;7;0;19;762;0;0;833;0;1;0;0;0;0;0;0;0;0;0;0;5;211;65;10;12;33;50;20;27;0;56;2.370;0;0;2.860
;{ñ class};1;6;2;0;0;1;5;2;1;0;0;0;14;19;65;72;25;5;84;164;28;1;33;119;13;0;660;0;1;0;0;0;0;0;0;0;0;1;0;6;8;1;26;4;6;12;13;26;13;21;54;2;0;194;1;7;2;0;0;1;5;2;1;0;1;0;20;27;66;98;29;11;96;177;54;14;54;173;15;0;854
120040:Rio Branco - AC;Total;136;491;154;21;35;51;893;150;135;78;108;0;1.240;872;5.096;6.885;1.170;351;2.300;2.061;2.458;361;1.409;15.871;1.505;0;43.831;31;42;8;5;10;6;132;60;25;37;93;2;411;146;395;4.416;426;347;747;644;3.004;1.341;1.570;21.603;329;0;35.830;167;533;162;26;45;57;1.025;210;160;115;201;2;1.651;1.018;5.491;11.301;1.596;698;3.047;2.705;5.462;1.702;2.979;37.474;1.834;0;79.661
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;7;12;19;32;6;2;16;5;15;2;13;1;4;0;134;0;0;0;0;0;0;0;0;0;0;0;0;1;8;17;34;4;5;12;16;25;4;14;6;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;8;20;36;66;10;7;28;21;40;6;27;7;4;0;280
;01:0,51 a 1,00;4;35;10;0;2;0;33;7;3;3;2;0;17;7;111;215;23;3;60;28;153;14;74;13;284;0;1.101;0;3;2;0;2;0;6;2;0;3;1;1;12;5;31;158;23;2;58;12;143;60;84;14;38;0;660;4;38;12;0;4;0;39;9;3;6;3;1;29;12;142;373;46;5;118;40;296;74;158;27;322;0;1.761
;02:1,01 a 1,50;82;303;72;5;17;29;395;64;54;65;89;0;475;65;2.196;3.862;637;20;771;475;1.441;87;204;865;591;0;12.864;26;33;3;4;6;5;83;34;18;23;83;1;251;10;237;2.903;272;31;436;183;2.099;410;300;1.701;76;0;9.228;108;336;75;9;23;34;478;98;72;88;172;1;726;75;2.433;6.765;909;51;1.207;658;3.540;497;504;2.566;667;0;22.092
;03:1,51 a 2,00;34;91;34;10;3;7;243;20;46;1;12;0;313;73;1.483;1.279;200;11;1.026;429;281;68;123;1.594;290;0;7.671;3;3;1;1;0;1;14;12;7;6;2;0;93;0;46;690;50;14;78;192;217;235;183;2.874;101;0;4.823;37;94;35;11;3;8;257;32;53;7;14;0;406;73;1.529;1.969;250;25;1.104;621;498;303;306;4.468;391;0;12.494
;04:2,01 a 3,00;13;44;26;5;6;13;150;28;22;7;3;0;259;134;861;831;171;20;173;405;214;78;135;2.738;190;0;6.526;1;2;1;0;0;0;17;4;0;3;7;0;24;15;31;367;51;53;53;102;204;242;265;4.956;62;0;6.460;14;46;27;5;6;13;167;32;22;10;10;0;283;149;892;1.198;222;73;226;507;418;320;400;7.694;252;0;12.986
;05:3,01 a 4,00;1;3;2;1;2;2;27;25;3;2;0;0;95;80;205;330;76;41;72;411;128;34;100;2.318;56;0;4.014;1;1;0;0;2;0;4;6;0;0;0;0;11;16;16;135;13;59;31;42;99;150;156;2.422;15;0;3.179;2;4;2;1;4;2;31;31;3;2;0;0;106;96;221;465;89;100;103;453;227;184;256;4.740;71;0;7.193
;06:4,01 a 5,00;0;1;0;0;1;0;7;4;2;0;1;0;38;92;63;113;21;38;32;74;67;21;101;3.138;11;0;3.825;0;0;1;0;0;0;2;0;0;1;0;0;9;12;3;44;7;34;10;25;45;101;109;3.124;4;0;3.531;0;1;1;0;1;0;9;4;2;1;1;0;47;104;66;157;28;72;42;99;112;122;210;6.262;15;0;7.356
;07:5,01 a 7,00;0;0;0;0;2;0;10;0;3;0;0;0;18;147;31;92;22;70;39;67;65;20;184;2.205;13;0;2.988;0;0;0;0;0;0;4;1;0;0;0;0;3;21;5;49;3;69;23;36;81;66;141;3.395;1;0;3.898;0;0;0;0;2;0;14;1;3;0;0;0;21;168;36;141;25;139;62;103;146;86;325;5.600;14;0;6.886
;08:7,01 a 10,00;0;1;2;0;1;0;8;1;1;0;0;0;3;81;42;48;4;59;26;39;38;21;202;1.075;25;0;1.677;0;0;0;0;0;0;1;0;0;0;0;0;2;21;7;15;1;36;15;16;42;34;121;1.464;24;0;1.799;0;1;2;0;1;0;9;1;1;0;0;0;5;102;49;63;5;95;41;55;80;55;323;2.539;49;0;3.476
;09:10,01 a 15,00;0;1;1;0;0;0;2;1;0;0;0;0;3;63;11;25;3;56;31;27;21;13;113;807;28;0;1.206;0;0;0;0;0;0;0;0;0;0;0;0;1;20;0;3;0;26;14;6;16;25;106;1.035;6;0;1.258;0;1;1;0;0;0;2;1;0;0;0;0;4;83;11;28;3;82;45;33;37;38;219;1.842;34;0;2.464
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;2;31;9;5;1;10;23;6;7;2;69;368;1;0;534;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;13;4;1;7;9;48;238;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;2;40;9;6;1;23;27;7;14;11;117;606;1;0;864
;11:Mais de 20,00;0;0;0;0;1;0;0;0;0;0;0;0;3;83;6;6;2;21;18;4;9;0;84;746;2;0;985;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;4;7;1;2;3;36;372;0;0;434;0;0;0;0;1;0;0;0;0;0;0;0;3;92;6;6;2;25;25;5;11;3;120;1.118;2;0;1.419
;{ñ class};2;12;7;0;0;0;18;0;1;0;1;0;7;4;59;47;4;0;13;91;19;1;7;3;10;0;306;0;0;0;0;0;0;1;1;0;1;0;0;4;0;2;17;2;1;6;12;24;2;7;2;2;0;84;2;12;7;0;0;0;19;1;1;1;1;0;11;4;61;64;6;1;19;103;43;3;14;5;12;0;390
130260:Manaus - AM;Total;94;1.106;6.536;5.799;13.770;20.309;879;2.951;3.579;8.643;497;9;6.900;4.501;22.051;27.768;9.537;1.841;24.781;23.747;16.014;2.308;6.480;50.716;1.101;0;261.917;11;165;1.424;5.347;13.235;3.173;201;1.245;2.171;4.504;1.078;9;4.276;708;2.050;22.070;3.852;2.037;8.613;5.702;17.904;6.472;8.454;63.532;319;0;178.552;105;1.271;7.960;11.146;27.005;23.482;1.080;4.196;5.750;13.147;1.575;18;11.176;5.209;24.101;49.838;13.389;3.878;33.394;29.449;33.918;8.780;14.934;114.248;1.420;0;440.469
;00:Até 0,50;0;1;28;68;98;29;0;16;41;44;4;0;8;0;86;161;17;4;39;41;102;6;31;6;0;0;830;0;0;11;64;56;17;0;13;26;53;6;0;13;1;23;150;18;9;41;23;115;5;38;9;0;0;691;0;1;39;132;154;46;0;29;67;97;10;0;21;1;109;311;35;13;80;64;217;11;69;15;0;0;1.521
;01:0,51 a 1,00;0;19;80;101;211;231;16;56;37;75;34;1;151;19;191;683;130;11;341;620;1.038;32;253;190;89;0;4.609;1;12;28;91;214;101;5;31;11;97;56;0;139;16;51;647;130;31;346;92;1.037;107;599;267;26;0;4.135;1;31;108;192;425;332;21;87;48;172;90;1;290;35;242;1.330;260;42;687;712;2.075;139;852;457;115;0;8.744
;02:1,01 a 1,50;6;391;1.054;1.252;2.053;752;480;733;902;1.726;264;2;2.782;246;4.482;13.838;3.966;52;4.828;4.132;7.156;447;749;3.964;569;0;56.826;2;59;338;2.288;4.377;408;121;486;553;1.507;831;5;2.874;53;603;13.707;2.047;86;3.549;1.003;10.540;1.996;1.678;6.532;206;0;55.849;8;450;1.392;3.540;6.430;1.160;601;1.219;1.455;3.233;1.095;7;5.656;299;5.085;27.545;6.013;138;8.377;5.135;17.696;2.443;2.427;10.496;775;0;112.675
;03:1,51 a 2,00;8;211;1.916;1.489;3.396;2.808;223;647;870;2.146;105;1;1.410;908;5.958;5.531;1.968;28;7.632;4.530;2.511;377;526;1.673;259;0;47.131;0;20;312;1.592;3.796;833;31;228;787;1.335;105;1;532;37;371;3.524;595;115;2.014;2.182;1.926;1.100;786;2.673;49;0;24.944;8;231;2.228;3.081;7.192;3.641;254;875;1.657;3.481;210;2;1.942;945;6.329;9.055;2.563;143;9.646;6.712;4.437;1.477;1.312;4.346;308;0;72.075
;04:2,01 a 3,00;23;218;1.486;1.127;3.342;6.485;108;657;742;1.697;58;5;1.260;659;5.758;3.884;1.519;129;8.368;5.223;2.319;670;773;10.664;94;0;57.268;2;16;303;658;2.783;767;23;182;448;612;33;2;331;119;350;2.217;439;175;1.250;1.108;1.735;1.669;1.076;21.188;21;0;37.507;25;234;1.789;1.785;6.125;7.252;131;839;1.190;2.309;91;7;1.591;778;6.108;6.101;1.958;304;9.618;6.331;4.054;2.339;1.849;31.852;115;0;94.775
;05:3,01 a 4,00;5;93;596;492;1.164;3.691;25;290;321;823;16;0;462;544;2.013;1.549;663;232;1.299;5.320;1.100;269;832;6.547;54;0;28.400;2;22;141;215;662;294;9;98;146;291;10;1;128;100;213;749;226;295;393;518;914;696;1.084;9.301;6;0;16.514;7;115;737;707;1.826;3.985;34;388;467;1.114;26;1;590;644;2.226;2.298;889;527;1.692;5.838;2.014;965;1.916;15.848;60;0;44.914
;06:4,01 a 5,00;7;49;313;260;577;1.995;10;161;178;457;4;0;394;651;1.125;802;428;203;530;1.825;408;98;551;7.815;17;0;18.858;0;7;89;116;273;212;4;52;72;145;7;0;76;68;110;368;137;249;219;231;521;156;724;5.215;5;0;9.056;7;56;402;376;850;2.207;14;213;250;602;11;0;470;719;1.235;1.170;565;452;749;2.056;929;254;1.275;13.030;22;0;27.914
;07:5,01 a 7,00;10;58;351;312;876;1.760;7;172;210;590;4;0;201;512;907;609;321;386;543;949;441;71;827;6.866;8;0;16.991;1;14;97;121;331;226;3;64;47;178;2;0;74;110;120;346;98;401;296;234;517;187;821;7.430;0;0;11.718;11;72;448;433;1.207;1.986;10;236;257;768;6;0;275;622;1.027;955;419;787;839;1.183;958;258;1.648;14.296;8;0;28.709
;08:7,01 a 10,00;5;22;283;271;716;929;2;104;151;471;0;0;104;232;649;357;210;282;384;466;410;170;819;5.233;5;0;12.275;0;12;52;86;268;140;1;40;34;134;2;0;54;80;120;196;78;322;198;173;309;349;775;5.184;3;0;8.610;5;34;335;357;984;1.069;3;144;185;605;2;0;158;312;769;553;288;604;582;639;719;519;1.594;10.417;8;0;20.885
;09:10,01 a 15,00;10;15;194;231;629;617;3;51;63;305;0;0;42;222;388;124;119;268;293;260;226;93;554;3.283;1;0;7.991;1;2;37;53;213;112;0;28;24;68;1;0;20;70;56;70;44;240;135;66;155;133;438;2.616;2;0;4.584;11;17;231;284;842;729;3;79;87;373;1;0;62;292;444;194;163;508;428;326;381;226;992;5.899;3;0;12.575
;10:15,01 a 20,00;5;7;105;82;290;347;0;22;17;124;2;0;15;221;179;62;51;114;149;94;87;41;268;1.645;1;0;3.928;1;0;8;18;78;28;0;14;3;18;1;0;2;39;19;20;17;72;41;34;32;39;206;1.263;0;0;1.953;6;7;113;100;368;375;0;36;20;142;3;0;17;260;198;82;68;186;190;128;119;80;474;2.908;1;0;5.881
;11:Mais de 20,00;7;9;99;95;311;496;1;20;34;133;0;0;27;271;168;63;94;125;191;75;156;28;113;2.801;0;0;5.317;0;1;5;6;46;23;0;5;4;31;0;0;5;13;7;21;16;36;38;12;27;16;30;1.801;0;0;2.143;7;10;104;101;357;519;1;25;38;164;0;0;32;284;175;84;110;161;229;87;183;44;143;4.602;0;0;7.460
;{ñ class};8;13;31;19;107;169;4;22;13;52;6;0;44;16;147;105;51;7;184;212;60;6;184;29;4;0;1.493;1;0;3;39;138;12;4;4;16;35;24;0;28;2;7;55;7;6;93;26;76;19;199;53;1;0;848;9;13;34;58;245;181;8;26;29;87;30;0;72;18;154;160;58;13;277;238;136;25;383;82;5;0;2.341
140010:Boa Vista - RR;Total;23;257;19;11;6;1;139;116;45;23;6;4;736;1.353;2.436;4.742;1.043;233;1.223;987;1.653;169;1.251;7.718;663;0;24.857;5;13;8;6;0;1;16;58;8;5;24;2;218;333;1.686;3.626;416;218;530;297;2.809;501;1.616;9.060;127;0;21.583;28;270;27;17;6;2;155;174;53;28;30;6;954;1.686;4.122;8.368;1.459;451;1.753;1.284;4.462;670;2.867;16.778;790;0;46.440
;00:Até 0,50;0;0;0;0;0;0;1;0;1;0;0;0;0;2;2;15;0;0;1;4;7;3;6;5;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;0;0;3;4;5;2;4;1;0;0;39;0;0;0;0;0;0;1;0;1;0;0;0;0;2;3;34;0;0;4;8;12;5;10;6;0;0;86
;01:0,51 a 1,00;1;43;1;0;0;1;26;7;1;6;0;0;29;27;85;122;46;2;42;49;134;12;74;135;45;0;888;0;1;0;0;0;0;3;4;3;0;3;0;12;14;214;105;62;3;43;17;316;60;134;289;11;0;1.294;1;44;1;0;0;1;29;11;4;6;3;0;41;41;299;227;108;5;85;66;450;72;208;424;56;0;2.182
;02:1,01 a 1,50;3;136;15;8;1;0;73;68;11;9;6;4;413;69;1.234;2.934;456;16;570;251;993;57;190;719;297;0;8.533;1;9;8;5;0;1;11;36;3;5;21;2;131;25;1.361;2.584;256;14;291;108;1.930;248;313;1.167;37;0;8.567;4;145;23;13;1;1;84;104;14;14;27;6;544;94;2.595;5.518;712;30;861;359;2.923;305;503;1.886;334;0;17.100
;03:1,51 a 2,00;11;38;3;2;1;0;24;22;25;4;0;0;129;163;235;795;252;0;299;144;181;47;120;423;89;0;3.007;2;1;0;1;0;0;0;8;2;0;0;0;28;19;59;486;32;6;69;42;175;104;151;399;20;0;1.604;13;39;3;3;1;0;24;30;27;4;0;0;157;182;294;1.281;284;6;368;186;356;151;271;822;109;0;4.611
;04:2,01 a 3,00;7;22;0;1;2;0;12;12;5;0;0;0;113;306;628;517;184;7;140;266;134;26;173;824;125;0;3.504;0;1;0;0;0;0;2;6;0;0;0;0;25;64;20;286;30;13;36;51;105;53;244;1.080;14;0;2.030;7;23;0;1;2;0;14;18;5;0;0;0;138;370;648;803;214;20;176;317;239;79;417;1.904;139;0;5.534
;05:3,01 a 4,00;0;14;0;0;0;0;2;5;0;1;0;0;32;188;87;168;64;24;23;102;51;13;112;564;49;0;1.499;1;1;0;0;0;0;0;2;0;0;0;0;8;30;18;66;22;47;11;30;68;11;123;696;20;0;1.154;1;15;0;0;0;0;2;7;0;1;0;0;40;218;105;234;86;71;34;132;119;24;235;1.260;69;0;2.653
;06:4,01 a 5,00;0;1;0;0;2;0;0;1;1;0;0;0;4;124;78;82;14;23;15;34;56;5;112;766;21;0;1.339;0;0;0;0;0;0;0;0;0;0;0;0;5;45;3;30;6;32;19;9;49;10;126;1.051;10;0;1.395;0;1;0;0;2;0;0;1;1;0;0;0;9;169;81;112;20;55;34;43;105;15;238;1.817;31;0;2.734
