;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;136;650;185;144;19;77;591;195;179;127;48;4;1.586;3.096;3.585;10.778;3.870;677;8.491;4.880;3.116;1.346;2.355;35.616;874;82.625;26;62;37;21;3;17;86;52;56;49;97;0;1.028;615;452;9.258;1.671;860;3.682;1.334;5.117;4.085;3.393;41.602;120;73.723;162;712;222;165;22;94;677;247;235;176;145;4;2.614;3.711;4.037;20.036;5.541;1.537;12.173;6.214;8.233;5.431;5.748;77.218;994;156.348
;00:Até 0,50;0;0;0;1;0;0;0;1;1;0;0;0;19;21;10;103;41;4;63;50;62;12;37;38;3;466;0;3;0;0;0;0;0;0;0;0;0;0;10;25;6;123;26;6;66;31;104;43;51;48;0;542;0;3;0;1;0;0;0;1;1;0;0;0;29;46;16;226;67;10;129;81;166;55;88;86;3;1.008
;01:0,51 a 1,00;4;24;8;8;1;3;18;20;19;3;12;0;102;42;145;736;224;7;458;202;409;81;217;520;78;3.341;1;7;6;0;0;1;5;11;3;1;17;0;111;20;35;922;157;42;414;110;825;292;486;555;23;4.044;5;31;14;8;1;4;23;31;22;4;29;0;213;62;180;1.658;381;49;872;312;1.234;373;703;1.075;101;7.385
;02:1,01 a 1,50;25;224;85;59;5;25;202;94;72;48;24;2;707;156;1.014;4.706;1.390;44;1.784;1.122;1.288;443;464;3.655;292;17.930;7;14;24;14;0;7;46;22;25;18;61;0;559;79;197;4.869;815;122;1.440;411;2.207;1.537;791;6.850;62;20.177;32;238;109;73;5;32;248;116;97;66;85;2;1.266;235;1.211;9.575;2.205;166;3.224;1.533;3.495;1.980;1.255;10.505;354;38.107
;03:1,51 a 2,00;32;157;39;26;2;17;166;38;50;26;6;1;342;645;749;2.315;816;44;3.779;838;608;348;278;2.393;251;13.966;2;11;4;3;1;5;12;10;8;10;12;0;126;68;98;1.596;266;58;870;172;924;1.001;338;5.073;22;10.690;34;168;43;29;3;22;178;48;58;36;18;1;468;713;847;3.911;1.082;102;4.649;1.010;1.532;1.349;616;7.466;273;24.656
;04:2,01 a 3,00;48;122;35;27;1;11;106;27;19;14;5;1;216;638;697;1.354;645;78;1.269;855;306;223;271;6.630;165;13.763;6;11;0;2;0;2;11;5;13;4;4;0;81;96;39;804;177;139;317;136;276;566;433;8.190;8;11.320;54;133;35;29;1;13;117;32;32;18;9;1;297;734;736;2.158;822;217;1.586;991;582;789;704;14.820;173;25.083
;05:3,01 a 4,00;9;34;7;8;0;5;32;9;3;2;1;0;58;178;333;485;305;83;257;451;112;111;214;7.335;44;10.076;2;4;1;1;0;1;1;1;2;2;0;0;24;54;19;261;79;93;96;61;132;213;308;10.378;3;11.736;11;38;8;9;0;6;33;10;5;4;1;0;82;232;352;746;384;176;353;512;244;324;522;17.713;47;21.812
;06:4,01 a 5,00;1;12;1;1;0;3;19;2;3;2;0;0;29;157;93;244;97;57;92;158;43;32;150;4.057;15;5.268;3;1;1;0;0;1;1;2;1;1;0;0;12;41;3;108;37;67;37;40;42;108;189;3.391;0;4.086;4;13;2;1;0;4;20;4;4;3;0;0;41;198;96;352;134;124;129;198;85;140;339;7.448;15;9.354
;07:5,01 a 7,00;6;13;1;1;0;4;4;2;0;0;0;0;17;381;38;201;123;88;86;195;60;31;166;4.344;7;5.768;2;4;0;0;0;0;1;0;0;1;0;0;3;69;5;106;27;117;44;29;58;66;222;2.921;1;3.676;8;17;1;1;0;4;5;2;0;1;0;0;20;450;43;307;150;205;130;224;118;97;388;7.265;8;9.444
;08:7,01 a 10,00;0;4;1;0;0;1;1;0;2;0;0;0;3;318;10;96;41;100;53;82;27;7;194;2.319;1;3.260;0;1;0;0;0;0;0;0;0;0;0;0;2;57;2;32;11;87;18;16;22;21;190;1.811;0;2.270;0;5;1;0;0;1;1;0;2;0;0;0;5;375;12;128;52;187;71;98;49;28;384;4.130;1;5.530
;09:10,01 a 15,00;2;1;0;0;0;1;1;0;0;1;0;0;3;174;4;31;33;56;37;45;14;4;219;2.053;0;2.679;0;0;0;0;0;0;0;0;0;0;0;0;2;33;0;9;5;40;19;10;14;9;198;1.330;0;1.669;2;1;0;0;0;1;1;0;0;1;0;0;5;207;4;40;38;96;56;55;28;13;417;3.383;0;4.348
;10:15,01 a 20,00;1;0;0;0;0;0;1;0;0;0;0;0;1;89;1;12;5;22;11;9;3;0;52;1.119;0;1.326;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;3;0;12;6;4;4;1;42;542;0;634;1;0;0;0;0;0;1;0;0;0;0;0;1;109;1;15;5;34;17;13;7;1;94;1.661;0;1.960
;11:Mais de 20,00;0;1;0;0;0;0;0;0;0;0;0;0;1;139;0;5;8;42;42;5;5;0;11;1.092;0;1.351;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;1;8;15;0;2;1;9;423;0;473;0;1;0;0;0;0;0;0;0;0;0;0;2;152;0;5;9;50;57;5;7;1;20;1.515;0;1.824
;{ñ class};8;58;8;13;10;7;41;2;10;31;0;0;88;158;491;490;142;52;560;868;179;54;82;61;18;3.431;3;6;1;1;2;0;9;1;4;12;3;0;97;40;48;425;70;69;340;314;507;227;136;90;1;2.406;11;64;9;14;12;7;50;3;14;43;3;0;185;198;539;915;212;121;900;1.182;686;281;218;151;19;5.837
120040:Rio Branco - AC;Total;9;505;83;16;11;71;510;134;189;116;36;10;1.168;976;3.704;8.941;2.345;911;5.643;1.909;3.131;1.038;1.125;18.896;1.042;52.519;1;27;9;3;5;27;84;64;45;39;79;11;558;200;1.185;5.958;790;1.303;3.333;524;4.301;2.777;1.762;24.293;149;47.527;10;532;92;19;16;98;594;198;234;155;115;21;1.726;1.176;4.889;14.899;3.135;2.214;8.976;2.433;7.432;3.815;2.887;43.189;1.191;100.046
;00:Até 0,50;0;1;0;0;0;0;10;1;1;0;0;0;25;13;23;154;39;2;40;15;30;8;18;5;7;392;0;1;0;0;0;0;4;1;0;1;1;0;7;21;7;121;17;4;25;9;55;10;22;4;2;312;0;2;0;0;0;0;14;2;1;1;1;0;32;34;30;275;56;6;65;24;85;18;40;9;9;704
;01:0,51 a 1,00;0;68;7;3;1;12;68;29;9;7;10;0;103;6;274;911;162;253;640;240;576;76;203;276;220;4.154;1;4;2;1;0;0;22;22;4;2;28;2;107;1;348;786;80;588;974;140;1.104;262;293;790;70;5.631;1;72;9;4;1;12;90;51;13;9;38;2;210;7;622;1.697;242;841;1.614;380;1.680;338;496;1.066;290;9.785
