;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;08:7,01 a 10,00;0;21;7;23;0;0;2;4;8;8;2;0;10;279;1.222;126;76;98;81;90;268;9;313;2.897;1;5.545;0;3;0;0;0;0;0;3;0;1;0;0;4;69;67;38;20;91;30;30;220;13;347;1.583;0;2.519;0;24;7;23;0;0;2;7;8;9;2;0;14;348;1.289;164;96;189;111;120;488;22;660;4.480;1;8.064
;09:10,01 a 15,00;0;6;0;16;0;0;3;0;0;3;0;0;5;170;888;65;43;75;57;48;203;22;214;1.868;0;3.686;0;0;0;1;0;0;0;0;1;0;0;0;2;46;26;17;7;48;19;10;271;12;217;1.060;0;1.737;0;6;0;17;0;0;3;0;1;3;0;0;7;216;914;82;50;123;76;58;474;34;431;2.928;0;5.423
;10:15,01 a 20,00;0;2;0;8;0;0;0;0;1;0;0;0;3;113;438;26;11;32;26;23;32;2;62;1.128;1;1.908;0;0;0;0;0;0;0;0;0;0;0;0;0;22;7;3;0;18;10;3;27;2;58;537;0;687;0;2;0;8;0;0;0;0;1;0;0;0;3;135;445;29;11;50;36;26;59;4;120;1.665;1;2.595
;11:Mais de 20,00;0;1;0;2;0;0;0;0;0;1;0;0;3;230;235;14;15;30;48;8;25;3;33;1.284;0;1.932;0;0;0;1;0;0;0;0;0;0;0;0;0;24;12;10;0;10;13;1;7;0;30;547;0;655;0;1;0;3;0;0;0;0;0;1;0;0;3;254;247;24;15;40;61;9;32;3;63;1.831;0;2.587
;{ñ class};1;16;4;8;1;1;3;0;4;1;0;0;20;23;294;89;34;3;122;135;72;7;11;73;8;930;0;1;1;0;0;0;0;1;2;1;0;0;12;1;32;41;5;3;13;14;61;13;18;88;2;309;1;17;5;8;1;1;3;1;6;2;0;0;32;24;326;130;39;6;135;149;133;20;29;161;10;1.239
120040:Rio Branco - AC;Total;266;724;115;33;4;68;879;168;167;160;84;0;1.246;962;5.858;8.951;1.989;437;4.734;2.136;3.540;1.405;1.599;18.051;1.249;54.825;53;63;12;14;0;12;156;60;35;69;124;0;591;207;878;6.924;752;485;2.235;792;3.874;3.159;1.845;22.295;141;44.776;319;787;127;47;4;80;1.035;228;202;229;208;0;1.837;1.169;6.736;15.875;2.741;922;6.969;2.928;7.414;4.564;3.444;40.346;1.390;99.601
;00:Até 0,50;0;1;0;0;0;0;0;0;0;0;0;0;4;7;24;73;26;0;5;25;18;2;9;4;0;198;0;1;0;0;0;0;0;0;0;0;0;0;8;9;26;47;22;2;12;10;23;3;6;3;1;173;0;2;0;0;0;0;0;0;0;0;0;0;12;16;50;120;48;2;17;35;41;5;15;7;1;371
;01:0,51 a 1,00;1;61;8;3;0;6;21;4;5;4;3;0;66;15;212;359;33;5;60;30;136;33;56;17;313;1.451;4;5;0;1;0;1;4;9;2;2;7;0;69;2;58;483;34;9;83;11;169;59;105;23;43;1.183;5;66;8;4;0;7;25;13;7;6;10;0;135;17;270;842;67;14;143;41;305;92;161;40;356;2.634
;02:1,01 a 1,50;102;394;61;16;3;30;322;67;70;104;68;0;426;31;2.281;4.683;990;25;1.981;558;2.060;301;275;569;578;15.995;30;40;8;9;0;8;85;32;27;41;107;0;335;6;582;4.301;436;54;1.430;262;2.346;818;360;1.093;71;12.481;132;434;69;25;3;38;407;99;97;145;175;0;761;37;2.863;8.984;1.426;79;3.411;820;4.406;1.119;635;1.662;649;28.476
;03:1,51 a 2,00;64;152;26;7;1;15;256;32;48;31;9;0;292;88;1.551;1.908;463;20;1.780;387;599;433;123;1.123;217;9.625;13;10;1;4;0;1;32;10;3;13;4;0;93;2;85;1.197;112;38;326;242;620;979;155;2.360;10;6.310;77;162;27;11;1;16;288;42;51;44;13;0;385;90;1.636;3.105;575;58;2.106;629;1.219;1.412;278;3.483;227;15.935
;04:2,01 a 3,00;83;96;14;6;0;16;169;49;28;13;3;0;280;84;1.229;1.068;273;24;432;508;353;167;161;4.128;92;9.276;6;5;1;0;0;2;15;6;1;6;5;0;41;10;55;546;88;38;175;105;314;411;299;4.534;4;6.667;89;101;15;6;0;18;184;55;29;19;8;0;321;94;1.284;1.614;361;62;607;613;667;578;460;8.662;96;15.943
;05:3,01 a 4,00;10;10;3;1;0;1;41;10;8;4;0;0;84;117;255;380;68;69;134;341;129;69;173;3.760;11;5.678;0;1;1;0;0;0;5;1;1;1;0;0;18;21;16;158;26;114;49;43;123;237;222;3.910;2;4.949;10;11;4;1;0;1;46;11;9;5;0;0;102;138;271;538;94;183;183;384;252;306;395;7.670;13;10.627
;06:4,01 a 5,00;4;2;0;0;0;0;20;1;5;1;1;0;27;69;64;164;46;50;73;77;57;113;130;2.505;11;3.420;0;0;0;0;0;0;4;2;1;1;0;0;11;30;21;67;20;39;29;46;56;294;164;4.012;4;4.801;4;2;0;0;0;0;24;3;6;2;1;0;38;99;85;231;66;89;102;123;113;407;294;6.517;15;8.221
;07:5,01 a 7,00;1;1;0;0;0;0;12;1;1;3;0;0;16;112;51;130;51;80;54;86;51;56;222;2.187;7;3.122;0;1;0;0;0;0;4;0;0;1;0;0;2;26;11;52;9;87;41;28;57;133;164;3.185;2;3.803;1;2;0;0;0;0;16;1;1;4;0;0;18;138;62;182;60;167;95;114;108;189;386;5.372;9;6.925
;08:7,01 a 10,00;1;1;0;0;0;0;9;0;2;0;0;0;6;141;55;65;20;71;53;29;35;26;237;1.327;2;2.080;0;0;0;0;0;0;4;0;0;0;0;0;2;27;16;29;4;48;27;12;26;41;189;1.439;2;1.866;1;1;0;0;0;0;13;0;2;0;0;0;8;168;71;94;24;119;80;41;61;67;426;2.766;4;3.946
;09:10,01 a 15,00;0;0;1;0;0;0;0;0;0;0;0;0;5;119;9;29;3;56;41;19;51;34;123;946;0;1.436;0;0;0;0;0;0;0;0;0;0;0;0;1;40;2;6;0;36;16;5;83;36;114;704;0;1.043;0;0;1;0;0;0;0;0;0;0;0;0;6;159;11;35;3;92;57;24;134;70;237;1.650;0;2.479
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;2;64;2;6;4;18;28;4;15;78;40;366;1;628;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;10;14;2;12;61;28;256;0;403;0;0;0;0;0;0;0;0;0;0;0;0;2;84;2;6;4;28;42;6;27;139;68;622;1;1.031
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;2;93;0;5;2;16;48;4;3;74;39;686;0;972;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;6;19;1;4;57;23;326;0;448;0;0;0;0;0;0;0;0;0;0;0;0;2;103;0;7;2;22;67;5;7;131;62;1.012;0;1.420
;{ñ class};0;6;2;0;0;0;29;4;0;0;0;0;36;22;125;81;10;3;45;68;33;19;11;433;17;944;0;0;1;0;0;0;3;0;0;4;1;0;11;4;6;36;1;4;14;25;41;30;16;450;2;649;0;6;3;0;0;0;32;4;0;4;1;0;47;26;131;117;11;7;59;93;74;49;27;883;19;1.593
130260:Manaus - AM;Total;649;1.412;7.522;9.078;19.066;17.328;929;3.300;3.674;8.639;636;15;8.495;4.410;25.956;34.219;11.678;1.960;37.149;28.357;19.941;3.044;7.844;56.452;807;312.560;127;216;1.922;7.074;19.877;2.748;243;1.399;2.358;3.822;1.196;1;5.038;674;3.152;30.005;5.241;2.256;11.435;7.886;24.227;9.398;11.429;71.109;309;223.142;776;1.628;9.444;16.152;38.943;20.076;1.172;4.699;6.032;12.461;1.832;16;13.533;5.084;29.108;64.224;16.919;4.216;48.584;36.243;44.168;12.442;19.273;127.561;1.116;535.702
;00:Até 0,50;0;0;121;99;301;81;2;25;46;101;4;0;40;29;160;387;71;3;50;132;316;15;39;55;2;2.079;0;5;55;101;285;46;2;8;46;50;5;0;31;13;113;391;69;6;25;127;239;18;43;33;0;1.711;0;5;176;200;586;127;4;33;92;151;9;0;71;42;273;778;140;9;75;259;555;33;82;88;2;3.790
;01:0,51 a 1,00;2;56;132;187;439;279;33;74;78;165;63;0;236;14;572;876;196;23;748;280;1.182;73;254;624;80;6.666;0;18;62;196;326;84;12;64;62;104;111;0;229;5;179;1.118;153;35;433;130;1.952;238;759;471;34;6.775;2;74;194;383;765;363;45;138;140;269;174;0;465;19;751;1.994;349;58;1.181;410;3.134;311;1.013;1.095;114;13.441
;02:1,01 a 1,50;17;447;1.825;2.231;4.279;1.406;462;1.136;1.152;2.220;362;10;3.425;266;8.310;17.392;5.092;76;9.910;5.810;9.841;828;1.305;3.183;359;81.344;6;56;586;3.522;7.646;581;121;672;896;1.650;934;0;3.063;80;1.078;18.648;2.774;209;5.351;2.565;15.247;3.665;3.084;5.103;210;77.747;23;503;2.411;5.753;11.925;1.987;583;1.808;2.048;3.870;1.296;10;6.488;346;9.388;36.040;7.866;285;15.261;8.375;25.088;4.493;4.389;8.286;569;159.091
;03:1,51 a 2,00;33;305;2.055;2.760;4.699;3.423;231;719;831;1.901;110;0;1.850;704;7.404;7.056;2.417;69;11.471;5.507;3.363;644;679;3.590;254;62.075;7;27;455;1.800;6.037;616;40;227;664;879;62;1;681;35;511;4.804;850;171;2.509;2.241;2.359;2.150;1.145;6.580;37;34.888;40;332;2.510;4.560;10.736;4.039;271;946;1.495;2.780;172;1;2.531;739;7.915;11.860;3.267;240;13.980;7.748;5.722;2.794;1.824;10.170;291;96.963
;04:2,01 a 3,00;55;249;1.505;1.747;3.489;5.247;146;636;628;1.563;52;3;1.436;1.107;5.161;4.540;1.830;118;9.916;7.381;2.492;797;965;16.198;60;67.321;10;36;349;728;2.986;509;33;179;357;454;41;0;452;77;452;2.804;627;157;1.376;1.367;1.672;1.819;1.480;29.231;12;47.208;65;285;1.854;2.475;6.475;5.756;179;815;985;2.017;93;3;1.888;1.184;5.613;7.344;2.457;275;11.292;8.748;4.164;2.616;2.445;45.429;72;114.529
;05:3,01 a 4,00;28;126;618;503;1.430;2.321;26;281;228;645;15;1;595;474;1.783;1.735;729;359;1.616;5.574;930;210;912;8.114;32;29.285;7;28;181;217;818;263;9;114;113;194;6;0;209;66;264;997;303;385;504;555;905;518;928;8.478;7;16.069;35;154;799;720;2.248;2.584;35;395;341;839;21;1;804;540;2.047;2.732;1.032;744;2.120;6.129;1.835;728;1.840;16.592;39;45.354
;06:4,01 a 5,00;19;69;336;368;925;1.286;11;151;187;366;8;0;308;293;852;772;420;289;827;1.320;530;80;627;6.670;9;16.723;2;17;78;124;409;169;11;32;63;97;2;0;110;50;166;435;159;294;340;230;567;289;800;6.019;7;10.470;21;86;414;492;1.334;1.455;22;183;250;463;10;0;418;343;1.018;1.207;579;583;1.167;1.550;1.097;369;1.427;12.689;16;27.193
;07:5,01 a 7,00;26;58;361;412;1.274;1.147;4;149;235;477;7;0;248;433;675;651;383;345;826;915;473;107;985;6.031;7;16.229;2;8;77;131;442;186;6;43;55;124;1;0;112;90;168;407;134;393;351;258;472;212;1.269;4.821;1;9.763;28;66;438;543;1.716;1.333;10;192;290;601;8;0;360;523;843;1.058;517;738;1.177;1.173;945;319;2.254;10.852;8;25.992
;08:7,01 a 10,00;66;32;233;345;960;690;7;67;123;409;4;0;146;262;430;330;221;292;592;454;307;97;904;5.298;3;12.272;23;13;28;111;271;126;3;34;44;93;2;0;54;62;109;148;84;278;229;184;259;257;916;5.158;1;8.487;89;45;261;456;1.231;816;10;101;167;502;6;0;200;324;539;478;305;570;821;638;566;354;1.820;10.456;4;20.759
;09:10,01 a 15,00;71;16;178;211;662;543;0;33;82;297;1;0;71;253;203;138;137;217;398;308;287;137;695;3.248;1;8.187;8;1;29;56;205;79;1;17;17;49;0;0;30;117;67;71;53;232;150;96;293;120;624;2.790;0;5.105;79;17;207;267;867;622;1;50;99;346;1;0;101;370;270;209;190;449;548;404;580;257;1.319;6.038;1;13.292
;10:15,01 a 20,00;65;10;70;78;200;222;1;6;20;137;0;0;18;236;68;55;48;79;206;107;49;23;138;1.507;0;3.343;28;2;10;20;42;33;0;4;5;20;0;0;10;42;21;16;14;51;50;23;47;28;118;1.044;0;1.628;93;12;80;98;242;255;1;10;25;157;0;0;28;278;89;71;62;130;256;130;96;51;256;2.551;0;4.971
;11:Mais de 20,00;256;14;40;85;209;378;1;6;30;261;0;0;39;265;58;37;60;77;258;84;33;10;121;1.896;0;4.218;33;1;7;9;27;12;0;5;3;28;0;0;13;30;11;13;8;29;47;18;22;9;54;1.344;0;1.723;289;15;47;94;236;390;1;11;33;289;0;0;52;295;69;50;68;106;305;102;55;19;175;3.240;0;5.941
;{ñ class};11;30;48;52;199;305;5;17;34;97;10;1;83;74;280;250;74;13;331;485;138;23;220;38;0;2.818;1;4;5;59;383;44;5;0;33;80;32;0;44;7;13;153;13;16;70;92;193;75;209;37;0;1.568;12;34;53;111;582;349;10;17;67;177;42;1;127;81;293;403;87;29;401;577;331;98;429;75;0;4.386
140010:Boa Vista - RR;Total;48;500;55;13;52;23;112;92;104;20;8;1;822;1.361;3.496;7.061;1.459;334;1.896;1.321;3.532;405;1.778;17.322;425;42.240;9;75;13;4;4;3;17;49;28;14;43;0;718;348;513;5.612;529;296;908;330;5.751;791;2.324;24.128;87;42.594;57;575;68;17;56;26;129;141;132;34;51;1;1.540;1.709;4.009;12.673;1.988;630;2.804;1.651;9.283;1.196;4.102;41.450;512;84.834
;00:Até 0,50;1;1;0;0;0;0;0;0;0;0;0;0;5;4;23;36;4;0;2;11;23;8;11;6;1;136;0;3;0;0;0;0;0;0;0;0;0;0;2;5;7;31;4;1;0;9;32;7;8;6;0;115;1;4;0;0;0;0;0;0;0;0;0;0;7;9;30;67;8;1;2;20;55;15;19;12;1;251
;01:0,51 a 1,00;2;44;3;1;11;0;7;4;8;1;3;0;32;16;255;308;56;0;121;52;741;13;81;518;45;2.322;2;16;1;1;1;0;1;10;3;2;7;0;20;18;188;268;91;10;118;23;2.061;74;157;1.738;28;4.838;4;60;4;2;12;0;8;14;11;3;10;0;52;34;443;576;147;10;239;75;2.802;87;238;2.256;73;7.160
;02:1,01 a 1,50;11;265;30;9;14;13;61;56;51;14;4;0;352;62;1.036;4.126;782;14;1.103;493;1.831;103;268;2.860;169;13.727;3;25;9;2;2;2;11;29;17;10;32;0;517;9;200;4.011;263;36;419;116;2.939;399;467;4.418;40;13.976;14;290;39;11;16;15;72;85;68;24;36;0;869;71;1.236;8.137;1.045;50;1.522;609;4.770;502;735;7.278;209;27.703
;03:1,51 a 2,00;14;96;20;2;18;6;32;15;27;3;0;0;201;106;891;1.315;230;8;405;292;503;50;238;2.041;127;6.640;0;12;2;1;0;0;3;7;5;2;4;0;86;14;46;675;60;6;140;66;199;108;273;2.043;5;3.757;14;108;22;3;18;6;35;22;32;5;4;0;287;120;937;1.990;290;14;545;358;702;158;511;4.084;132;10.397
;04:2,01 a 3,00;8;63;2;1;8;2;8;11;11;1;1;0;141;233;804;724;215;12;77;274;180;28;181;2.620;49;5.654;3;11;1;0;1;0;2;3;2;0;0;0;40;90;30;421;60;17;76;55;160;74;284;3.982;7;5.319;11;74;3;1;9;2;10;14;13;1;1;0;181;323;834;1.145;275;29;153;329;340;102;465;6.602;56;10.973
;05:3,01 a 4,00;7;11;0;0;0;0;1;2;4;0;0;0;52;275;272;254;68;72;36;72;58;25;228;1.592;7;3.036;0;5;0;0;0;1;0;0;1;0;0;0;20;27;18;104;18;62;31;21;72;22;223;2.346;4;2.975;7;16;0;0;0;1;1;2;5;0;0;0;72;302;290;358;86;134;67;93;130;47;451;3.938;11;6.011
;06:4,01 a 5,00;2;9;0;0;0;0;2;2;2;1;0;0;13;176;97;114;36;53;15;36;23;9;162;1.265;6;2.023;0;2;0;0;0;0;0;0;0;0;0;0;9;24;15;33;14;31;30;12;41;12;175;2.107;1;2.506;2;11;0;0;0;0;2;2;2;1;0;0;22;200;112;147;50;84;45;48;64;21;337;3.372;7;4.529
;07:5,01 a 7,00;2;6;0;0;1;0;0;2;0;0;0;0;14;158;57;80;34;54;28;30;76;118;219;3.520;9;4.408;0;1;0;0;0;0;0;0;0;0;0;0;17;57;2;27;8;59;29;17;100;48;282;5.168;2;5.817;2;7;0;0;1;0;0;2;0;0;0;0;31;215;59;107;42;113;57;47;176;166;501;8.688;11;10.225
;08:7,01 a 10,00;0;1;0;0;0;0;0;0;0;0;0;0;7;121;21;52;13;55;31;14;18;28;173;1.134;0;1.668;1;0;0;0;0;0;0;0;0;0;0;0;3;35;3;16;6;47;18;4;34;15;250;1.204;0;1.636;1;1;0;0;0;0;0;0;0;0;0;0;10;156;24;68;19;102;49;18;52;43;423;2.338;0;3.304
;09:10,01 a 15,00;0;0;0;0;0;0;0;0;0;0;0;0;1;70;5;10;8;30;27;22;33;19;143;858;6;1.232;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;2;3;17;17;3;74;25;153;601;0;926;0;0;0;0;0;0;0;0;0;0;0;0;1;101;5;12;11;47;44;25;107;44;296;1.459;6;2.158
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;39;3;3;3;18;10;3;8;4;33;349;1;474;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;1;0;8;10;2;10;5;25;219;0;302;0;0;0;0;0;0;0;0;0;0;0;0;0;61;3;4;3;26;20;5;18;9;58;568;1;776
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;1;82;1;3;0;18;31;4;8;0;36;528;1;713;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;16;0;2;1;18;273;0;325;0;0;0;0;0;0;0;0;0;0;0;0;1;97;1;3;0;18;47;4;10;1;54;801;1;1.038
;{ñ class};1;4;0;0;0;2;1;0;1;0;0;1;3;19;31;36;10;0;10;18;30;0;5;31;4;207;0;0;0;0;0;0;0;0;0;0;0;0;4;1;4;23;2;2;4;2;27;1;9;23;0;102;1;4;0;0;0;2;1;0;1;0;0;1;7;20;35;59;12;2;14;20;57;1;14;54;4;309
150140:Belém - PA;Total;169;610;455;278;151;757;2.033;1.749;544;947;196;0;4.613;3.450;24.092;37.451;7.591;3.934;33.214;16.005;22.841;4.937;10.612;54.774;3.808;235.211;66;42;67;42;43;68;236;759;148;302;584;0;1.720;802;2.068;31.043;3.421;3.969;10.600;3.551;23.824;11.961;11.646;67.158;611;174.731;235;652;522;320;194;825;2.269;2.508;692;1.249;780;0;6.333;4.252;26.160;68.494;11.012;7.903;43.814;19.556;46.665;16.898;22.258;121.932;4.419;409.942
;00:Até 0,50;0;0;4;0;0;2;1;12;0;9;0;0;43;6;44;330;35;2;62;103;354;30;199;32;1;1.269;1;0;0;0;0;0;0;27;3;1;0;0;40;7;22;309;12;6;40;47;563;58;153;43;1;1.333;1;0;4;0;0;2;1;39;3;10;0;0;83;13;66;639;47;8;102;150;917;88;352;75;2;2.602
;01:0,51 a 1,00;1;30;16;8;3;19;110;61;13;46;16;0;164;3;423;2.596;443;37;822;295;1.158;172;694;906;259;8.295;1;2;4;3;5;9;16;31;10;16;83;0;125;5;68;1.696;174;65;517;132;1.561;490;742;1.507;38;7.300;2;32;20;11;8;28;126;92;23;62;99;0;289;8;491;4.292;617;102;1.339;427;2.719;662;1.436;2.413;297;15.595
;02:1,01 a 1,50;9;244;202;98;69;213;1.053;559;211;306;115;0;1.806;104;11.071;21.099;2.989;194;9.394;4.747;12.049;1.705;2.035;7.776;1.849;79.897;7;16;37;23;25;20;117;329;70;167;418;0;1.096;43;985;19.238;1.528;587;4.599;1.106;14.950;4.240;3.049;10.874;357;63.881;16;260;239;121;94;233;1.170;888;281;473;533;0;2.902;147;12.056;40.337;4.517;781;13.993;5.853;26.999;5.945;5.084;18.650;2.206;143.778
;03:1,51 a 2,00;4;135;148;63;49;222;450;307;158;157;30;0;816;395;7.374;6.388;1.380;104;10.185;2.268;4.005;1.148;914;4.259;857;41.816;1;13;17;4;4;14;43;112;26;36;57;0;158;127;399;4.665;408;239;2.017;649;2.504;3.074;992;5.060;46;20.665;5;148;165;67;53;236;493;419;184;193;87;0;974;522;7.773;11.053;1.788;343;12.202;2.917;6.509;4.222;1.906;9.319;903;62.481
;04:2,01 a 3,00;17;115;57;46;21;168;216;363;91;196;26;0;773;931;3.144;3.938;1.268;273;8.783;4.453;2.108;759;862;7.840;478;36.926;11;1;7;5;3;14;24;96;20;30;11;0;120;277;268;3.009;458;335;1.377;690;1.595;1.870;1.044;7.407;79;18.751;28;116;64;51;24;182;240;459;111;226;37;0;893;1.208;3.412;6.947;1.726;608;10.160;5.143;3.703;2.629;1.906;15.247;557;55.677
