;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;119;1.049;411;566;8;76;564;282;288;210;75;0;1.549;1.407;31.664;11.175;4.322;684;10.520;4.838;4.409;715;2.528;37.031;998;115.488;20;123;63;102;0;25;105;152;147;86;189;0;1.203;296;3.425;10.706;1.688;770;3.589;1.247;7.159;2.753;3.467;42.133;307;79.755;139;1.172;474;668;8;101;669;434;435;296;264;0;2.752;1.703;35.089;21.881;6.010;1.454;14.109;6.085;11.568;3.468;5.995;79.164;1.305;195.243
;00:Até 0,50;0;2;2;13;0;0;2;0;0;0;0;0;6;0;174;37;11;2;40;17;23;1;9;90;0;429;0;2;0;18;0;1;1;0;0;0;0;0;3;0;150;42;6;2;17;19;49;3;10;101;1;425;0;4;2;31;0;1;3;0;0;0;0;0;9;0;324;79;17;4;57;36;72;4;19;191;1;854
;01:0,51 a 1,00;2;21;13;3;0;3;12;8;2;1;2;0;28;2;334;297;89;3;151;48;131;31;101;1.504;103;2.889;1;3;4;1;0;2;3;9;5;1;9;0;28;1;230;328;60;13;157;69;295;93;244;2.535;47;4.138;3;24;17;4;0;5;15;17;7;2;11;0;56;3;564;625;149;16;308;117;426;124;345;4.039;150;7.027
;02:1,01 a 1,50;23;233;109;64;3;36;107;92;56;74;31;0;529;25;1.983;4.343;1.125;53;2.225;656;1.529;183;381;3.461;378;17.699;9;51;34;13;0;11;67;79;48;50;108;0;766;22;483;5.875;813;125;1.707;379;3.852;1.356;837;5.922;170;22.777;32;284;143;77;3;47;174;171;104;124;139;0;1.295;47;2.466;10.218;1.938;178;3.932;1.035;5.381;1.539;1.218;9.383;548;40.476
;03:1,51 a 2,00;34;209;92;139;0;20;202;67;86;51;16;0;454;69;4.269;2.827;1.257;26;5.512;918;785;204;232;5.235;275;22.979;5;15;14;13;0;5;21;30;52;16;43;0;235;10;728;2.466;344;44;1.068;278;1.237;666;371;7.385;52;15.098;39;224;106;152;0;25;223;97;138;67;59;0;689;79;4.997;5.293;1.601;70;6.580;1.196;2.022;870;603;12.620;327;38.077
;04:2,01 a 3,00;38;231;93;121;4;14;166;82;70;34;11;0;309;169;9.648;1.923;972;42;1.537;1.569;677;124;346;4.649;167;22.996;3;27;8;26;0;1;5;14;24;10;23;0;91;13;1.133;1.213;263;79;329;278;660;349;435;7.246;23;12.253;41;258;101;147;4;15;171;96;94;44;34;0;400;182;10.781;3.136;1.235;121;1.866;1.847;1.337;473;781;11.895;190;35.249
;05:3,01 a 4,00;14;127;54;79;0;1;42;22;25;21;8;0;113;134;6.947;690;377;116;348;882;206;78;285;7.083;48;17.700;2;12;1;16;0;5;6;10;10;4;3;0;35;17;339;358;88;146;109;84;179;123;341;9.497;8;11.393;16;139;55;95;0;6;48;32;35;25;11;0;148;151;7.286;1.048;465;262;457;966;385;201;626;16.580;56;29.093
;06:4,01 a 5,00;5;97;24;28;0;0;18;5;20;5;2;0;37;48;2.540;418;145;75;181;271;259;32;210;2.758;13;7.191;0;4;0;7;0;0;1;4;3;2;1;0;13;14;105;183;42;81;57;43;129;81;235;2.209;2;3.216;5;101;24;35;0;0;19;9;23;7;3;0;50;62;2.645;601;187;156;238;314;388;113;445;4.967;15;10.407
;07:5,01 a 7,00;2;83;13;62;0;1;7;2;16;11;3;0;32;145;2.692;320;167;129;192;173;199;19;331;5.001;4;9.604;0;5;1;6;0;0;1;2;2;1;2;0;14;57;113;132;40;110;60;39;172;42;324;3.423;2;4.548;2;88;14;68;0;1;8;4;18;12;5;0;46;202;2.805;452;207;239;252;212;371;61;655;8.424;6;14.152
