;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;182;704;299;399;45;97;549;302;152;116;97;0;1.565;1.945;12.289;11.351;3.737;733;8.172;4.708;4.169;1.028;3.154;36.550;1.130;93.473;35;91;56;66;10;22;117;137;84;63;167;0;1.131;381;1.892;10.971;1.708;817;3.369;1.265;6.979;3.706;4.335;43.406;258;81.066;217;795;355;465;55;119;666;439;236;179;264;0;2.696;2.326;14.181;22.322;5.445;1.550;11.541;5.973;11.148;4.734;7.489;79.956;1.388;174.539
;00:Até 0,50;2;3;0;1;0;0;0;0;0;0;0;0;10;4;167;84;30;1;10;32;54;3;26;68;0;495;1;3;0;12;0;0;0;0;1;1;2;0;12;0;121;81;22;5;5;25;90;0;26;73;1;481;3;6;0;13;0;0;0;0;1;1;2;0;22;4;288;165;52;6;15;57;144;3;52;141;1;976
;01:0,51 a 1,00;1;14;7;2;0;3;12;1;4;3;1;0;25;17;175;235;60;6;180;81;151;27;122;295;97;1.519;0;4;4;3;0;1;3;3;1;4;8;0;40;1;82;257;55;10;181;67;257;96;233;376;32;1.718;1;18;11;5;0;4;15;4;5;7;9;0;65;18;257;492;115;16;361;148;408;123;355;671;129;3.237
;02:1,01 a 1,50;33;195;103;45;20;30;118;98;41;50;47;0;574;38;1.975;4.444;1.088;64;1.239;876;1.675;308;422;3.366;334;17.183;10;36;33;13;8;9;63;65;29;37;102;0;663;31;566;5.816;852;118;1.406;491;3.867;1.555;1.084;5.998;133;22.985;43;231;136;58;28;39;181;163;70;87;149;0;1.237;69;2.541;10.260;1.940;182;2.645;1.367;5.542;1.863;1.506;9.364;467;40.168
;03:1,51 a 2,00;47;205;96;84;9;18;190;115;50;34;11;0;391;124;2.689;3.120;1.046;44;2.224;1.049;918;271;321;3.118;342;16.516;12;10;7;8;0;3;29;27;29;7;35;0;232;34;427;2.753;313;66;799;259;1.235;1.066;393;6.258;35;14.037;59;215;103;92;9;21;219;142;79;41;46;0;623;158;3.116;5.873;1.359;110;3.023;1.308;2.153;1.337;714;9.376;377;30.553
;04:2,01 a 3,00;59;160;49;117;9;32;180;57;25;20;22;0;345;176;2.682;1.914;794;62;3.539;1.392;655;222;439;7.140;235;20.325;8;20;7;15;2;3;14;18;12;8;15;0;103;40;349;1.277;260;89;631;205;626;525;548;10.066;35;14.876;67;180;56;132;11;35;194;75;37;28;37;0;448;216;3.031;3.191;1.054;151;4.170;1.597;1.281;747;987;17.206;270;35.201
;05:3,01 a 4,00;22;67;29;52;3;6;27;17;11;1;3;0;107;177;1.668;684;284;91;333;627;255;89;388;4.269;61;9.271;3;9;3;8;0;5;7;10;8;3;1;0;33;33;110;349;84;113;118;79;316;228;453;10.108;12;12.093;25;76;32;60;3;11;34;27;19;4;4;0;140;210;1.778;1.033;368;204;451;706;571;317;841;14.377;73;21.364
;06:4,01 a 5,00;11;19;6;19;1;5;8;6;10;0;2;0;39;171;890;305;131;78;172;184;109;40;242;5.808;29;8.285;1;1;0;3;0;1;0;5;1;2;0;0;20;27;42;162;49;92;49;41;98;98;304;2.983;4;3.983;12;20;6;22;1;6;8;11;11;2;2;0;59;198;932;467;180;170;221;225;207;138;546;8.791;33;12.268
;07:5,01 a 7,00;2;12;3;32;2;2;1;3;6;2;7;0;29;252;710;262;136;120;128;204;99;25;341;4.767;18;7.163;0;3;0;0;0;0;0;5;1;1;1;0;11;57;51;94;39;116;63;42;117;67;448;3.207;5;4.328;2;15;3;32;2;2;1;8;7;3;8;0;40;309;761;356;175;236;191;246;216;92;789;7.974;23;11.491
