;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;104;569;377;247;6;69;585;254;157;146;49;0;1.394;1.751;20.240;9.690;3.305;577;7.821;3.727;3.408;573;2.346;33.210;774;91.379;15;69;42;58;1;7;91;147;61;35;168;0;700;452;2.552;7.859;1.338;591;2.225;889;5.040;1.774;2.721;37.364;222;64.421;119;638;419;305;7;76;676;401;218;181;217;0;2.094;2.203;22.792;17.549;4.643;1.168;10.046;4.616;8.448;2.347;5.067;70.574;996;155.800
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;2;0;136;22;3;0;6;2;16;0;5;41;0;233;0;0;0;0;0;0;2;0;0;0;0;0;2;0;101;16;0;0;5;4;24;0;6;43;1;204;0;0;0;0;0;0;2;0;0;0;0;0;4;0;237;38;3;0;11;6;40;0;11;84;1;437
;01:0,51 a 1,00;1;18;10;0;0;2;11;10;6;2;3;0;37;2;415;224;61;0;132;81;185;23;56;916;90;2.285;4;3;2;0;0;0;2;11;3;1;10;0;34;2;62;207;37;7;110;56;254;54;158;1.457;36;2.510;5;21;12;0;0;2;13;21;9;3;13;0;71;4;477;431;98;7;242;137;439;77;214;2.373;126;4.795
;02:1,01 a 1,50;34;235;182;61;5;40;191;73;53;52;32;0;540;39;3.403;4.378;1.156;42;2.833;653;1.499;186;365;3.351;312;19.715;7;37;25;24;0;6;59;70;29;24;113;0;508;9;621;4.483;734;100;1.257;294;2.908;848;701;6.318;135;19.310;41;272;207;85;5;46;250;143;82;76;145;0;1.048;48;4.024;8.861;1.890;142;4.090;947;4.407;1.034;1.066;9.669;447;39.025
;03:1,51 a 2,00;27;146;90;54;1;14;168;60;52;31;12;0;346;88;4.789;2.293;822;14;3.317;719;583;144;227;3.059;193;17.249;2;5;6;4;1;1;15;14;10;4;32;0;69;36;969;1.793;277;22;468;155;708;499;349;5.442;23;10.904;29;151;96;58;2;15;183;74;62;35;44;0;415;124;5.758;4.086;1.099;36;3.785;874;1.291;643;576;8.501;216;28.153
;04:2,01 a 3,00;30;104;58;80;0;9;152;69;19;18;2;0;277;111;6.086;1.427;694;46;832;1.029;493;116;357;7.476;96;19.581;1;11;6;19;0;0;6;32;12;5;10;0;55;10;508;813;145;62;175;163;403;217;344;8.165;15;11.177;31;115;64;99;0;9;158;101;31;23;12;0;332;121;6.594;2.240;839;108;1.007;1.192;896;333;701;15.641;111;30.758
;05:3,01 a 4,00;8;14;19;8;0;3;46;22;8;21;0;0;77;105;1.837;600;267;74;252;615;179;32;277;3.730;45;8.239;0;5;0;5;0;0;5;7;4;1;2;0;14;52;86;268;60;88;82;73;175;59;197;6.434;4;7.621;8;19;19;13;0;3;51;29;12;22;2;0;91;157;1.923;868;327;162;334;688;354;91;474;10.164;49;15.860
;06:4,01 a 5,00;2;19;9;3;0;0;7;9;8;4;0;0;55;92;1.059;283;98;70;89;191;121;20;157;3.667;12;5.975;0;2;0;0;0;0;2;4;1;0;0;0;9;21;58;140;35;66;30;41;103;36;174;2.397;5;3.124;2;21;9;3;0;0;9;13;9;4;0;0;64;113;1.117;423;133;136;119;232;224;56;331;6.064;17;9.099
;07:5,01 a 7,00;1;9;3;7;0;0;4;5;9;10;0;0;30;215;981;231;71;125;94;130;89;12;232;3.856;9;6.123;1;3;3;1;0;0;0;6;1;0;0;0;4;80;63;61;27;88;29;43;132;23;220;3.108;2;3.895;2;12;6;8;0;0;4;11;10;10;0;0;34;295;1.044;292;98;213;123;173;221;35;452;6.964;11;10.018
