;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;181;584;222;248;43;88;550;203;148;131;77;0;1.738;2.272;4.732;11.055;3.824;710;7.808;4.728;3.868;1.034;3.306;37.788;961;86.299;27;68;34;41;5;15;112;74;65;45;153;0;1.075;561;565;10.309;1.595;813;3.318;1.342;6.186;3.649;4.473;42.860;193;77.578;208;652;256;289;48;103;662;277;213;176;230;0;2.813;2.833;5.297;21.364;5.419;1.523;11.126;6.070;10.054;4.683;7.779;80.648;1.154;163.877
;00:Até 0,50;0;5;0;2;0;0;0;0;0;3;0;0;17;2;10;99;44;6;37;46;84;15;26;96;0;492;0;2;0;1;0;0;0;0;0;0;0;0;9;3;4;102;20;9;38;45;103;10;40;115;0;501;0;7;0;3;0;0;0;0;0;3;0;0;26;5;14;201;64;15;75;91;187;25;66;211;0;993
;01:0,51 a 1,00;2;6;7;4;1;5;19;3;1;5;1;0;23;17;52;207;92;8;231;42;130;41;163;645;78;1.783;0;1;5;1;0;1;4;2;1;1;7;0;29;22;15;254;64;14;143;93;257;108;238;663;34;1.957;2;7;12;5;1;6;23;5;2;6;8;0;52;39;67;461;156;22;374;135;387;149;401;1.308;112;3.740
;02:1,01 a 1,50;46;172;85;70;14;39;165;88;49;66;54;0;705;27;1.209;5.043;1.228;56;1.568;1.043;1.544;347;521;4.581;353;19.073;11;26;18;20;3;6;73;40;34;28;100;0;561;16;264;6.028;787;109;1.430;632;3.174;1.612;1.196;8.233;85;24.486;57;198;103;90;17;45;238;128;83;94;154;0;1.266;43;1.473;11.071;2.015;165;2.998;1.675;4.718;1.959;1.717;12.814;438;43.559
;03:1,51 a 2,00;49;149;71;55;15;23;209;58;55;32;8;0;447;170;1.395;2.819;1.020;50;2.548;956;899;289;354;3.014;269;14.954;5;11;5;5;2;6;17;17;8;7;35;0;272;42;92;2.246;294;76;910;194;1.500;1.044;398;5.896;26;13.108;54;160;76;60;17;29;226;75;63;39;43;0;719;212;1.487;5.065;1.314;126;3.458;1.150;2.399;1.333;752;8.910;295;28.062
;04:2,01 a 3,00;69;122;44;56;10;13;119;34;20;14;6;0;338;239;959;1.593;741;74;2.618;1.464;514;168;398;7.477;183;17.273;6;19;3;6;0;1;13;8;10;6;8;0;125;50;78;950;226;117;485;190;466;439;584;11.042;29;14.861;75;141;47;62;10;14;132;42;30;20;14;0;463;289;1.037;2.543;967;191;3.103;1.654;980;607;982;18.519;212;32.134
;05:3,01 a 4,00;5;72;6;22;1;3;22;11;9;6;2;0;85;150;287;551;281;101;254;518;179;85;369;6.579;44;9.642;2;3;1;3;0;1;3;2;7;2;1;0;25;58;20;342;91;115;95;63;140;201;446;7.793;8;9.422;7;75;7;25;1;4;25;13;16;8;3;0;110;208;307;893;372;216;349;581;319;286;815;14.372;52;19.064
;06:4,01 a 5,00;6;17;3;7;2;2;4;2;3;0;2;0;40;182;98;257;133;69;134;204;53;31;224;3.550;12;5.035;2;1;1;2;0;0;1;2;2;1;0;0;15;54;11;123;41;81;44;35;67;88;257;2.292;5;3.125;8;18;4;9;2;2;5;4;5;1;2;0;55;236;109;380;174;150;178;239;120;119;481;5.842;17;8.160
;07:5,01 a 7,00;2;9;0;13;0;1;0;2;4;4;1;0;22;409;80;194;141;117;99;165;96;22;293;4.673;7;6.354;0;3;0;0;0;0;0;1;1;0;0;0;10;88;13;97;36;127;50;33;104;51;395;2.891;4;3.904;2;12;0;13;0;1;0;3;5;4;1;0;32;497;93;291;177;244;149;198;200;73;688;7.564;11;10.258
