;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;139;617;289;178;78;90;484;218;176;124;76;0;1.690;2.365;5.991;10.864;3.991;690;8.122;4.810;3.705;987;3.158;36.750;980;86.572;27;75;45;33;15;16;124;85;77;54;158;0;1.125;608;927;10.278;1.674;752;3.352;1.363;6.204;3.628;4.353;42.325;218;77.516;166;692;334;211;93;106;608;303;253;178;234;0;2.815;2.973;6.918;21.142;5.665;1.442;11.474;6.173;9.909;4.615;7.511;79.075;1.198;164.088
;00:Até 0,50;0;4;0;8;0;0;0;0;1;0;0;0;21;6;53;95;50;5;17;22;53;8;31;54;0;428;0;2;0;5;0;0;0;0;0;0;0;0;16;2;55;81;22;4;15;18;89;8;31;50;0;398;0;6;0;13;0;0;0;0;1;0;0;0;37;8;108;176;72;9;32;40;142;16;62;104;0;826
;01:0,51 a 1,00;1;8;6;4;0;4;24;6;5;6;1;0;22;19;53;248;74;10;257;103;130;55;135;496;87;1.754;0;1;4;0;0;0;6;7;6;2;5;0;24;12;25;274;63;12;185;105;238;118;230;546;28;1.891;1;9;10;4;0;4;30;13;11;8;6;0;46;31;78;522;137;22;442;208;368;173;365;1.042;115;3.645
;02:1,01 a 1,50;33;182;114;61;20;33;128;87;72;54;53;0;680;40;1.540;4.759;1.362;57;1.394;1.008;1.550;320;435;3.896;364;18.242;10;29;32;9;8;8;77;42;29;32;110;0;719;27;360;6.103;845;94;1.417;580;3.341;1.666;1.126;7.304;116;24.084;43;211;146;70;28;41;205;129;101;86;163;0;1.399;67;1.900;10.862;2.207;151;2.811;1.588;4.891;1.986;1.561;11.200;480;42.326
;03:1,51 a 2,00;51;167;93;28;18;22;168;62;53;32;8;0;415;181;1.703;2.741;1.015;54;2.458;1.058;824;250;330;2.687;266;14.684;6;11;4;3;3;3;24;18;20;7;27;0;193;50;160;2.190;305;54;843;250;1.340;993;404;5.835;29;12.772;57;178;97;31;21;25;192;80;73;39;35;0;608;231;1.863;4.931;1.320;108;3.301;1.308;2.164;1.243;734;8.522;295;27.456
;04:2,01 a 3,00;35;139;50;30;23;21;126;43;19;18;6;0;351;211;1.126;1.687;772;56;3.133;1.442;576;176;465;7.669;170;18.344;7;19;2;9;3;1;11;9;11;8;12;0;103;52;135;1.009;229;86;571;215;512;420;579;10.437;28;14.468;42;158;52;39;26;22;137;52;30;26;18;0;454;263;1.261;2.696;1.001;142;3.704;1.657;1.088;596;1.044;18.106;198;32.812
;05:3,01 a 4,00;9;58;11;15;9;4;22;12;10;5;2;0;82;185;320;580;294;118;289;523;187;81;325;5.898;52;9.091;2;7;1;3;1;2;5;4;5;2;1;0;25;71;34;287;93;122;99;59;145;204;449;8.852;11;10.484;11;65;12;18;10;6;27;16;15;7;3;0;107;256;354;867;387;240;388;582;332;285;774;14.750;63;19.575
;06:4,01 a 5,00;5;15;5;5;5;2;4;3;7;0;1;0;43;209;144;248;122;70;144;207;76;31;246;4.600;21;6.213;2;0;0;1;0;1;0;2;3;1;0;0;11;55;16;125;41;90;45;41;80;94;276;2.699;2;3.585;7;15;5;6;5;3;4;5;10;1;1;0;54;264;160;373;163;160;189;248;156;125;522;7.299;23;9.798
;07:5,01 a 7,00;3;11;2;8;2;1;0;2;2;5;4;0;26;394;134;224;160;110;105;171;96;27;336;4.443;7;6.273;0;4;0;1;0;0;0;1;1;1;0;0;9;106;15;70;41;136;57;37;105;51;442;2.775;3;3.855;3;15;2;9;2;1;0;3;3;6;4;0;35;500;149;294;201;246;162;208;201;78;778;7.218;10;10.128
