;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;139;784;219;131;17;90;490;189;195;85;75;3;1.637;3.072;3.947;11.993;4.029;739;9.684;4.444;3.326;1.456;2.245;14.946;1.007;64.942;28;84;39;24;3;13;112;48;83;32;101;0;1.052;573;498;10.246;1.849;926;4.349;1.081;5.446;4.046;3.233;17.973;142;51.981;167;868;258;155;20;103;602;237;278;117;176;3;2.689;3.645;4.445;22.239;5.878;1.665;14.033;5.525;8.772;5.502;5.478;32.919;1.149;116.923
;00:Até 0,50;0;6;0;0;0;0;0;0;1;1;2;0;30;20;20;140;65;5;98;36;47;17;26;11;6;531;1;5;1;0;0;0;0;0;2;1;3;0;27;15;9;175;60;7;68;30;93;34;36;9;1;577;1;11;1;0;0;0;0;0;3;2;5;0;57;35;29;315;125;12;166;66;140;51;62;20;7;1.108
;01:0,51 a 1,00;6;36;11;2;0;4;14;14;7;2;11;0;84;42;132;770;266;18;536;127;330;64;154;144;98;2.872;1;6;6;4;0;1;0;6;7;1;14;0;77;36;29;1.004;124;36;411;84;745;228;307;159;30;3.316;7;42;17;6;0;5;14;20;14;3;25;0;161;78;161;1.774;390;54;947;211;1.075;292;461;303;128;6.188
;02:1,01 a 1,50;37;287;72;52;3;26;171;101;72;41;42;1;697;186;1.138;5.394;1.452;58;2.226;858;1.499;489;474;1.019;322;16.717;9;22;25;14;0;2;75;24;43;20;58;0;547;79;233;5.407;905;141;1.857;267;2.734;1.681;889;1.129;76;16.237;46;309;97;66;3;28;246;125;115;61;100;1;1.244;265;1.371;10.801;2.357;199;4.083;1.125;4.233;2.170;1.363;2.148;398;32.954
;03:1,51 a 2,00;31;195;75;29;2;25;144;38;68;32;7;0;338;568;975;2.600;867;57;4.260;855;696;333;269;1.037;295;13.796;4;23;4;3;1;6;14;8;14;6;16;0;125;56;103;1.824;302;75;1.067;146;1.006;948;340;1.894;19;8.004;35;218;79;32;3;31;158;46;82;38;23;0;463;624;1.078;4.424;1.169;132;5.327;1.001;1.702;1.281;609;2.931;314;21.800
;04:2,01 a 3,00;42;145;32;31;0;12;97;25;27;3;8;1;236;737;766;1.508;637;70;1.257;918;329;304;282;3.339;190;10.996;7;14;0;1;0;1;13;7;9;3;4;0;60;76;58;913;203;156;365;140;324;591;425;5.758;9;9.137;49;159;32;32;0;13;110;32;36;6;12;1;296;813;824;2.421;840;226;1.622;1.058;653;895;707;9.097;199;20.133
;05:3,01 a 4,00;11;44;14;8;0;5;29;7;6;1;1;0;74;228;368;538;313;108;268;433;127;125;204;1.707;46;4.665;2;7;1;1;0;0;3;2;2;0;1;0;18;61;25;324;82;95;118;59;124;225;314;2.215;4;3.683;13;51;15;9;0;5;32;9;8;1;2;0;92;289;393;862;395;203;386;492;251;350;518;3.922;50;8.348
;06:4,01 a 5,00;4;14;1;1;0;2;15;1;2;3;0;0;22;176;124;268;112;65;87;181;65;44;127;1.341;22;2.677;2;2;0;0;0;1;0;0;1;0;0;0;12;41;6;117;35;74;38;40;43;123;170;1.614;0;2.319;6;16;1;1;0;3;15;1;3;3;0;0;34;217;130;385;147;139;125;221;108;167;297;2.955;22;4.996
;07:5,01 a 7,00;3;15;1;0;0;4;6;1;3;0;0;0;19;374;56;214;111;85;87;203;57;33;169;2.200;9;3.650;1;1;1;0;0;1;1;0;1;0;0;0;5;67;5;108;34;124;55;28;62;69;192;2.088;1;2.844;4;16;2;0;0;5;7;1;4;0;0;0;24;441;61;322;145;209;142;231;119;102;361;4.288;10;6.494
;08:7,01 a 10,00;2;8;1;1;0;1;1;0;2;1;0;0;6;288;13;115;51;97;43;83;28;7;166;1.487;1;2.402;0;2;0;0;0;0;0;0;0;0;1;0;3;63;1;31;14;93;16;13;31;25;178;1.332;0;1.803;2;10;1;1;0;1;1;0;2;1;1;0;9;351;14;146;65;190;59;96;59;32;344;2.819;1;4.205
;09:10,01 a 15,00;2;1;0;0;0;1;1;0;0;0;0;0;3;171;6;47;27;55;32;40;14;4;223;1.277;0;1.904;0;0;0;0;0;0;0;0;0;0;0;0;1;31;0;12;6;43;19;9;11;12;196;1.009;0;1.349;2;1;0;0;0;1;1;0;0;0;0;0;4;202;6;59;33;98;51;49;25;16;419;2.286;0;3.253
;10:15,01 a 20,00;0;1;0;0;0;1;0;0;0;0;0;0;3;65;1;13;8;30;13;6;4;0;60;731;0;936;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;3;0;15;4;3;4;1;51;413;0;509;0;1;0;0;0;1;0;0;0;0;0;0;4;79;1;16;8;45;17;9;8;1;111;1.144;0;1.445
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;1;130;0;5;8;38;38;6;4;0;11;617;0;858;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;1;7;15;0;3;1;5;310;0;357;0;0;0;0;0;0;0;0;0;0;0;0;1;144;0;6;9;45;53;6;7;1;16;927;0;1.215
;{ñ class};1;32;12;7;12;9;12;2;7;1;4;1;124;87;348;381;112;53;739;698;126;36;80;36;18;2.938;1;2;1;1;2;1;6;1;4;1;4;0;176;20;29;327;83;60;316;262;266;108;130;43;2;1.846;2;34;13;8;14;10;18;3;11;2;8;1;300;107;377;708;195;113;1.055;960;392;144;210;79;20;4.784
120040:Rio Branco - AC;Total;10;477;88;31;15;77;593;134;171;104;38;11;1.179;1.078;3.798;9.274;2.475;924;6.218;1.823;3.139;1.058;1.393;19.351;1.016;54.475;0;34;16;4;6;27;98;62;48;34;71;10;629;200;1.150;6.501;854;1.294;4.358;522;4.334;2.945;1.960;25.010;158;50.325;10;511;104;35;21;104;691;196;219;138;109;21;1.808;1.278;4.948;15.775;3.329;2.218;10.576;2.345;7.473;4.003;3.353;44.361;1.174;104.800
;00:Até 0,50;0;1;1;0;0;0;11;0;2;0;0;0;23;14;56;124;30;4;68;13;41;9;24;7;1;429;0;3;0;0;0;0;3;0;1;1;1;0;18;15;21;122;27;7;97;10;40;16;13;4;4;403;0;4;1;0;0;0;14;0;3;1;1;0;41;29;77;246;57;11;165;23;81;25;37;11;5;832
;01:0,51 a 1,00;0;59;12;2;2;5;35;12;11;4;14;5;78;5;407;826;161;141;757;86;438;82;107;34;242;3.525;0;6;6;0;1;2;8;17;7;3;23;3;100;1;137;618;84;337;1.126;55;661;261;173;39;58;3.726;0;65;18;2;3;7;43;29;18;7;37;8;178;6;544;1.444;245;478;1.883;141;1.099;343;280;73;300;7.251
;02:1,01 a 1,50;5;224;27;17;11;44;291;61;34;66;15;6;471;54;1.481;4.308;1.144;341;2.343;551;1.562;353;311;633;515;14.868;0;12;8;2;4;22;59;27;17;21;38;6;337;34;673;3.446;432;467;1.665;168;2.454;1.201;494;606;73;12.266;5;236;35;19;15;66;350;88;51;87;53;12;808;88;2.154;7.754;1.576;808;4.008;719;4.016;1.554;805;1.239;588;27.134
;03:1,51 a 2,00;1;101;14;11;0;17;127;23;49;12;6;0;345;148;778;1.931;516;82;1.657;397;420;267;145;1.191;139;8.377;0;7;2;1;0;1;10;8;8;2;4;0;77;10;121;1.225;134;87;376;83;323;591;230;2.408;8;5.716;1;108;16;12;0;18;137;31;57;14;10;0;422;158;899;3.156;650;169;2.033;480;743;858;375;3.599;147;14.093
;04:2,01 a 3,00;1;47;27;1;2;6;77;14;48;11;0;0;125;407;458;1.029;312;63;575;369;274;144;181;2.610;68;6.849;0;2;0;1;1;1;13;1;9;3;2;1;38;43;120;567;93;58;255;69;257;397;310;5.097;5;7.343;1;49;27;2;3;7;90;15;57;14;2;1;163;450;578;1.596;405;121;830;438;531;541;491;7.707;73;14.192
;05:3,01 a 4,00;1;3;2;0;0;1;17;2;7;0;0;0;38;109;74;372;93;49;134;86;67;96;136;3.115;8;4.410;0;1;0;0;0;0;1;2;1;1;0;0;14;22;21;181;29;65;74;30;77;262;178;6.520;3;7.482;1;4;2;0;0;1;18;4;8;1;0;0;52;131;95;553;122;114;208;116;144;358;314;9.635;11;11.892
;06:4,01 a 5,00;0;1;1;0;0;0;3;0;7;2;0;0;17;85;32;175;49;24;49;46;34;32;79;2.316;7;2.959;0;0;0;0;0;0;1;1;2;0;0;0;7;10;7;97;15;53;45;22;65;88;139;3.024;3;3.579;0;1;1;0;0;0;4;1;9;2;0;0;24;95;39;272;64;77;94;68;99;120;218;5.340;10;6.538
;07:5,01 a 7,00;0;1;0;0;0;0;4;1;1;0;0;0;10;84;21;116;52;47;55;41;26;16;99;4.735;5;5.314;0;0;0;0;0;0;0;0;0;0;0;0;0;28;4;44;12;76;36;9;45;34;123;3.485;1;3.897;0;1;0;0;0;0;4;1;1;0;0;0;10;112;25;160;64;123;91;50;71;50;222;8.220;6;9.211
;08:7,01 a 10,00;0;0;0;0;0;0;2;0;3;0;0;0;9;65;17;76;26;65;51;22;34;20;135;2.170;1;2.696;0;0;0;0;0;0;0;0;0;0;0;0;4;16;5;21;2;68;26;4;40;21;126;2.213;1;2.547;0;0;0;0;0;0;2;0;3;0;0;0;13;81;22;97;28;133;77;26;74;41;261;4.383;2;5.243
;09:10,01 a 15,00;0;0;0;0;0;0;1;0;0;0;0;0;1;52;10;23;10;45;29;8;17;25;116;1.465;0;1.802;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;7;0;29;9;2;15;21;107;1.030;0;1.225;0;0;0;0;0;0;1;0;0;0;0;0;2;55;11;30;10;74;38;10;32;46;223;2.495;0;3.027
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;7;4;18;17;0;1;7;28;484;0;578;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;12;6;0;0;13;31;268;0;337;0;0;0;0;0;0;0;0;0;0;0;0;2;16;1;7;4;30;23;0;1;20;59;752;0;915
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;2;21;0;3;0;19;48;2;3;0;4;504;0;606;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;8;18;0;0;0;1;194;0;225;0;0;0;0;0;0;0;0;0;0;0;0;2;22;0;5;1;27;66;2;3;0;5;698;0;831
;{ñ class};2;40;4;0;0;4;25;21;9;9;3;0;58;24;464;284;78;26;435;202;222;7;28;87;30;2.062;0;3;0;0;0;1;3;6;3;3;3;0;33;11;39;171;25;27;625;70;357;40;35;122;2;1.579;2;43;4;0;0;5;28;27;12;12;6;0;91;35;503;455;103;53;1.060;272;579;47;63;209;32;3.641
130260:Manaus - AM;Total;388;694;5.808;9.609;16.016;14.502;1.108;2.974;3.191;10.946;704;10;7.336;5.122;17.874;40.844;11.597;1.897;38.672;27.420;17.983;5.295;5.652;61.662;1.238;308.542;90;121;1.682;6.117;14.164;2.588;326;1.391;1.778;3.523;935;3;4.591;985;3.062;32.440;5.315;2.456;17.782;6.376;19.740;13.532;9.361;75.145;267;223.770;478;815;7.490;15.726;30.180;17.090;1.434;4.365;4.969;14.469;1.639;13;11.927;6.107;20.936;73.284;16.912;4.353;56.454;33.796;37.723;18.827;15.013;136.807;1.505;532.312
