;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;00:Até 0,50;2;7;99;132;217;218;9;60;30;158;18;0;130;50;272;890;243;25;286;359;413;61;141;16;18;3.854;3;5;57;108;270;135;10;36;36;102;18;0;111;77;90;751;170;37;291;180;419;99;180;24;10;3.219;5;12;156;240;487;353;19;96;66;260;36;0;241;127;362;1.641;413;62;577;539;832;160;321;40;28;7.073
;01:0,51 a 1,00;1;48;176;348;300;196;96;247;124;250;114;2;525;114;1.002;3.456;623;53;2.708;1.107;2.308;227;734;674;114;15.547;7;6;53;360;273;117;41;171;108;122;168;2;394;47;289;3.188;386;86;2.410;392;3.900;638;1.461;683;33;15.335;8;54;229;708;573;313;137;418;232;372;282;4;919;161;1.291;6.644;1.009;139;5.118;1.499;6.208;865;2.195;1.357;147;30.882
;02:1,01 a 1,50;9;224;1.382;2.068;3.385;1.075;641;1.142;720;1.999;376;4;3.244;1.067;5.093;21.173;5.235;181;14.995;7.250;8.463;1.367;1.847;2.620;638;86.198;10;35;462;1.955;4.158;302;170;670;564;861;611;1;2.501;201;1.052;18.295;2.197;332;8.297;2.663;10.064;3.926;3.416;3.157;171;66.071;19;259;1.844;4.023;7.543;1.377;811;1.812;1.284;2.860;987;5;5.745;1.268;6.145;39.468;7.432;513;23.292;9.913;18.527;5.293;5.263;5.777;809;152.269
;03:1,51 a 2,00;33;132;1.323;3.139;4.795;3.809;196;629;949;3.189;112;3;1.257;1.471;3.720;7.028;2.003;133;8.776;4.627;3.039;1.578;812;9.031;251;62.035;9;24;312;2.179;5.272;683;48;211;566;1.062;68;0;532;71;525;4.147;769;281;2.751;757;1.966;3.512;1.181;16.105;30;43.061;42;156;1.635;5.318;10.067;4.492;244;840;1.515;4.251;180;3;1.789;1.542;4.245;11.175;2.772;414;11.527;5.384;5.005;5.090;1.993;25.136;281;105.096
;04:2,01 a 3,00;88;132;1.136;1.841;2.853;3.618;96;443;662;2.442;36;1;865;900;4.432;4.101;1.514;171;5.801;7.331;1.731;877;835;14.852;122;56.880;17;19;319;728;2.024;501;24;150;247;594;22;0;359;137;595;2.906;618;242;1.548;1.095;1.368;2.181;1.226;21.361;14;38.295;105;151;1.455;2.569;4.877;4.119;120;593;909;3.036;58;1;1.224;1.037;5.027;7.007;2.132;413;7.349;8.426;3.099;3.058;2.061;36.213;136;95.175
;05:3,01 a 4,00;49;47;464;613;1.114;1.840;20;169;160;887;20;0;357;315;1.144;1.467;687;235;1.191;2.280;505;355;403;5.031;24;19.377;1;16;155;225;578;258;8;64;76;263;3;0;134;113;253;1.102;340;329;543;311;494;1.152;653;6.950;4;14.025;50;63;619;838;1.692;2.098;28;233;236;1.150;23;0;491;428;1.397;2.569;1.027;564;1.734;2.591;999;1.507;1.056;11.981;28;33.402
;06:4,01 a 5,00;15;22;327;278;800;1.071;8;74;114;481;2;0;191;179;483;638;317;175;593;1.311;293;230;236;5.234;6;13.078;0;5;85;127;401;158;6;29;37;130;1;0;73;66;86;441;175;227;285;176;281;710;374;8.643;0;12.516;15;27;412;405;1.201;1.229;14;103;151;611;3;0;264;245;569;1.079;492;402;878;1.487;574;940;610;13.877;6;25.594
;07:5,01 a 7,00;19;20;345;302;1.047;897;5;53;117;541;3;0;208;230;296;514;267;243;832;668;255;220;210;7.665;9;14.966;3;3;91;108;337;192;4;24;35;137;1;0;76;71;49;441;144;267;373;138;263;551;335;7.653;1;11.297;22;23;436;410;1.384;1.089;9;77;152;678;4;0;284;301;345;955;411;510;1.205;806;518;771;545;15.318;10;26.263
;08:7,01 a 10,00;37;6;248;259;688;599;4;29;60;341;1;0;87;170;125;262;153;240;657;279;148;161;114;7.576;5;12.249;11;2;64;90;285;100;2;11;30;74;0;0;26;72;27;165;67;278;246;91;84;186;129;5.022;1;7.063;48;8;312;349;973;699;6;40;90;415;1;0;113;242;152;427;220;518;903;370;232;347;243;12.598;6;19.312
;09:10,01 a 15,00;33;4;110;175;342;421;1;14;25;195;0;0;37;210;52;106;69;198;419;155;48;45;48;4.355;2;7.064;5;1;30;44;95;65;0;3;3;43;0;0;18;71;17;60;26;170;131;48;33;51;42;2.800;1;3.757;38;5;140;219;437;486;1;17;28;238;0;0;55;281;69;166;95;368;550;203;81;96;90;7.155;3;10.821
;10:15,01 a 20,00;21;1;21;57;103;113;2;2;12;81;1;0;8;140;11;50;29;76;135;58;7;10;16;2.608;0;3.562;6;0;7;4;30;16;0;0;6;12;0;0;9;25;1;26;7;66;42;13;7;7;12;1.533;0;1.829;27;1;28;61;133;129;2;2;18;93;1;0;17;165;12;76;36;142;177;71;14;17;28;4.141;0;5.391
;11:Mais de 20,00;76;3;23;48;95;182;1;2;11;120;0;0;15;153;11;28;33;91;126;48;10;8;9;1.939;0;3.032;16;0;12;6;18;8;0;1;3;7;0;0;6;18;1;6;4;33;51;10;1;8;6;1.117;0;1.332;92;3;35;54;113;190;1;3;14;127;0;0;21;171;12;34;37;124;177;58;11;16;15;3.056;0;4.364
;{ñ class};5;48;154;349;277;463;29;110;207;262;21;0;412;123;1.233;1.131;424;76;2.153;1.947;763;156;247;61;49;10.700;2;5;35;183;423;53;13;21;67;116;43;0;352;16;77;912;412;108;814;502;860;511;346;97;2;5.970;7;53;189;532;700;516;42;131;274;378;64;0;764;139;1.310;2.043;836;184;2.967;2.449;1.623;667;593;158;51;16.670
140010:Boa Vista - RR;Total;64;375;92;7;39;20;44;55;82;19;68;0;1.105;1.121;4.118;9.091;2.415;329;3.937;1.624;3.170;743;1.524;18.395;483;48.920;8;47;12;5;12;2;11;29;39;6;116;0;469;309;995;7.541;964;339;2.201;473;4.208;1.821;2.192;26.347;104;48.250;72;422;104;12;51;22;55;84;121;25;184;0;1.574;1.430;5.113;16.632;3.379;668;6.138;2.097;7.378;2.564;3.716;44.742;587;97.170
;00:Até 0,50;1;1;0;1;0;0;1;0;0;0;2;0;17;8;113;195;46;1;68;7;34;14;25;34;4;572;0;2;1;0;1;1;1;0;0;0;1;0;8;5;34;114;25;1;40;11;56;10;19;37;3;370;1;3;1;1;1;1;2;0;0;0;3;0;25;13;147;309;71;2;108;18;90;24;44;71;7;942
;01:0,51 a 1,00;1;37;21;1;9;0;12;12;7;2;20;0;172;17;291;1.073;237;3;362;134;411;65;130;893;96;4.006;3;8;3;1;4;0;2;6;5;3;35;0;77;6;78;1.057;115;2;281;86;616;231;251;921;23;3.814;4;45;24;2;13;0;14;18;12;5;55;0;249;23;369;2.130;352;5;643;220;1.027;296;381;1.814;119;7.820
;02:1,01 a 1,50;17;178;47;4;21;9;23;33;36;8;32;0;579;64;1.223;4.814;1.176;7;1.728;694;1.717;301;278;2.520;248;15.757;5;16;5;1;6;0;6;17;20;0;74;0;264;24;730;4.513;505;27;1.316;208;2.429;911;516;3.411;54;15.058;22;194;52;5;27;9;29;50;56;8;106;0;843;88;1.953;9.327;1.681;34;3.044;902;4.146;1.212;794;5.931;302;30.815
;03:1,51 a 2,00;25;92;22;0;6;4;2;8;19;5;11;0;201;123;932;1.398;477;9;1.210;324;420;148;102;1.655;50;7.243;0;9;3;1;1;0;0;3;8;1;3;0;56;20;66;872;138;5;228;54;423;249;196;2.611;16;4.963;25;101;25;1;7;4;2;11;27;6;14;0;257;143;998;2.270;615;14;1.438;378;843;397;298;4.266;66;12.206
;04:2,01 a 3,00;11;49;2;1;1;4;0;2;13;4;3;0;99;258;857;776;233;29;284;231;264;65;197;2.691;47;6.121;0;6;0;2;0;0;0;3;2;1;1;0;30;100;26;510;77;36;145;51;265;156;307;4.425;3;6.146;11;55;2;3;1;4;0;5;15;5;4;0;129;358;883;1.286;310;65;429;282;529;221;504;7.116;50;12.267
;05:3,01 a 4,00;5;3;0;0;2;1;1;0;4;0;0;0;16;172;244;286;78;40;55;78;94;44;151;2.403;12;3.689;0;1;0;0;0;0;1;0;0;1;0;0;6;59;19;187;41;45;64;26;136;52;186;4.611;2;5.437;5;4;0;0;2;1;2;0;4;1;0;0;22;231;263;473;119;85;119;104;230;96;337;7.014;14;9.126
;06:4,01 a 5,00;2;1;0;0;0;0;0;0;1;0;0;0;2;152;58;150;40;34;26;36;59;5;87;2.212;2;2.867;0;0;0;0;0;0;0;0;0;0;0;0;1;27;6;53;22;34;27;12;75;16;110;3.847;0;4.230;2;1;0;0;0;0;0;0;1;0;0;0;3;179;64;203;62;68;53;48;134;21;197;6.059;2;7.097
;07:5,01 a 7,00;0;2;0;0;0;0;0;0;0;0;0;0;5;123;47;111;28;43;27;26;40;6;94;1.930;1;2.483;0;0;0;0;0;0;0;0;1;0;0;0;1;22;2;49;8;50;14;4;80;6;133;2.847;1;3.218;0;2;0;0;0;0;0;0;1;0;0;0;6;145;49;160;36;93;41;30;120;12;227;4.777;2;5.701
;08:7,01 a 10,00;1;2;0;0;0;0;0;0;0;0;0;0;0;89;35;41;20;53;18;9;22;3;183;1.687;2;2.165;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;16;6;52;5;5;26;3;186;1.945;0;2.267;1;2;0;0;0;0;0;0;0;0;0;0;0;110;37;57;26;105;23;14;48;6;369;3.632;2;4.432
;09:10,01 a 15,00;0;0;0;0;0;0;0;0;0;0;0;0;0;53;10;16;13;34;25;10;12;0;143;1.311;0;1.627;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;6;0;29;11;1;7;1;172;1.025;0;1.265;0;0;0;0;0;0;0;0;0;0;0;0;0;66;10;22;13;63;36;11;19;1;315;2.336;0;2.892
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2;3;6;10;6;1;2;1;92;475;0;621;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;1;10;4;0;2;1;71;238;0;335;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;4;7;20;10;1;4;2;163;713;0;956
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;4;0;18;34;0;1;0;22;460;1;564;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;11;18;0;1;0;13;230;0;276;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;4;0;29;52;0;2;0;35;690;1;840
;{ñ class};1;10;0;0;0;2;5;0;2;0;0;0;14;15;306;224;61;48;94;74;94;91;20;124;20;1.205;0;5;0;0;0;1;1;0;3;0;2;0;26;2;32;163;26;37;48;15;92;185;32;199;2;871;1;15;0;0;0;3;6;0;5;0;2;0;40;17;338;387;87;85;142;89;186;276;52;323;22;2.076
150140:Belém - PA;Total;31;331;172;296;41;614;1.544;1.115;342;431;142;0;4.257;3.566;17.644;32.355;5.499;4.705;38.489;12.832;21.138;7.883;7.482;73.340;1.047;235.296;16;53;36;59;7;76;175;419;112;139;228;0;1.980;690;1.652;27.378;2.670;4.764;13.103;2.847;18.319;19.175;9.970;65.418;136;169.422;47;384;208;355;48;690;1.719;1.534;454;570;370;0;6.237;4.256;19.296;59.733;8.169;9.469;51.592;15.679;39.457;27.058;17.452;138.758;1.183;404.718
;00:Até 0,50;0;4;0;2;0;10;27;17;4;8;1;0;66;39;181;562;85;22;269;155;529;122;445;19;2;2.569;0;7;0;0;0;11;6;27;7;3;1;0;59;39;76;550;38;49;236;58;466;188;354;27;3;2.205;0;11;0;2;0;21;33;44;11;11;2;0;125;78;257;1.112;123;71;505;213;995;310;799;46;5;4.774
;01:0,51 a 1,00;0;9;14;20;3;17;55;28;23;13;21;0;247;26;833;3.112;409;34;1.604;844;1.901;355;1.108;1.326;132;12.134;0;2;6;8;0;5;6;12;13;16;28;0;195;6;91;2.477;204;63;995;304;2.048;791;1.254;1.331;22;9.877;0;11;20;28;3;22;61;40;36;29;49;0;442;32;924;5.589;613;97;2.599;1.148;3.949;1.146;2.362;2.657;154;22.011
;02:1,01 a 1,50;0;52;85;118;16;97;605;257;147;137;83;0;1.840;269;5.123;17.070;2.394;324;12.190;3.849;11.124;2.355;1.894;5.700;479;66.208;0;14;21;23;4;18;52;142;59;53;157;0;1.207;18;623;14.909;1.227;496;6.115;934;9.531;5.598;2.989;8.621;55;52.866;0;66;106;141;20;115;657;399;206;190;240;0;3.047;287;5.746;31.979;3.621;820;18.305;4.783;20.655;7.953;4.883;14.321;534;119.074
;03:1,51 a 2,00;1;67;32;40;9;162;347;289;90;96;24;0;773;538;4.990;5.691;995;271;11.362;2.894;3.093;1.492;755;6.093;263;40.367;0;3;7;9;2;11;44;101;15;27;19;0;183;76;394;4.842;450;493;2.103;472;2.257;3.905;915;7.751;24;24.103;1;70;39;49;11;173;391;390;105;123;43;0;956;614;5.384;10.533;1.445;764;13.465;3.366;5.350;5.397;1.670;13.844;287;64.470
;04:2,01 a 3,00;0;120;14;39;7;203;251;218;50;87;7;0;657;924;4.508;3.219;734;438;8.194;1.800;2.312;1.387;893;9.260;88;35.410;2;8;1;12;0;10;34;67;9;13;15;0;123;144;256;2.237;318;576;1.283;363;1.849;3.516;1.218;7.131;6;19.191;2;128;15;51;7;213;285;285;59;100;22;0;780;1.068;4.764;5.456;1.052;1.014;9.477;2.163;4.161;4.903;2.111;16.391;94;54.601
