;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;122;1.008;352;527;7;82;645;272;244;192;153;2;1.457;2.280;24.856;11.690;3.861;687;8.825;4.854;4.682;776;2.734;36.991;984;108.283;17;132;56;72;0;20;134;154;124;74;224;0;1.112;522;3.001;11.355;1.520;797;3.741;1.288;7.397;3.096;3.931;42.423;312;81.502;139;1.140;408;599;7;102;779;426;368;266;377;2;2.569;2.802;27.857;23.045;5.381;1.484;12.566;6.142;12.079;3.872;6.665;79.414;1.296;189.785
;00:Até 0,50;0;3;0;0;0;0;1;0;0;0;0;0;7;0;293;68;20;0;9;16;52;1;17;51;1;539;0;4;0;0;0;0;0;0;0;0;0;0;8;0;237;55;6;3;13;24;73;1;25;40;0;489;0;7;0;0;0;0;1;0;0;0;0;0;15;0;530;123;26;3;22;40;125;2;42;91;1;1.028
;01:0,51 a 1,00;0;12;13;0;0;2;13;3;6;2;3;2;22;3;151;364;101;1;146;57;176;33;109;369;79;1.667;0;3;4;1;0;1;2;10;4;0;5;0;36;2;90;349;55;13;178;75;326;104;277;279;40;1.854;0;15;17;1;0;3;15;13;10;2;8;2;58;5;241;713;156;14;324;132;502;137;386;648;119;3.521
;02:1,01 a 1,50;26;227;117;62;2;29;164;87;67;62;36;0;486;17;1.645;4.617;1.136;51;1.622;714;1.683;213;354;3.868;422;17.707;7;49;32;12;0;10;83;74;46;38;131;0;683;29;496;6.138;763;119;1.918;375;4.034;1.467;956;6.856;193;24.509;33;276;149;74;2;39;247;161;113;100;167;0;1.169;46;2.141;10.755;1.899;170;3.540;1.089;5.717;1.680;1.310;10.724;615;42.216
;03:1,51 a 2,00;37;228;97;134;1;28;203;67;77;48;16;0;418;73;3.866;2.944;1.074;29;3.393;1.011;835;207;273;5.226;231;20.516;4;20;11;14;0;4;26;36;41;18;45;0;219;9;613;2.634;308;53;869;301;1.270;812;419;6.865;34;14.625;41;248;108;148;1;32;229;103;118;66;61;0;637;82;4.479;5.578;1.382;82;4.262;1.312;2.105;1.019;692;12.091;265;35.141
;04:2,01 a 3,00;43;217;70;129;3;13;180;77;49;44;19;0;314;277;7.732;2.062;819;59;2.608;1.459;667;144;375;4.992;152;22.504;4;28;6;18;0;1;11;17;20;11;30;0;90;66;974;1.381;228;93;448;288;632;363;478;7.660;21;12.868;47;245;76;147;3;14;191;94;69;55;49;0;404;343;8.706;3.443;1.047;152;3.056;1.747;1.299;507;853;12.652;173;35.372
;05:3,01 a 4,00;12;109;28;68;0;6;57;24;20;17;21;0;95;230;4.558;743;331;128;399;798;241;80;341;7.572;43;15.921;1;13;1;16;0;4;5;8;7;5;2;0;36;51;258;387;65;150;128;82;189;155;360;10.762;8;12.693;13;122;29;84;0;10;62;32;27;22;23;0;131;281;4.816;1.130;396;278;527;880;430;235;701;18.334;51;28.614
;06:4,01 a 5,00;0;97;16;43;0;1;10;5;11;11;37;0;27;167;2.086;333;114;74;164;253;254;32;216;3.077;17;7.045;1;6;1;4;0;0;3;5;3;1;3;0;17;36;90;181;39;92;54;48;132;76;309;2.842;4;3.947;1;103;17;47;0;1;13;10;14;12;40;0;44;203;2.176;514;153;166;218;301;386;108;525;5.919;21;10.992
;07:5,01 a 7,00;1;71;5;32;0;2;7;5;5;3;16;0;43;260;2.064;289;115;111;179;197;223;25;379;4.437;9;8.478;0;2;0;2;0;0;1;1;1;1;4;0;11;88;105;109;31;108;54;39;155;62;417;3.182;3;4.376;1;73;5;34;0;2;8;6;6;4;20;0;54;348;2.169;398;146;219;233;236;378;87;796;7.619;12;12.854
;08:7,01 a 10,00;1;21;2;24;0;0;2;4;5;2;5;0;10;469;763;107;62;101;78;105;258;7;345;2.941;7;5.319;0;4;0;2;0;0;0;3;1;0;0;0;2;112;55;46;10;91;21;27;223;22;360;1.632;1;2.612;1;25;2;26;0;0;2;7;6;2;5;0;12;581;818;153;72;192;99;132;481;29;705;4.573;8;7.931
;09:10,01 a 15,00;0;8;0;14;0;0;0;0;1;1;0;0;9;310;618;56;38;72;46;58;173;21;211;1.853;3;3.492;0;0;0;1;0;0;0;0;0;0;0;0;1;69;19;16;6;44;20;7;255;11;222;1.065;5;1.741;0;8;0;15;0;0;0;0;1;1;0;0;10;379;637;72;44;116;66;65;428;32;433;2.918;8;5.233
;10:15,01 a 20,00;0;1;1;9;0;0;0;0;0;0;0;0;3;199;305;14;15;32;27;21;35;2;62;1.153;6;1.885;0;0;0;0;0;0;0;0;0;0;0;0;0;31;8;9;1;18;10;4;26;3;51;571;1;733;0;1;1;9;0;0;0;0;0;0;0;0;3;230;313;23;16;50;37;25;61;5;113;1.724;7;2.618
;11:Mais de 20,00;0;0;0;2;0;0;1;0;0;1;0;0;2;250;177;21;11;27;46;7;17;3;35;1.366;3;1.969;0;0;0;1;0;0;0;0;0;0;0;0;0;27;6;1;0;11;12;0;5;0;34;561;0;658;0;0;0;3;0;0;1;0;0;1;0;0;2;277;183;22;11;38;58;7;22;3;69;1.927;3;2.627
;{ñ class};2;14;3;10;1;1;7;0;3;1;0;0;21;25;598;72;25;2;108;158;68;8;17;86;11;1.241;0;3;1;1;0;0;3;0;1;0;4;0;9;2;50;49;8;2;16;18;77;20;23;108;2;397;2;17;4;11;1;1;10;0;4;1;4;0;30;27;648;121;33;4;124;176;145;28;40;194;13;1.638
120040:Rio Branco - AC;Total;204;865;130;43;12;65;709;152;200;151;103;0;1.214;993;6.181;8.950;1.833;430;4.451;2.515;4.721;1.401;1.308;17.597;1.350;55.578;30;88;17;10;6;12;106;53;41;61;152;0;542;226;601;6.629;627;460;1.844;830;5.566;3.186;1.660;23.069;175;45.991;234;953;147;53;18;77;815;205;241;212;255;0;1.756;1.219;6.782;15.579;2.460;890;6.295;3.345;10.287;4.587;2.968;40.666;1.525;101.569
;00:Até 0,50;0;0;0;0;1;0;1;0;0;0;0;0;4;1;12;97;17;0;1;15;18;5;3;11;1;187;0;0;0;0;0;0;0;0;0;0;0;0;8;0;12;47;16;1;7;17;17;4;9;7;2;147;0;0;0;0;1;0;1;0;0;0;0;0;12;1;24;144;33;1;8;32;35;9;12;18;3;334
;01:0,51 a 1,00;5;91;2;3;1;8;14;3;7;8;4;0;50;23;229;258;26;4;160;58;200;64;58;15;307;1.598;2;40;2;0;2;1;3;8;0;4;9;0;48;14;43;212;24;5;73;20;431;98;95;10;48;1.192;7;131;4;3;3;9;17;11;7;12;13;0;98;37;272;470;50;9;233;78;631;162;153;25;355;2.790
;02:1,01 a 1,50;64;368;67;30;6;27;300;63;79;89;77;0;462;25;2.583;4.699;870;22;1.262;673;2.335;298;385;684;644;16.112;17;31;13;7;4;7;62;29;29;32;130;0;318;3;377;4.249;336;44;904;287;3.510;849;391;1.492;90;13.211;81;399;80;37;10;34;362;92;108;121;207;0;780;28;2.960;8.948;1.206;66;2.166;960;5.845;1.147;776;2.176;734;29.323
;03:1,51 a 2,00;68;169;33;4;2;16;205;31;68;31;18;0;312;87;1.564;1.875;407;26;1.615;522;1.237;406;171;1.176;227;10.270;7;12;0;2;0;3;16;7;5;10;8;0;80;5;59;1.181;103;35;440;223;730;837;178;2.418;12;6.371;75;181;33;6;2;19;221;38;73;41;26;0;392;92;1.623;3.056;510;61;2.055;745;1.967;1.243;349;3.594;239;16.641
;04:2,01 a 3,00;54;199;22;3;1;14;107;45;26;13;1;0;230;122;1.268;1.152;305;25;952;538;492;188;203;3.870;95;9.925;4;2;0;1;0;1;8;6;4;7;4;0;38;21;51;556;82;31;197;107;347;525;332;5.217;7;7.548;58;201;22;4;1;15;115;51;30;20;5;0;268;143;1.319;1.708;387;56;1.149;645;839;713;535;9.087;102;17.473
;05:3,01 a 4,00;5;17;2;3;1;0;23;6;5;5;1;0;76;142;208;363;75;58;122;390;181;79;116;4.146;19;6.043;0;0;2;0;0;0;4;2;1;3;0;0;26;35;21;165;29;111;56;57;234;230;167;3.951;3;5.097;5;17;4;3;1;0;27;8;6;8;1;0;102;177;229;528;104;169;178;447;415;309;283;8.097;22;11.140
;06:4,01 a 5,00;8;6;2;0;0;0;8;1;7;2;1;0;22;89;60;184;38;48;77;90;59;89;117;2.318;11;3.237;0;1;0;0;0;0;3;1;0;2;0;0;11;18;14;73;21;50;26;39;49;266;153;3.929;5;4.661;8;7;2;0;0;0;11;2;7;4;1;0;33;107;74;257;59;98;103;129;108;355;270;6.247;16;7.898
;07:5,01 a 7,00;0;4;1;0;0;0;16;1;2;3;0;0;12;125;34;143;44;86;61;84;58;66;116;2.060;14;2.930;0;1;0;0;0;0;5;0;2;0;0;0;1;35;9;65;11;77;45;33;65;168;164;3.273;2;3.956;0;5;1;0;0;0;21;1;4;3;0;0;13;160;43;208;55;163;106;117;123;234;280;5.333;16;6.886
;08:7,01 a 10,00;0;1;0;0;0;0;7;0;2;0;0;0;7;136;47;69;25;72;47;36;34;33;76;1.397;5;1.994;0;0;0;0;0;0;3;0;0;0;0;0;3;48;11;25;3;43;30;15;27;46;82;1.563;3;1.902;0;1;0;0;0;0;10;0;2;0;0;0;10;184;58;94;28;115;77;51;61;79;158;2.960;8;3.896
;09:10,01 a 15,00;0;0;1;0;0;0;0;0;0;0;0;0;3;96;9;25;7;54;39;20;55;28;44;912;2;1.295;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;9;0;42;13;2;80;35;53;613;0;870;0;0;1;0;0;0;0;0;0;0;0;0;4;117;10;34;7;96;52;22;135;63;97;1.525;2;2.165
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;1;62;1;7;3;14;32;5;11;66;4;340;3;549;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;4;0;9;11;5;11;59;8;259;0;385;0;0;0;0;0;0;0;0;0;0;0;0;1;81;1;11;3;23;43;10;22;125;12;599;3;934
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;3;74;0;4;1;19;45;4;2;73;4;643;1;873;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;6;25;0;2;49;5;320;0;416;0;0;0;0;0;0;0;0;0;0;0;0;3;81;0;6;1;25;70;4;4;122;9;963;1;1.289
;{ñ class};0;10;0;0;0;0;28;2;4;0;1;0;32;11;166;74;15;2;38;80;39;6;11;25;21;565;0;1;0;0;0;0;2;0;0;3;1;0;8;0;3;41;2;6;17;25;63;20;23;17;3;235;0;11;0;0;0;0;30;2;4;3;2;0;40;11;169;115;17;8;55;105;102;26;34;42;24;800
