;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;75;398;180;22;124;40;422;264;249;87;51;0;1.295;1.471;3.011;7.839;2.246;486;5.102;2.491;3.176;1.842;1.612;26.124;708;59.315;17;31;17;5;18;3;85;118;18;26;152;0;464;357;263;5.373;999;428;1.075;646;3.862;1.935;1.966;34.629;155;52.642;92;429;197;27;142;43;507;382;267;113;203;0;1.759;1.828;3.274;13.212;3.245;914;6.177;3.137;7.038;3.777;3.578;60.753;863;111.957
;00:Até 0,50;0;1;0;0;0;0;0;0;0;0;0;0;1;3;3;21;3;2;6;4;13;0;10;20;2;89;0;0;0;0;0;0;3;0;0;0;0;0;1;0;3;14;3;0;2;3;28;2;5;17;0;81;0;1;0;0;0;0;3;0;0;0;0;0;2;3;6;35;6;2;8;7;41;2;15;37;2;170
;01:0,51 a 1,00;0;35;12;2;3;1;8;14;2;0;3;0;19;8;167;172;32;4;60;116;209;17;52;306;92;1.334;0;2;1;0;1;0;4;14;0;1;8;0;17;0;22;122;23;5;84;30;221;38;151;305;20;1.069;0;37;13;2;4;1;12;28;2;1;11;0;36;8;189;294;55;9;144;146;430;55;203;611;112;2.403
;02:1,01 a 1,50;41;206;91;9;16;25;165;99;106;38;34;0;500;12;1.726;3.553;903;21;1.154;505;1.226;164;244;2.864;274;13.976;17;22;10;5;14;3;62;53;13;15;105;0;353;6;171;3.117;601;37;507;150;1.901;672;519;6.404;82;14.839;58;228;101;14;30;28;227;152;119;53;139;0;853;18;1.897;6.670;1.504;58;1.661;655;3.127;836;763;9.268;356;28.815
;03:1,51 a 2,00;20;81;26;6;81;11;137;58;93;23;6;0;288;107;515;2.049;546;10;2.795;405;598;144;203;2.013;179;10.394;0;3;3;0;3;0;9;13;4;3;24;0;48;39;30;1.126;197;14;236;103;628;412;306;3.709;33;6.943;20;84;29;6;84;11;146;71;97;26;30;0;336;146;545;3.175;743;24;3.031;508;1.226;556;509;5.722;212;17.337
;04:2,01 a 3,00;10;44;39;5;20;0;68;41;22;15;4;0;245;80;349;1.158;401;22;622;605;517;77;244;3.535;110;8.233;0;2;2;0;0;0;4;20;0;6;9;0;15;6;18;610;98;35;102;130;373;154;336;5.478;14;7.412;10;46;41;5;20;0;72;61;22;21;13;0;260;86;367;1.768;499;57;724;735;890;231;580;9.013;124;15.645
;05:3,01 a 4,00;1;11;4;0;1;0;27;39;6;5;2;0;89;62;87;393;133;50;130;323;177;34;254;3.540;23;5.391;0;0;0;0;0;0;1;12;0;1;1;0;11;29;8;224;30;53;59;73;183;56;189;7.054;1;7.985;1;11;4;0;1;0;28;51;6;6;3;0;100;91;95;617;163;103;189;396;360;90;443;10.594;24;13.376
;06:4,01 a 5,00;1;2;4;0;1;0;8;5;6;1;1;0;66;90;34;202;64;58;71;160;102;124;132;3.103;16;4.251;0;0;0;0;0;0;1;0;0;0;1;0;8;21;1;68;19;46;15;34;89;121;132;4.900;3;5.459;1;2;4;0;1;0;9;5;6;1;2;0;74;111;35;270;83;104;86;194;191;245;264;8.003;19;9.710
;07:5,01 a 7,00;1;5;0;0;1;1;5;3;6;2;1;0;51;191;38;127;86;99;87;117;131;673;161;4.020;4;5.810;0;0;1;0;0;0;0;4;1;0;0;0;3;54;2;42;13;74;22;53;222;268;157;2.466;1;3.383;1;5;1;0;1;1;5;7;7;2;1;0;54;245;40;169;99;173;109;170;353;941;318;6.486;5;9.193
;08:7,01 a 10,00;0;4;2;0;0;0;1;3;1;1;0;0;12;280;37;72;32;78;56;89;101;576;160;2.316;2;3.823;0;1;0;0;0;0;0;2;0;0;0;0;2;72;4;20;8;73;13;39;138;175;102;1.949;1;2.599;0;5;2;0;0;0;1;5;1;1;0;0;14;352;41;92;40;151;69;128;239;751;262;4.265;3;6.422
;09:10,01 a 15,00;0;0;1;0;0;0;0;0;4;0;0;0;5;327;13;29;18;88;31;73;48;19;114;1.525;1;2.296;0;0;0;0;0;0;0;0;0;0;0;0;1;78;1;7;2;59;16;12;40;17;52;973;0;1.258;0;0;1;0;0;0;0;0;4;0;0;0;6;405;14;36;20;147;47;85;88;36;166;2.498;1;3.554
;10:15,01 a 20,00;0;0;0;0;0;1;0;0;2;0;0;0;2;161;3;10;7;22;18;38;16;5;20;1.143;0;1.448;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;3;1;17;7;10;12;5;7;536;0;628;0;0;0;0;0;1;0;0;2;0;0;0;2;191;3;13;8;39;25;48;28;10;27;1.679;0;2.076
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;2;0;0;7;148;3;5;6;27;27;22;19;5;13;1.721;0;2.005;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;2;0;13;8;4;7;1;5;816;0;878;0;0;0;0;0;0;0;0;0;2;0;0;7;170;3;7;6;40;35;26;26;6;18;2.537;0;2.883
