;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;191;737;321;559;9;95;717;300;197;148;103;0;1.512;2.582;20.693;11.874;3.747;706;9.130;4.978;3.892;928;3.121;37.931;1.019;105.490;28;102;56;73;2;23;147;163;109;49;213;0;1.246;610;2.339;11.739;1.545;810;3.933;1.427;6.999;3.383;4.313;43.656;345;83.310;219;839;377;632;11;118;864;463;306;197;316;0;2.758;3.192;23.032;23.613;5.292;1.516;13.063;6.405;10.891;4.311;7.434;81.587;1.364;188.800
;00:Até 0,50;1;4;0;14;0;0;0;0;0;0;0;0;6;8;327;84;21;1;20;23;69;3;19;52;0;652;0;3;0;5;0;0;0;0;0;0;0;0;6;2;253;43;15;5;5;32;104;7;25;52;0;557;1;7;0;19;0;0;0;0;0;0;0;0;12;10;580;127;36;6;25;55;173;10;44;104;0;1.209
;01:0,51 a 1,00;1;5;8;4;0;8;11;6;3;1;1;0;21;10;201;348;51;4;180;62;136;22;122;169;91;1.465;0;3;8;0;0;1;4;7;1;0;6;0;36;7;84;347;44;12;171;64;287;83;299;230;34;1.728;1;8;16;4;0;9;15;13;4;1;7;0;57;17;285;695;95;16;351;126;423;105;421;399;125;3.193
;02:1,01 a 1,50;30;184;96;59;4;25;173;108;50;40;42;0;497;58;2.358;4.714;1.050;57;1.648;761;1.532;284;392;3.367;373;17.902;9;36;24;12;2;10;91;80;47;27;143;0;752;43;450;6.364;726;123;1.887;502;3.817;1.520;1.046;6.145;202;24.058;39;220;120;71;6;35;264;188;97;67;185;0;1.249;101;2.808;11.078;1.776;180;3.535;1.263;5.349;1.804;1.438;9.512;575;41.960
;03:1,51 a 2,00;52;223;101;174;0;21;254;59;66;46;18;0;401;163;3.906;3.040;1.051;30;3.014;1.076;869;253;346;3.269;277;18.709;10;18;13;15;0;4;24;20;40;12;38;0;267;56;455;2.779;329;53;1.009;311;1.367;916;432;6.158;59;14.385;62;241;114;189;0;25;278;79;106;58;56;0;668;219;4.361;5.819;1.380;83;4.023;1.387;2.236;1.169;778;9.427;336;33.094
;04:2,01 a 3,00;71;188;53;126;4;27;207;85;39;26;20;0;357;257;5.104;2.034;865;56;3.306;1.510;611;185;459;7.288;189;23.067;7;22;8;20;0;1;18;30;12;8;18;0;105;58;630;1.334;237;94;559;285;595;459;556;9.903;25;14.984;78;210;61;146;4;28;225;115;51;34;38;0;462;315;5.734;3.368;1.102;150;3.865;1.795;1.206;644;1.015;17.191;214;38.051
;05:3,01 a 4,00;22;61;24;63;0;9;44;22;15;18;10;0;121;255;3.341;727;300;121;335;722;213;80;366;6.883;52;13.804;1;6;2;11;0;5;6;13;5;2;2;0;38;63;175;425;89;135;120;91;204;175;373;10.064;20;12.025;23;67;26;74;0;14;50;35;20;20;12;0;159;318;3.516;1.152;389;256;455;813;417;255;739;16.947;72;25.829
;06:4,01 a 5,00;6;19;15;33;0;2;12;6;10;9;4;0;29;219;1.785;346;128;67;166;278;103;33;249;4.084;21;7.624;1;5;0;6;0;1;1;4;3;0;3;0;18;42;61;174;45;92;53;45;80;98;318;3.096;2;4.148;7;24;15;39;0;3;13;10;13;9;7;0;47;261;1.846;520;173;159;219;323;183;131;567;7.180;23;11.772
;07:5,01 a 7,00;2;20;10;33;0;2;5;7;7;1;5;0;36;339;1.849;284;142;123;140;215;111;23;384;4.540;4;8.282;0;4;0;0;0;0;0;5;0;0;1;0;6;88;86;139;32;120;48;45;138;70;466;3.560;2;4.810;2;24;10;33;0;2;5;12;7;1;6;0;42;427;1.935;423;174;243;188;260;249;93;850;8.100;6;13.092
;08:7,01 a 10,00;3;16;4;23;0;0;0;6;2;2;2;0;8;470;587;99;53;111;71;96;84;9;427;3.155;3;5.231;0;4;0;2;0;0;0;3;0;0;0;0;2;112;45;46;11;99;22;29;77;27;426;1.827;0;2.732;3;20;4;25;0;0;0;9;2;2;2;0;10;582;632;145;64;210;93;125;161;36;853;4.982;3;7.963
