;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;09:10,01 a 15,00;0;3;1;14;0;0;0;0;1;1;1;0;6;308;397;64;37;57;52;54;98;23;226;2.046;0;3.389;0;0;0;1;0;0;0;0;0;0;0;0;1;74;15;18;7;45;13;4;215;12;222;1.240;0;1.867;0;3;1;15;0;0;0;0;1;1;1;0;7;382;412;82;44;102;65;58;313;35;448;3.286;0;5.256
;10:15,01 a 20,00;0;1;0;6;0;0;0;0;0;0;0;0;2;188;140;21;14;36;22;16;28;2;58;1.413;0;1.947;0;0;0;0;0;0;0;1;0;0;0;0;0;32;6;5;0;20;9;4;31;3;75;662;0;848;0;1;0;6;0;0;0;1;0;0;0;0;2;220;146;26;14;56;31;20;59;5;133;2.075;0;2.795
;11:Mais de 20,00;0;1;0;2;0;0;0;0;0;1;0;0;2;276;131;19;9;35;49;7;9;3;60;1.456;0;2.060;0;0;0;1;0;0;0;0;0;0;0;0;0;30;4;5;0;9;14;1;5;0;48;582;0;699;0;1;0;3;0;0;0;0;0;1;0;0;2;306;135;24;9;44;63;8;14;3;108;2.038;0;2.759
;{ñ class};3;12;9;8;1;1;11;1;4;3;0;0;26;31;567;94;26;8;127;158;29;8;13;209;9;1.358;0;1;1;0;0;1;3;0;1;0;2;0;15;3;75;60;10;3;23;14;79;13;27;137;1;469;3;13;10;8;1;2;14;1;5;3;2;0;41;34;642;154;36;11;150;172;108;21;40;346;10;1.827
120040:Rio Branco - AC;Total;69;709;160;25;14;51;504;182;161;147;87;6;1.334;988;6.593;9.132;1.970;446;4.053;2.586;5.708;1.277;2.277;17.534;1.444;57.457;10;55;20;6;6;4;79;75;34;47;126;0;562;217;976;6.892;695;477;1.740;839;6.192;3.137;2.472;22.150;189;47.000;79;764;180;31;20;55;583;257;195;194;213;6;1.896;1.205;7.569;16.024;2.665;923;5.793;3.425;11.900;4.414;4.749;39.684;1.633;104.457
;00:Até 0,50;0;0;0;0;0;0;0;0;2;0;0;0;7;1;3;89;13;2;2;10;43;22;8;8;0;210;0;0;0;0;0;0;0;0;0;0;0;0;12;3;4;77;21;2;4;19;40;20;5;4;0;211;0;0;0;0;0;0;0;0;2;0;0;0;19;4;7;166;34;4;6;29;83;42;13;12;0;421
;01:0,51 a 1,00;5;46;6;2;1;6;9;4;4;2;2;0;26;3;227;246;35;3;94;58;118;42;56;22;335;1.352;0;6;1;0;4;1;5;7;0;0;6;0;24;1;125;186;27;7;59;31;259;101;112;23;58;1.043;5;52;7;2;5;7;14;11;4;2;8;0;50;4;352;432;62;10;153;89;377;143;168;45;393;2.395
;02:1,01 a 1,50;20;327;89;17;7;23;188;77;52;97;69;5;534;37;2.270;4.554;964;28;933;737;2.958;314;343;466;625;15.734;7;25;16;4;2;3;46;44;23;23;107;0;340;4;448;4.205;368;61;876;294;4.086;942;413;866;86;13.289;27;352;105;21;9;26;234;121;75;120;176;5;874;41;2.718;8.759;1.332;89;1.809;1.031;7.044;1.256;756;1.332;711;29.023
;03:1,51 a 2,00;18;176;34;5;4;6;144;37;55;22;12;1;322;110;1.675;2.020;390;24;1.456;507;1.430;258;192;1.054;270;10.222;2;13;1;1;0;0;11;9;4;11;9;0;96;6;95;1.295;113;32;373;224;833;784;206;2.488;14;6.620;20;189;35;6;4;6;155;46;59;33;21;1;418;116;1.770;3.315;503;56;1.829;731;2.263;1.042;398;3.542;284;16.842
;04:2,01 a 3,00;20;123;24;0;1;14;91;52;31;16;1;0;275;124;1.583;1.229;319;29;1.050;576;670;191;288;2.751;127;9.585;1;7;0;1;0;0;5;11;4;6;3;0;36;20;130;678;89;27;195;111;406;461;360;4.890;15;7.456;21;130;24;1;1;14;96;63;35;22;4;0;311;144;1.713;1.907;408;56;1.245;687;1.076;652;648;7.641;142;17.041
;05:3,01 a 4,00;5;23;2;1;1;1;18;7;3;4;1;0;82;104;361;430;86;52;176;381;212;86;252;4.262;16;6.566;0;1;1;0;0;0;4;3;0;3;0;0;18;29;74;187;31;92;56;51;250;229;290;3.756;2;5.077;5;24;3;1;1;1;22;10;3;7;1;0;100;133;435;617;117;144;232;432;462;315;542;8.018;18;11.643
;06:4,01 a 5,00;0;5;3;0;0;0;4;1;5;2;1;0;30;94;148;213;45;41;55;87;81;115;220;2.941;14;4.105;0;3;1;0;0;0;1;1;0;1;0;0;10;23;42;101;23;53;35;28;50;268;228;3.882;3;4.753;0;8;4;0;0;0;5;2;5;3;1;0;40;117;190;314;68;94;90;115;131;383;448;6.823;17;8.858
;07:5,01 a 7,00;0;2;0;0;0;0;11;2;4;3;0;0;10;164;58;157;49;81;78;68;49;50;319;2.682;26;3.813;0;0;0;0;0;0;4;0;3;0;0;0;7;35;22;70;14;82;52;31;71;139;321;3.415;7;4.273;0;2;0;0;0;0;15;2;7;3;0;0;17;199;80;227;63;163;130;99;120;189;640;6.097;33;8.086
;08:7,01 a 10,00;0;1;0;0;0;0;6;0;2;0;0;0;6;117;87;84;35;80;45;39;33;36;321;1.270;6;2.168;0;0;0;0;0;0;1;0;0;0;0;0;5;50;23;34;6;48;28;11;29;37;297;1.570;2;2.141;0;1;0;0;0;0;7;0;2;0;0;0;11;167;110;118;41;128;73;50;62;73;618;2.840;8;4.309
;09:10,01 a 15,00;0;0;1;0;0;0;0;0;0;0;0;0;4;93;17;21;7;60;37;21;51;33;152;913;1;1.411;0;0;0;0;0;0;0;0;0;0;0;0;2;18;5;9;0;47;17;4;79;30;147;647;0;1.005;0;0;1;0;0;0;0;0;0;0;0;0;6;111;22;30;7;107;54;25;130;63;299;1.560;1;2.416
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;2;56;11;10;4;24;27;4;15;76;46;450;3;728;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;5;0;12;11;3;10;52;33;276;0;423;0;0;0;0;0;0;0;0;0;0;0;0;2;77;11;15;4;36;38;7;25;128;79;726;3;1.151
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;2;78;5;5;4;18;50;2;2;44;71;685;0;966;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;8;20;0;4;44;35;314;0;434;0;0;0;0;0;0;0;0;0;0;0;0;2;85;6;6;4;26;70;2;6;88;106;999;0;1.400
;{ñ class};1;6;1;0;0;1;33;2;3;1;1;0;34;7;148;74;19;4;50;96;46;10;9;30;21;597;0;0;0;0;0;0;2;0;0;3;1;0;12;0;7;44;3;6;14;32;75;30;25;19;2;275;1;6;1;0;0;1;35;2;3;4;2;0;46;7;155;118;22;10;64;128;121;40;34;49;23;872
130260:Manaus - AM;Total;639;1.241;7.257;10.223;18.691;17.043;927;3.217;3.612;9.848;908;10;7.871;4.554;23.735;37.876;12.870;2.118;33.724;29.544;20.725;3.503;8.294;58.458;919;317.807;105;211;2.195;7.038;19.460;2.530;244;1.403;2.355;4.171;1.346;4;5.203;718;3.390;34.181;5.789;2.525;12.679;7.997;25.567;10.445;12.060;70.601;303;232.520;744;1.452;9.452;17.261;38.151;19.573;1.171;4.620;5.967;14.019;2.254;14;13.074;5.272;27.125;72.057;18.659;4.643;46.403;37.541;46.292;13.948;20.354;129.059;1.222;550.327
;00:Até 0,50;0;7;69;154;247;168;7;34;35;100;3;0;56;26;147;510;131;12;75;190;192;38;85;13;0;2.299;0;3;55;124;231;40;3;24;25;72;4;0;46;13;96;397;101;10;62;155;223;47;103;19;1;1.854;0;10;124;278;478;208;10;58;60;172;7;0;102;39;243;907;232;22;137;345;415;85;188;32;1;4.153
;01:0,51 a 1,00;0;44;95;170;404;145;36;69;103;155;87;0;181;15;538;894;233;15;464;384;967;110;450;753;65;6.377;3;24;45;171;521;70;8;73;76;99;164;0;184;7;126;1.120;127;61;507;209;1.383;358;906;362;33;6.637;3;68;140;341;925;215;44;142;179;254;251;0;365;22;664;2.014;360;76;971;593;2.350;468;1.356;1.115;98;13.014
;02:1,01 a 1,50;17;335;1.735;2.374;3.940;1.084;507;1.138;1.030;2.202;531;3;3.042;306;7.799;18.940;5.646;93;8.194;6.141;10.077;923;1.317;2.524;485;80.383;5;45;700;2.910;6.939;460;145;648;982;1.429;978;2;3.096;84;1.225;20.967;2.915;255;5.349;2.671;16.611;3.805;3.260;4.151;205;79.837;22;380;2.435;5.284;10.879;1.544;652;1.786;2.012;3.631;1.509;5;6.138;390;9.024;39.907;8.561;348;13.543;8.812;26.688;4.728;4.577;6.675;690;160.220
;03:1,51 a 2,00;45;259;2.085;3.389;5.845;3.073;190;704;919;2.387;169;4;1.834;944;6.806;8.148;2.564;139;8.394;5.312;3.794;768;779;4.452;237;63.240;4;39;546;2.344;6.889;497;27;253;562;1.147;118;1;868;39;514;5.720;1.012;241;2.577;2.120;2.953;2.288;1.289;6.971;35;39.054;49;298;2.631;5.733;12.734;3.570;217;957;1.481;3.534;287;5;2.702;983;7.320;13.868;3.576;380;10.971;7.432;6.747;3.056;2.068;11.423;272;102.294
;04:2,01 a 3,00;80;250;1.442;1.957;3.006;5.342;121;635;658;1.972;61;2;1.319;963;4.498;5.131;1.960;148;10.825;8.280;2.973;905;945;15.667;73;69.213;3;38;458;686;2.337;506;21;189;364;611;43;1;426;96;494;3.289;743;179;2.013;1.310;1.853;2.363;1.514;25.753;20;45.310;83;288;1.900;2.643;5.343;5.848;142;824;1.022;2.583;104;3;1.745;1.059;4.992;8.420;2.703;327;12.838;9.590;4.826;3.268;2.459;41.420;93;114.523
;05:3,01 a 4,00;35;117;535;587;1.206;2.557;34;278;258;767;32;0;581;454;1.681;1.794;854;342;2.036;5.218;997;220;816;5.744;39;27.182;3;17;154;232;769;271;16;94;134;227;12;0;177;61;310;1.143;344;357;621;566;839;465;901;7.085;4;14.802;38;134;689;819;1.975;2.828;50;372;392;994;44;0;758;515;1.991;2.937;1.198;699;2.657;5.784;1.836;685;1.717;12.829;43;41.984
;06:4,01 a 5,00;21;62;353;371;963;1.367;12;117;171;449;9;0;262;275;765;862;486;273;842;1.308;489;116;702;7.801;7;18.083;0;19;79;125;427;193;14;35;55;147;5;0;119;61;169;563;182;344;363;254;546;285;857;8.180;2;13.024;21;81;432;496;1.390;1.560;26;152;226;596;14;0;381;336;934;1.425;668;617;1.205;1.562;1.035;401;1.559;15.981;9;31.107
;07:5,01 a 7,00;16;61;393;433;1.250;1.180;5;108;187;533;2;1;218;468;585;742;396;364;857;973;426;119;1.049;7.887;7;18.260;1;13;76;139;445;197;3;40;52;144;2;0;120;101;209;473;167;402;479;273;397;354;1.254;7.413;1;12.755;17;74;469;572;1.695;1.377;8;148;239;677;4;1;338;569;794;1.215;563;766;1.336;1.246;823;473;2.303;15.300;8;31.015
;08:7,01 a 10,00;48;38;252;313;762;754;8;65;97;466;3;0;137;269;325;348;265;318;634;563;306;160;925;6.344;3;13.403;14;8;37;114;251;117;3;28;50;105;0;0;55;39;118;213;102;308;308;172;216;255;944;5.573;0;9.030;62;46;289;427;1.013;871;11;93;147;571;3;0;192;308;443;561;367;626;942;735;522;415;1.869;11.917;3;22.433
;09:10,01 a 15,00;76;16;147;231;497;581;0;30;74;292;2;0;57;211;159;156;125;220;508;345;251;92;618;3.627;1;8.316;14;3;26;65;159;98;1;9;18;63;0;0;29;133;70;69;46;240;181;84;271;109;556;2.559;0;4.803;90;19;173;296;656;679;1;39;92;355;2;0;86;344;229;225;171;460;689;429;522;201;1.174;6.186;1;13.119
;10:15,01 a 20,00;43;11;56;64;179;206;1;2;27;133;1;0;18;225;52;49;52;101;225;138;49;25;172;1.522;0;3.351;20;1;7;19;37;29;0;1;3;17;0;0;8;50;21;17;15;67;53;28;36;21;150;1.161;0;1.761;63;12;63;83;216;235;1;3;30;150;1;0;26;275;73;66;67;168;278;166;85;46;322;2.683;0;5.112
;11:Mais de 20,00;249;11;30;103;190;302;1;5;26;271;1;0;36;317;53;54;56;85;260;134;21;15;173;2.095;0;4.488;36;0;5;8;30;14;0;3;7;27;0;0;10;29;8;14;10;38;58;18;13;18;101;1.290;0;1.737;285;11;35;111;220;316;1;8;33;298;1;0;46;346;61;68;66;123;318;152;34;33;274;3.385;0;6.225
;{ñ class};9;30;65;77;202;284;5;32;27;121;7;0;130;81;327;248;102;8;410;558;183;12;263;29;2;3.212;2;1;7;101;425;38;3;6;27;83;20;0;65;5;30;196;25;23;108;137;226;77;225;84;2;1.916;11;31;72;178;627;322;8;38;54;204;27;0;195;86;357;444;127;31;518;695;409;89;488;113;4;5.128
140010:Boa Vista - RR;Total;68;461;85;14;31;15;128;110;52;24;7;0;807;944;3.489;7.655;2.188;318;2.151;1.582;3.092;446;1.951;16.036;463;42.117;8;59;16;5;5;4;19;56;30;10;47;0;568;323;471;6.751;620;307;1.084;407;4.635;966;2.738;22.335;216;41.680;76;520;101;19;36;19;147;166;82;34;54;0;1.375;1.267;3.960;14.406;2.808;625;3.235;1.989;7.727;1.412;4.689;38.371;679;83.797
;00:Até 0,50;2;5;0;0;0;0;0;0;0;0;0;0;6;9;33;76;15;0;1;8;38;5;14;9;0;221;0;2;0;0;0;0;0;0;0;0;0;0;8;7;27;64;12;0;0;15;57;7;15;10;1;225;2;7;0;0;0;0;0;0;0;0;0;0;14;16;60;140;27;0;1;23;95;12;29;19;1;446
;01:0,51 a 1,00;1;43;8;1;0;0;6;7;2;0;3;0;71;10;143;405;44;2;65;75;201;13;92;301;80;1.573;1;2;0;0;0;0;2;12;1;1;5;0;228;6;36;374;44;11;115;43;256;75;183;381;25;1.801;2;45;8;1;0;0;8;19;3;1;8;0;299;16;179;779;88;13;180;118;457;88;275;682;105;3.374
;02:1,01 a 1,50;20;197;43;10;7;12;48;63;22;15;3;0;323;40;1.193;4.497;1.049;4;552;612;1.866;139;308;2.197;145;13.365;3;29;15;4;2;3;13;28;16;7;40;0;185;46;282;4.840;347;23;480;170;3.394;496;572;3.502;62;14.559;23;226;58;14;9;15;61;91;38;22;43;0;508;86;1.475;9.337;1.396;27;1.032;782;5.260;635;880;5.699;207;27.924
;03:1,51 a 2,00;14;98;24;1;11;1;43;16;15;4;1;0;183;13;937;1.379;561;2;704;301;430;66;174;1.404;56;6.438;0;11;0;0;2;0;3;8;8;2;1;0;76;1;52;790;75;3;189;53;301;157;255;1.874;32;3.893;14;109;24;1;13;1;46;24;23;6;2;0;259;14;989;2.169;636;5;893;354;731;223;429;3.278;88;10.331
;04:2,01 a 3,00;19;75;8;2;11;1;23;18;5;3;0;0;143;114;747;732;281;18;607;384;249;22;217;2.714;82;6.475;2;6;1;1;1;0;0;8;4;0;1;0;33;64;42;439;61;24;136;71;261;66;338;3.959;35;5.553;21;81;9;3;12;1;23;26;9;3;1;0;176;178;789;1.171;342;42;743;455;510;88;555;6.673;117;12.028
;05:3,01 a 4,00;6;21;1;0;1;1;6;1;5;0;0;0;47;141;206;264;113;56;46;68;76;30;228;1.502;46;2.865;0;3;0;0;0;1;1;0;1;0;0;0;18;27;12;124;38;61;38;20;79;46;294;2.658;27;3.448;6;24;1;0;1;2;7;1;6;0;0;0;65;168;218;388;151;117;84;88;155;76;522;4.160;73;6.313
;06:4,01 a 5,00;3;8;0;0;1;0;1;1;2;2;0;0;18;162;69;113;52;46;27;33;29;11;165;1.284;15;2.042;1;4;0;0;0;0;0;0;0;0;0;0;11;18;7;46;15;36;28;10;41;22;197;2.011;12;2.459;4;12;0;0;1;0;1;1;2;2;0;0;29;180;76;159;67;82;55;43;70;33;362;3.295;27;4.501
;07:5,01 a 7,00;2;7;0;0;0;0;1;2;0;0;0;0;11;133;87;102;29;61;29;38;64;42;243;3.565;19;4.435;0;1;0;0;0;0;0;0;0;0;0;0;5;50;5;34;14;57;29;11;90;41;298;5.203;14;5.852;2;8;0;0;0;0;1;2;0;0;0;0;16;183;92;136;43;118;58;49;154;83;541;8.768;33;10.287
;08:7,01 a 10,00;0;0;0;0;0;0;0;1;0;0;0;0;3;114;19;34;16;56;29;14;44;101;201;1.179;12;1.823;1;1;0;0;0;0;0;0;0;0;0;0;1;33;2;19;6;48;24;8;45;22;264;1.434;5;1.913;1;1;0;0;0;0;0;1;0;0;0;0;4;147;21;53;22;104;53;22;89;123;465;2.613;17;3.736
;09:10,01 a 15,00;0;1;0;0;0;0;0;0;0;0;0;0;0;84;7;13;11;33;30;21;30;10;168;780;0;1.188;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;3;3;26;14;3;70;23;212;633;2;1.024;0;1;0;0;0;0;0;0;0;0;0;0;0;119;7;16;14;59;44;24;100;33;380;1.413;2;2.212
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;31;4;4;4;18;15;3;12;5;48;417;0;561;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;1;10;6;1;12;5;50;245;0;346;0;0;0;0;0;0;0;0;0;0;0;0;0;45;4;6;5;28;21;4;24;10;98;662;0;907
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;79;2;3;1;21;32;1;5;0;69;530;2;745;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;1;0;6;22;0;0;1;44;251;1;347;0;0;0;0;0;0;0;0;0;0;0;0;0;100;2;4;1;27;54;1;5;1;113;781;3;1.092
;{ñ class};1;6;1;0;0;0;0;1;1;0;0;0;2;14;42;33;12;1;14;24;48;2;24;154;6;386;0;0;0;0;0;0;0;0;0;0;0;0;3;1;6;15;4;2;3;2;29;5;16;174;0;260;1;6;1;0;0;0;0;1;1;0;0;0;5;15;48;48;16;3;17;26;77;7;40;328;6;646
150140:Belém - PA;Total;111;496;322;482;132;1.164;2.024;1.746;520;969;170;23;4.896;4.179;23.422;36.195;7.170;3.850;33.601;13.903;22.230;5.590;10.942;69.001;1.029;244.167;59;78;57;73;48;86;239;750;151;340;541;19;1.991;918;2.263;30.860;2.812;3.905;12.698;3.099;23.601;14.185;12.379;68.375;202;179.729;170;574;379;555;180;1.250;2.263;2.496;671;1.309;711;42;6.887;5.097;25.685;67.055;9.982;7.755;46.299;17.002;45.831;19.775;23.321;137.376;1.231;423.896
;00:Até 0,50;0;0;2;1;0;0;8;20;2;9;0;0;30;3;27;264;15;7;61;114;318;30;218;20;2;1.151;0;0;0;1;0;0;1;18;5;3;0;0;34;0;9;224;13;23;28;55;462;59;133;17;0;1.085;0;0;2;2;0;0;9;38;7;12;0;0;64;3;36;488;28;30;89;169;780;89;351;37;2;2.236
;01:0,51 a 1,00;4;5;8;11;4;4;91;68;11;17;23;0;125;4;333;2.342;301;26;547;221;1.023;127;783;1.111;228;7.417;1;1;3;7;4;0;10;38;10;7;55;0;101;4;72;1.627;147;50;608;101;1.292;273;763;1.651;22;6.847;5;6;11;18;8;4;101;106;21;24;78;0;226;8;405;3.969;448;76;1.155;322;2.315;400;1.546;2.762;250;14.264
;02:1,01 a 1,50;3;166;121;141;53;281;1.026;521;192;326;104;20;1.911;476;10.000;18.679;2.661;209;9.366;3.966;11.281;1.720;2.024;6.736;460;72.443;4;22;31;34;29;23;103;319;71;205;424;18;1.289;211;1.018;17.492;1.351;450;6.035;1.123;14.395;4.357;3.311;10.267;100;62.682;7;188;152;175;82;304;1.129;840;263;531;528;38;3.200;687;11.018;36.171;4.012;659;15.401;5.089;25.676;6.077;5.335;17.003;560;135.125
;03:1,51 a 2,00;8;108;108;123;43;364;422;314;159;170;27;2;920;690;7.789;6.966;1.676;121;7.262;1.862;4.724;1.211;852;4.236;133;40.290;2;8;15;7;5;19;49;116;20;39;31;0;223;123;493;5.529;441;281;2.122;377;2.971;3.542;986;5.619;8;23.026;10;116;123;130;48;383;471;430;179;209;58;2;1.143;813;8.282;12.495;2.117;402;9.384;2.239;7.695;4.753;1.838;9.855;141;63.316
;04:2,01 a 3,00;13;128;58;101;22;329;270;406;78;192;10;1;862;968;3.230;4.400;1.218;238;11.933;3.806;2.423;907;1.003;9.697;105;42.398;4;12;5;11;3;20;28;110;23;36;16;1;124;190;334;3.369;436;334;1.792;581;1.901;2.338;1.223;7.359;27;20.277;17;140;63;112;25;349;298;516;101;228;26;2;986;1.158;3.564;7.769;1.654;572;13.725;4.387;4.324;3.245;2.226;17.056;132;62.675
