;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;133;735;533;384;8;91;618;280;246;204;52;0;1.493;1.670;34.466;10.607;3.808;625;8.481;4.336;3.501;631;2.854;35.336;939;112.031;22;107;62;83;1;9;123;138;83;43;187;0;810;533;3.537;9.190;1.716;678;2.799;1.031;6.041;2.134;3.143;39.279;327;72.076;155;842;595;467;9;100;741;418;329;247;239;0;2.303;2.203;38.003;19.797;5.524;1.303;11.280;5.367;9.542;2.765;5.997;74.615;1.266;184.107
;00:Até 0,50;0;0;4;0;0;0;0;1;0;0;0;0;1;1;215;31;11;0;27;2;17;1;8;149;1;469;0;0;0;0;0;0;0;0;0;0;0;0;1;1;170;33;4;0;8;4;16;2;16;136;2;393;0;0;4;0;0;0;0;1;0;0;0;0;2;2;385;64;15;0;35;6;33;3;24;285;3;862
;01:0,51 a 1,00;1;23;21;1;0;4;19;6;8;1;2;0;24;0;175;290;71;5;165;52;139;15;67;1.239;100;2.428;1;8;4;0;0;0;10;8;2;1;7;0;38;1;35;240;57;14;149;60;277;86;180;1.849;46;3.073;2;31;25;1;0;4;29;14;10;2;9;0;62;1;210;530;128;19;314;112;416;101;247;3.088;146;5.501
;02:1,01 a 1,50;19;202;158;87;7;46;158;78;75;48;28;0;465;86;2.592;4.373;1.143;49;2.233;666;1.469;180;357;2.939;342;17.800;12;46;28;14;0;7;79;71;45;24;122;0;514;95;542;5.077;951;132;1.438;330;3.547;1.038;675;5.669;184;20.640;31;248;186;101;7;53;237;149;120;72;150;0;979;181;3.134;9.450;2.094;181;3.671;996;5.016;1.218;1.032;8.608;526;38.440
;03:1,51 a 2,00;38;220;168;95;0;22;214;70;80;39;12;0;457;118;6.025;2.537;1.035;26;4.132;854;663;176;305;4.701;257;22.244;4;14;12;17;1;2;18;16;10;5;36;0;145;49;747;2.077;341;28;664;190;961;559;401;6.755;62;13.114;42;234;180;112;1;24;232;86;90;44;48;0;602;167;6.772;4.614;1.376;54;4.796;1.044;1.624;735;706;11.456;319;35.358
;04:2,01 a 3,00;45;152;101;77;1;13;162;82;46;34;9;0;341;108;12.337;1.698;857;61;1.137;1.333;519;122;390;6.074;164;25.863;2;18;13;30;0;0;11;26;13;8;20;0;58;13;1.417;1.036;198;85;266;225;446;263;391;5.826;20;10.385;47;170;114;107;1;13;173;108;59;42;29;0;399;121;13.754;2.734;1.055;146;1.403;1.558;965;385;781;11.900;184;36.248
;05:3,01 a 4,00;20;51;43;45;0;3;46;27;11;19;0;0;104;147;5.553;714;318;93;259;671;188;51;340;5.894;43;14.640;2;6;2;11;0;0;4;7;7;2;1;0;26;43;219;349;72;113;97;81;177;71;279;9.432;8;11.009;22;57;45;56;0;3;50;34;18;21;1;0;130;190;5.772;1.063;390;206;356;752;365;122;619;15.326;51;25.649
;06:4,01 a 5,00;6;31;17;15;0;1;9;9;11;13;1;0;34;52;1.941;359;113;55;101;279;118;31;253;3.461;15;6.925;0;3;3;3;0;0;0;4;2;1;1;0;16;23;120;155;45;64;31;42;106;46;187;2.870;3;3.725;6;34;20;18;0;1;9;13;13;14;2;0;50;75;2.061;514;158;119;132;321;224;77;440;6.331;18;10.650
;07:5,01 a 7,00;1;27;14;23;0;0;6;4;9;19;0;0;34;189;2.299;300;124;115;141;161;82;16;312;3.543;7;7.426;1;5;0;2;0;0;1;2;3;1;0;0;5;66;125;103;27;93;62;47;123;30;276;2.762;1;3.735;2;32;14;25;0;0;7;6;12;20;0;0;39;255;2.424;403;151;208;203;208;205;46;588;6.305;8;11.161
