;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;155;617;238;139;28;62;715;183;229;129;65;15;1.561;2.828;3.501;11.232;4.249;723;8.206;4.740;3.533;1.133;3.296;34.795;988;83.360;28;71;35;19;4;12;142;61;64;54;149;0;1.081;676;371;9.726;1.691;889;3.639;1.207;5.484;3.630;4.474;39.679;139;73.325;183;688;273;158;32;74;857;244;293;183;214;15;2.642;3.504;3.872;20.958;5.940;1.612;11.845;5.947;9.017;4.763;7.770;74.474;1.127;156.685
;00:Até 0,50;0;4;1;0;0;0;0;0;1;1;0;0;20;13;5;98;33;4;23;26;61;9;36;154;1;490;0;4;1;0;0;0;1;0;0;0;1;0;13;19;7;94;26;8;39;46;93;20;39;74;0;485;0;8;2;0;0;0;1;0;1;1;1;0;33;32;12;192;59;12;62;72;154;29;75;228;1;975
;01:0,51 a 1,00;2;9;6;0;3;1;18;5;3;3;2;0;31;28;43;195;88;14;255;47;150;36;132;957;80;2.108;1;6;2;0;0;1;7;3;2;2;11;0;25;23;13;236;87;17;192;43;240;105;233;577;30;1.856;3;15;8;0;3;2;25;8;5;5;13;0;56;51;56;431;175;31;447;90;390;141;365;1.534;110;3.964
;02:1,01 a 1,50;38;209;94;66;15;25;244;80;95;39;39;12;685;127;876;5.115;1.313;51;1.489;1.046;1.458;374;504;4.680;351;19.025;8;23;23;13;1;6;96;32;26;28;110;0;684;64;161;5.432;830;120;1.439;488;2.699;1.494;1.123;8.634;71;23.605;46;232;117;79;16;31;340;112;121;67;149;12;1.369;191;1.037;10.547;2.143;171;2.928;1.534;4.157;1.868;1.627;13.314;422;42.630
;03:1,51 a 2,00;32;141;70;32;6;14;226;45;85;33;17;1;381;211;1.107;2.816;1.029;33;3.829;876;869;317;337;2.479;303;15.289;1;10;6;2;1;4;20;15;17;8;17;0;162;41;68;2.116;288;64;1.071;186;1.300;998;437;4.253;20;11.105;33;151;76;34;7;18;246;60;102;41;34;1;543;252;1.175;4.932;1.317;97;4.900;1.062;2.169;1.315;774;6.732;323;26.394
;04:2,01 a 3,00;36;116;49;23;4;13;160;34;23;15;3;2;255;443;630;1.487;724;98;1.518;1.187;398;199;399;7.621;176;15.613;5;15;1;2;1;1;13;5;12;7;5;0;96;59;51;839;196;148;396;153;360;523;560;12.835;11;16.294;41;131;50;25;5;14;173;39;35;22;8;2;351;502;681;2.326;920;246;1.914;1.340;758;722;959;20.456;187;31.907
;05:3,01 a 4,00;5;49;7;3;0;2;30;11;7;10;0;0;59;241;242;512;541;92;259;552;151;90;334;6.127;37;9.361;4;6;1;1;0;0;0;2;2;1;2;0;20;83;22;292;81;104;108;77;144;193;475;4.883;3;6.504;9;55;8;4;0;2;30;13;9;11;2;0;79;324;264;804;622;196;367;629;295;283;809;11.010;40;15.865
;06:4,01 a 5,00;6;14;2;1;0;2;12;3;4;0;2;0;33;208;73;226;112;60;113;242;58;31;212;2.922;12;4.348;2;1;0;0;0;0;4;2;2;1;0;0;15;50;5;113;37;86;42;37;43;105;253;2.045;0;2.843;8;15;2;1;0;2;16;5;6;1;2;0;48;258;78;339;149;146;155;279;101;136;465;4.967;12;7.191
;07:5,01 a 7,00;3;12;0;0;0;2;3;3;3;2;1;0;15;401;41;193;121;97;88;200;81;30;303;4.322;8;5.929;1;3;1;0;0;0;1;1;1;1;0;0;7;86;6;96;33;130;51;35;77;53;347;2.860;1;3.791;4;15;1;0;0;2;4;4;4;3;1;0;22;487;47;289;154;227;139;235;158;83;650;7.182;9;9.720
