Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;04:Indústria Mecânica;10:Indústria Química;11:Indústria Têxtil;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;24:Administração Pública;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total
;06:4,01 a 5,00;12;32;286;326;760;1.170;8;80;144;494;13;0;208;166;474;615;373;169;868;1.379;412;179;403;5.170;9;4;1;13.755;0;6;78;135;377;172;3;29;40;143;1;0;78;66;81;504;212;234;445;169;463;556;586;8.136;2;0;0;12.516;0;0;0;0;0;0;0;0;0;0;0;0;12;38;364;461;1.137;1.342;11;109;184;637;14;0;286;232;555;1.119;585;403;1.313;1.548;875;735;989;13.306;11;4;1;26.271
;07:5,01 a 7,00;21;19;350;409;1.031;1.231;7;54;158;565;3;0;226;193;304;669;352;198;987;746;327;195;544;6.793;8;4;1;15.395;3;3;91;264;367;215;6;26;55;143;3;0;95;72;64;572;182;243;593;160;407;485;691;7.749;2;0;0;12.491;0;0;0;0;0;0;0;0;0;0;0;0;24;22;441;673;1.398;1.446;13;80;213;708;6;0;321;265;368;1.241;534;441;1.580;906;734;680;1.235;14.542;10;4;1;27.886
;08:7,01 a 10,00;17;9;268;318;680;693;4;23;81;354;0;0;125;191;228;595;219;213;847;353;204;159;428;7.414;2;4;1;13.430;6;3;73;134;257;126;3;8;37;86;0;0;56;87;38;546;112;213;399;101;214;197;458;5.040;3;0;0;8.197;0;0;0;0;0;0;0;0;0;0;0;0;23;12;341;452;937;819;7;31;118;440;0;0;181;278;266;1.141;331;426;1.246;454;418;356;886;12.454;5;4;1;21.627
;09:10,01 a 15,00;15;6;119;179;361;503;4;10;33;199;0;0;49;149;201;529;182;158;575;208;126;70;381;4.055;3;2;0;8.117;3;0;35;64;117;77;0;2;11;45;0;0;39;57;26;452;90;161;204;62;162;124;374;2.553;1;1;0;4.660;0;0;0;0;0;0;0;0;0;0;0;0;18;6;154;243;478;580;4;12;44;244;0;0;88;206;227;981;272;319;779;270;288;194;755;6.608;4;3;0;12.777
;10:15,01 a 20,00;0;3;16;71;114;152;1;3;13;93;0;0;16;117;111;248;66;81;214;65;33;31;163;2.403;1;5;1;4.021;1;0;15;17;38;18;0;1;8;10;0;0;17;29;5;212;46;62;66;18;27;66;125;1.402;0;0;0;2.183;0;0;0;0;0;0;0;0;0;0;0;0;1;3;31;88;152;170;1;4;21;103;0;0;33;146;116;460;112;143;280;83;60;97;288;3.805;1;5;1;6.204
;11:Mais de 20,00;8;0;44;74;134;203;2;1;16;141;0;0;26;218;127;335;92;295;477;171;27;23;35;2.034;1;1;0;4.485;2;0;20;12;44;15;0;0;4;17;0;0;23;21;11;322;39;294;242;87;20;57;50;1.029;1;0;0;2.310;0;0;0;0;0;0;0;0;0;0;0;0;10;0;64;86;178;218;2;1;20;158;0;0;49;239;138;657;131;589;719;258;47;80;85;3.063;2;1;0;6.795
;{ñ class};18;70;367;547;313;534;70;189;134;367;76;0;773;450;2.572;3.353;722;105;4.564;2.853;2.192;288;817;142;85;7;1;21.609;4;9;71;290;448;55;12;59;71;170;91;0;680;72;236;2.561;389;113;2.050;673;2.304;1.110;1.288;63;16;1;0;12.836;0;0;0;0;0;0;0;0;1;0;0;1;22;79;438;837;761;589;82;248;205;537;167;0;1.453;522;2.808;5.914;1.111;218;6.614;3.526;4.497;1.398;2.105;205;101;8;1;34.446
140010:Boa Vista - RR;Total;77;405;161;21;65;30;47;83;80;13;105;0;1.248;1.053;3.942;11.022;2.934;315;5.324;2.074;4.521;677;2.008;9.459;705;35;5;46.409;10;51;26;7;11;3;8;41;34;10;149;0;543;339;460;8.963;1.191;370;3.380;566;6.184;1.781;3.036;14.101;135;1;0;41.400;0;0;0;0;0;0;0;0;0;0;0;0;87;456;187;28;76;33;55;124;114;23;254;0;1.791;1.392;4.402;19.985;4.125;685;8.704;2.640;10.705;2.458;5.044;23.560;840;36;5;87.809
;00:Até 0,50;0;3;0;1;0;0;1;0;0;0;0;0;23;10;66;191;26;0;66;17;47;11;27;6;5;0;0;500;0;1;0;0;0;1;1;1;0;0;2;0;10;8;38;179;19;3;54;11;79;11;37;12;2;0;0;469;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;2;1;0;0;2;0;33;18;104;370;45;3;120;28;126;22;64;18;7;0;0;969
;01:0,51 a 1,00;2;39;37;3;11;0;5;9;15;0;14;0;154;28;273;1.209;290;1;490;134;457;55;146;447;102;1;1;3.923;1;10;6;1;2;0;2;8;6;2;23;0;60;18;55;1.026;149;10;652;64;757;231;289;532;31;0;0;3.935;0;0;0;0;0;0;0;0;0;0;0;0;3;49;43;4;13;0;7;17;21;2;37;0;214;46;328;2.235;439;11;1.142;198;1.214;286;435;979;133;1;1;7.858
;02:1,01 a 1,50;22;194;75;10;36;19;27;50;21;3;64;0;552;41;993;5.636;1.331;3;2.399;898;2.370;241;309;1.551;266;2;2;17.115;7;19;8;1;6;0;4;22;15;5;102;0;283;14;154;5.217;591;13;1.722;259;3.553;787;691;2.647;60;1;0;16.181;0;0;0;0;0;0;0;0;0;0;0;0;29;213;83;11;42;19;31;72;36;8;166;0;835;55;1.147;10.853;1.922;16;4.121;1.157;5.923;1.028;1.000;4.198;326;3;2;33.296
;03:1,51 a 2,00;28;80;15;1;9;2;5;6;12;6;10;0;220;60;944;1.573;560;7;1.327;403;544;97;130;844;87;7;1;6.978;1;10;5;1;2;0;0;6;3;0;10;0;54;17;48;921;139;17;271;47;521;199;239;1.534;17;0;0;4.062;0;0;0;0;0;0;0;0;0;0;0;0;29;90;20;2;11;2;5;12;15;6;20;0;274;77;992;2.494;699;24;1.598;450;1.065;296;369;2.378;104;7;1;11.040
;04:2,01 a 3,00;12;47;3;2;3;5;2;6;5;4;9;0;156;250;678;835;285;18;268;238;259;58;234;1.575;102;1;1;5.056;1;3;0;3;1;0;0;2;3;2;2;0;30;92;25;538;103;36;181;53;292;113;384;2.713;13;0;0;4.590;0;0;0;0;0;0;0;0;0;0;0;0;13;50;3;5;4;5;2;8;8;6;11;0;186;342;703;1.373;388;54;449;291;551;171;618;4.288;115;1;1;9.646
;05:3,01 a 4,00;4;2;7;0;1;1;0;0;2;0;0;0;40;173;195;301;107;45;90;120;120;36;198;1.136;45;1;0;2.624;0;0;0;0;0;0;0;0;0;0;0;0;11;75;33;187;41;61;74;22;130;51;242;2.601;5;0;0;3.533;0;0;0;0;0;0;0;0;0;0;0;0;4;2;7;0;1;1;0;0;2;0;0;0;51;248;228;488;148;106;164;142;250;87;440;3.737;50;1;0;6.157
;06:4,01 a 5,00;5;2;1;0;1;0;0;1;1;0;0;0;9;150;113;168;48;36;42;56;66;8;117;973;26;2;0;1.825;0;1;1;0;0;0;1;0;0;0;1;0;3;33;13;70;27;33;29;11;94;26;150;1.467;0;0;0;1.960;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;1;0;1;1;1;0;1;0;12;183;126;238;75;69;71;67;160;34;267;2.440;26;2;0;3.785
;07:5,01 a 7,00;1;1;2;0;1;0;0;0;0;0;0;0;7;114;83;141;46;39;66;19;45;5;164;781;16;5;0;1.536;0;0;0;0;0;0;0;0;0;0;1;0;1;27;21;84;19;52;25;4;97;7;248;867;3;0;0;1.456;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;1;0;8;141;104;225;65;91;91;23;142;12;412;1.648;19;5;0;2.992
;08:7,01 a 10,00;0;0;0;0;0;0;0;0;0;0;1;0;1;89;60;92;44;41;72;20;30;6;222;759;4;6;0;1.447;0;0;0;0;0;0;0;0;0;0;1;0;1;24;6;77;15;45;9;5;36;10;239;774;0;0;0;1.242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;113;66;169;59;86;81;25;66;16;461;1.533;4;6;0;2.689
;09:10,01 a 15,00;0;0;0;0;0;0;0;0;0;0;1;0;1;59;46;70;29;33;35;16;23;2;245;786;2;4;0;1.352;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;59;9;26;13;4;26;7;268;605;0;0;0;1.031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;71;48;129;38;59;48;20;49;9;513;1.391;2;4;0;2.383
;10:15,01 a 20,00;1;0;0;0;0;0;0;0;0;0;0;0;0;25;22;39;11;12;11;11;17;2;127;280;1;0;0;559;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;32;3;8;5;5;29;4;89;183;0;0;0;366;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;31;24;71;14;20;16;16;46;6;216;463;1;0;0;925
;11:Mais de 20,00;0;0;15;0;0;0;2;0;0;0;0;0;0;17;51;65;12;45;42;26;27;4;20;304;3;4;0;637;0;0;5;0;0;0;0;0;1;0;0;0;0;3;10;30;5;34;24;18;24;4;23;146;0;0;0;327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;2;0;1;0;0;0;0;20;61;95;17;79;66;44;51;8;43;450;3;4;0;964
;{ñ class};2;37;6;4;3;3;5;11;24;0;6;0;85;37;418;702;145;35;416;116;516;152;69;17;46;2;0;2.857;0;7;1;1;0;2;0;2;6;1;7;0;90;10;53;543;71;32;321;63;546;331;137;20;4;0;0;2.248;0;0;0;0;0;0;0;0;0;0;0;0;2;44;7;5;3;5;5;13;30;1;13;0;175;47;471;1.245;216;67;737;179;1.062;483;206;37;50;2;0;5.105
150140:Belém - PA;Total;33;458;173;391;191;625;1.460;1.152;435;405;161;3;4.537;3.294;18.263;32.822;5.594;4.472;42.141;13.334;24.998;8.510;10.898;74.993;811;51;1;250.206;22;70;32;53;18;63;211;475;157;134;302;2;2.270;416;1.787;28.878;2.964;4.547;17.038;3.091;21.301;21.136;13.871;64.722;129;3;0;183.692;0;0;0;0;0;0;0;0;1;0;0;1;55;528;205;444;209;688;1.671;1.627;592;539;463;5;6.807;3.710;20.050;61.700;8.558;9.019;59.179;16.425;46.300;29.646;24.769;139.715;940;54;1;433.899
;00:Até 0,50;0;4;1;0;1;12;27;20;4;9;2;0;50;30;179;407;76;27;365;153;385;91;487;30;1;0;0;2.361;0;7;1;0;0;7;3;25;3;4;3;0;43;39;74;484;40;51;225;76;499;170;391;10;3;0;0;2.158;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;1;19;30;45;7;13;5;0;93;69;253;891;116;78;590;229;884;261;878;40;4;0;0;4.519
;01:0,51 a 1,00;0;11;21;28;5;5;51;35;24;7;12;0;278;28;700;2.472;303;46;1.562;589;1.841;360;1.141;1.450;126;3;0;11.098;0;1;7;8;3;2;19;33;18;8;33;1;201;5;95;2.104;198;62;1.346;237;2.247;784;1.285;1.242;12;0;0;9.951;0;0;0;0;0;0;0;0;0;0;0;0;0;12;28;36;8;7;70;68;42;15;45;1;479;33;795;4.576;501;108;2.908;826;4.088;1.144;2.426;2.692;138;3;0;21.049
;02:1,01 a 1,50;1;116;64;116;14;109;574;266;207;135;97;3;1.886;334;4.872;16.200;2.101;277;12.424;4.013;11.970;2.409;2.001;6.091;357;16;0;66.653;0;19;15;26;3;13;62;151;79;56;169;0;1.262;14;593;14.405;1.286;379;7.302;1.089;10.814;5.636;3.401;8.848;56;1;0;55.679;0;0;0;0;0;0;0;0;0;0;0;0;1;135;79;142;17;122;636;417;286;191;266;3;3.148;348;5.465;30.605;3.387;656;19.726;5.102;22.784;8.045;5.402;14.939;413;17;0;122.332
;03:1,51 a 2,00;0;98;35;84;15;161;348;257;105;94;29;0;769;585;4.254;5.475;1.095;304;11.977;2.851;3.316;1.453;805;8.786;152;7;0;43.055;0;9;5;5;2;11;52;108;24;19;27;0;198;43;353;4.810;463;582;2.624;461;2.357;3.657;971;7.623;17;1;0;24.422;0;0;0;0;0;0;0;0;0;0;0;0;0;107;40;89;17;172;400;365;129;113;56;0;967;628;4.607;10.285;1.558;886;14.601;3.312;5.673;5.110;1.776;16.409;169;8;0;67.477
;04:2,01 a 3,00;5;124;4;45;11;193;225;250;52;69;5;0;651;809;3.728;3.065;722;357;8.766;1.612;2.351;1.410;1.140;6.765;59;2;0;32.420;1;12;0;4;1;6;35;69;9;21;8;0;152;61;281;2.236;373;442;1.691;342;1.836;3.769;1.473;6.084;9;0;0;18.915;0;0;0;0;0;0;0;0;0;0;0;0;6;136;4;49;12;199;260;319;61;90;13;0;803;870;4.009;5.301;1.095;799;10.457;1.954;4.187;5.179;2.613;12.849;68;2;0;51.335
;05:3,01 a 4,00;1;18;1;28;103;57;67;123;8;27;0;0;232;302;829;937;311;328;1.446;1.155;722;884;813;12.175;17;1;0;20.585;1;2;1;1;3;4;12;24;3;7;0;0;67;53;83;765;137;455;657;181;724;1.940;1.111;6.509;11;0;0;12.751;0;0;0;0;0;0;0;0;0;0;0;0;2;20;2;29;106;61;79;147;11;34;0;0;299;355;912;1.702;448;783;2.103;1.336;1.446;2.824;1.924;18.684;28;1;0;33.336
;06:4,01 a 5,00;1;20;3;10;6;22;46;46;3;11;1;0;101;176;276;464;123;290;601;552;301;325;621;11.581;6;6;0;15.592;0;3;0;1;0;9;8;16;5;2;0;0;25;26;37;491;69;282;392;97;359;807;780;6.534;5;0;0;9.948;0;0;0;0;0;0;0;0;0;0;0;0;1;23;3;11;6;31;54;62;8;13;1;0;126;202;313;955;192;572;993;649;660;1.132;1.401;18.115;11;6;0;25.540
;07:5,01 a 7,00;2;19;1;5;5;23;22;47;1;17;0;0;113;203;448;510;144;656;576;408;251;416;872;7.019;5;5;0;11.768;3;3;0;0;0;2;4;8;1;5;0;0;30;58;43;525;61;553;361;99;472;1.164;1.069;9.391;5;0;0;13.857;0;0;0;0;0;0;0;0;0;0;0;0;5;22;1;5;5;25;26;55;2;22;0;0;143;261;491;1.035;205;1.209;937;507;723;1.580;1.941;16.410;10;5;0;25.625
;08:7,01 a 10,00;7;11;0;4;3;5;6;20;1;11;0;0;41;133;424;362;132;795;518;271;144;358;774;9.714;3;4;0;13.741;5;6;0;0;0;4;6;6;0;3;0;0;12;45;25;358;18;591;292;88;197;935;951;11.273;5;0;0;14.820;0;0;0;0;0;0;0;0;0;0;0;0;12;17;0;4;3;9;12;26;1;14;0;0;53;178;449;720;150;1.386;810;359;341;1.293;1.725;20.987;8;4;0;28.561
;09:10,01 a 15,00;3;2;0;2;6;6;8;11;0;5;0;0;34;103;260;424;54;619;446;196;147;278;842;6.358;3;1;0;9.808;4;1;0;0;1;3;0;4;0;5;0;0;13;22;16;339;26;462;209;35;177;658;851;4.528;1;0;0;7.355;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;2;7;9;8;15;0;10;0;0;47;125;276;763;80;1.081;655;231;324;936;1.693;10.886;4;1;0;17.163
;10:15,01 a 20,00;5;0;0;0;0;0;4;1;0;1;0;0;6;45;104;227;29;170;186;77;45;168;465;2.023;0;0;0;3.556;2;1;0;0;0;0;0;1;0;0;0;0;2;20;5;191;11;141;109;15;38;540;379;1.189;0;0;0;2.644;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;4;2;0;1;0;0;8;65;109;418;40;311;295;92;83;708;844;3.212;0;0;0;6.200
;11:Mais de 20,00;7;3;0;2;2;0;1;6;0;3;0;0;15;108;120;262;71;430;442;176;162;109;86;2.590;0;1;0;4.596;5;0;0;0;0;0;0;3;0;1;0;0;2;12;12;274;18;380;229;89;52;342;124;1.459;0;0;0;3.002;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;2;2;0;1;9;0;4;0;0;17;120;132;536;89;810;671;265;214;451;210;4.049;0;1;0;7.598
;{ñ class};1;32;43;67;20;32;81;70;30;16;15;0;361;438;2.069;2.017;433;173;2.832;1.281;3.363;249;851;411;82;5;1;14.973;1;6;3;8;5;2;10;27;15;3;62;1;263;18;170;1.896;264;167;1.601;282;1.529;734;1.085;32;5;1;0;8.190;0;0;0;0;0;0;0;0;1;0;0;1;2;38;46;75;25;34;91;97;45;19;77;1;624;456;2.239;3.913;697;340;4.433;1.563;4.893;983;1.936;443;87;6;1;23.164
160030:Macapá - AP;Total;11;268;96;26;10;12;21;104;51;18;32;0;673;1.064;4.852;11.563;3.486;474;7.560;2.313;3.178;1.272;1.730;21.539;372;12;0;60.737;6;32;13;3;4;4;5;34;23;25;61;2;454;304;743;7.539;1.669;515;7.336;828;3.354;2.352;2.506;25.593;41;1;1;53.448;0;0;0;0;0;0;0;0;0;0;0;0;17;300;109;29;14;16;26;138;74;43;93;2;1.127;1.368;5.595;19.102;5.155;989;14.896;3.141;6.532;3.624;4.236;47.132;413;13;1;114.185
;00:Até 0,50;0;1;0;0;0;0;0;0;0;0;0;0;10;15;29;88;22;1;29;19;32;21;28;149;1;0;0;445;0;0;0;0;0;0;0;0;1;0;0;0;2;18;15;92;9;2;35;19;26;31;44;170;0;0;0;464;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;12;33;44;180;31;3;64;38;58;52;72;319;1;0;0;909
;01:0,51 a 1,00;0;16;12;3;2;0;5;18;10;2;5;0;73;25;283;1.472;287;16;515;164;303;62;198;530;115;0;0;4.116;0;1;1;0;1;0;1;5;6;2;7;1;71;6;73;938;112;8;562;104;419;218;339;746;10;0;0;3.631;0;0;0;0;0;0;0;0;0;0;0;0;0;17;13;3;3;0;6;23;16;4;12;1;144;31;356;2.410;399;24;1.077;268;722;280;537;1.276;125;0;0;7.747
;02:1,01 a 1,50;4;141;57;16;4;7;9;48;25;7;18;0;361;246;1.577;6.021;1.691;15;3.346;923;1.623;456;446;624;190;0;0;17.855;1;13;11;2;2;3;3;25;12;19;30;0;229;65;313;4.014;945;43;4.865;424;1.859;911;662;546;25;1;0;15.023;0;0;0;0;0;0;0;0;0;0;0;0;5;154;68;18;6;10;12;73;37;26;48;0;590;311;1.890;10.035;2.636;58;8.211;1.347;3.482;1.367;1.108;1.170;215;1;0;32.878
;03:1,51 a 2,00;1;44;12;3;2;3;2;10;7;7;3;0;98;155;952;1.597;573;24;1.110;416;362;267;178;786;28;0;0;6.640;1;9;0;0;0;0;1;1;1;3;5;1;59;44;68;981;160;35;646;66;287;550;220;1.024;4;0;0;4.166;0;0;0;0;0;0;0;0;0;0;0;0;2;53;12;3;2;3;3;11;8;10;8;1;157;199;1.020;2.578;733;59;1.756;482;649;817;398;1.810;32;0;0;10.806
;04:2,01 a 3,00;2;23;2;2;1;2;0;8;5;2;0;0;24;101;527;779;450;29;1.677;278;189;103;193;2.281;12;0;0;6.690;1;1;0;1;0;1;0;0;1;1;0;0;23;35;40;475;143;32;553;55;183;195;297;2.551;0;0;0;4.588;0;0;0;0;0;0;0;0;0;0;0;0;3;24;2;3;1;3;0;8;6;3;0;0;47;136;567;1.254;593;61;2.230;333;372;298;490;4.832;12;0;0;11.278
;05:3,01 a 4,00;2;1;1;0;0;0;0;0;2;0;0;0;2;108;256;277;126;42;179;107;114;74;162;2.694;3;0;0;4.150;0;2;0;0;0;0;0;0;0;0;0;0;10;39;8;171;35;52;63;32;113;98;181;4.279;0;0;0;5.083;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;2;0;0;0;12;147;264;448;161;94;242;139;227;172;343;6.973;3;0;0;9.233
;06:4,01 a 5,00;0;4;0;0;0;0;0;0;0;0;0;0;2;44;121;119;54;24;42;49;27;176;88;2.890;0;1;0;3.641;1;4;0;0;0;0;0;0;0;0;0;0;1;20;1;88;16;31;40;10;34;122;82;2.870;0;0;0;3.320;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;3;64;122;207;70;55;82;59;61;298;170;5.760;0;1;0;6.961
;07:5,01 a 7,00;0;1;0;0;0;0;0;0;0;0;0;0;1;97;64;122;57;60;36;65;37;40;92;4.412;2;5;0;5.091;1;0;0;0;0;0;0;0;0;0;0;0;0;26;4;86;18;53;44;8;38;26;124;6.500;0;0;0;6.928;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;123;68;208;75;113;80;73;75;66;216;10.912;2;5;0;12.019
;08:7,01 a 10,00;1;0;0;0;0;0;0;0;0;0;0;0;0;116;41;84;30;50;37;39;27;13;86;3.286;0;3;0;3.813;0;0;0;0;0;0;0;0;0;0;2;0;0;13;2;67;9;44;37;11;14;25;80;3.943;0;0;0;4.247;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;129;43;151;39;94;74;50;41;38;166;7.229;0;3;0;8.060
;09:10,01 a 15,00;0;0;0;0;0;0;0;0;0;0;0;0;0;26;55;87;24;30;67;20;91;6;65;1.948;0;0;0;2.419;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;62;6;30;33;10;19;9;45;1.937;0;0;1;2.166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;36;57;149;30;60;100;30;110;15;110;3.885;0;0;1;4.585
;10:15,01 a 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;7;68;43;5;22;57;5;2;2;12;883;0;0;0;1.106;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;35;6;9;19;3;8;2;2;500;0;0;0;588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;68;78;11;31;76;8;10;4;14;1.383;0;0;0;1.694
;11:Mais de 20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;34;82;65;4;56;58;18;5;4;3;978;0;0;0;1.307;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;44;1;36;28;14;6;2;7;496;0;0;0;638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;36;83;109;5;92;86;32;11;6;10;1.474;0;0;0;1.945
;{ñ class};1;37;12;2;1;0;5;20;2;0;6;0;102;90;797;809;163;105;407;210;366;48;179;78;21;3;0;3.464;1;2;1;0;1;0;0;3;2;0;17;0;56;22;216;486;209;140;411;72;348;163;423;31;2;0;0;2.606;0;0;0;0;0;0;0;0;0;0;0;0;2;39;13;2;2;0;5;23;4;0;23;0;158;112;1.013;1.295;372;245;818;282;714;211;602;109;23;3;0;6.070
172100:Palmas - TO;Total;153;581;281;233;7;70;141;144;130;183;40;1;882;1.667;4.473;9.304;2.517;460;7.900;2.507;4.230;1.130;3.574;30.485;394;11;8;71.506;26;77;45;27;5;9;18;60;58;31;64;3;736;388;501;7.825;1.125;564;5.288;721;5.677;4.576;4.371;44.056;140;1;0;76.392;0;0;0;0;0;0;0;0;0;0;0;0;179;658;326;260;12;79;159;204;188;214;104;4;1.618;2.055;4.974;17.129;3.642;1.024;13.188;3.228;9.907;5.706;7.945;74.541;534;12;8;147.898
;00:Até 0,50;0;3;1;0;0;0;0;0;0;0;0;0;9;0;21;121;12;2;59;24;367;13;22;16;0;0;0;670;0;1;0;0;0;0;0;1;0;0;0;0;5;2;9;106;19;4;117;10;449;25;35;46;0;0;0;829;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;14;2;30;227;31;6;176;34;816;38;57;62;0;0;0;1.499
;01:0,51 a 1,00;1;61;31;12;1;4;8;6;6;4;4;0;71;41;289;621;121;9;463;81;484;55;143;3.379;60;0;0;5.955;0;4;4;2;0;0;2;6;8;1;7;0;55;26;63;592;84;26;539;76;688;231;196;5.894;18;0;0;8.522;0;0;0;0;0;0;0;0;0;0;0;0;1;65;35;14;1;4;10;12;14;5;11;0;126;67;352;1.213;205;35;1.002;157;1.172;286;339;9.273;78;0;0;14.477
;02:1,01 a 1,50;15;182;145;89;4;37;63;39;29;61;24;0;261;261;1.089;4.079;806;24;2.305;595;1.613;352;330;3.901;103;0;0;16.407;10;34;25;12;4;4;8;21;19;13;44;2;309;70;223;4.136;463;65;2.557;273;2.781;1.877;614;6.068;37;0;0;19.669;0;0;0;0;0;0;0;0;0;0;0;0;25;216;170;101;8;41;71;60;48;74;68;2;570;331;1.312;8.215;1.269;89;4.862;868;4.394;2.229;944;9.969;140;0;0;36.076
;03:1,51 a 2,00;56;139;67;72;1;5;27;33;34;40;8;0;157;207;1.067;1.645;508;20;1.776;482;532;244;234;1.837;48;0;1;9.240;7;16;11;8;1;0;1;7;7;5;7;0;112;56;63;1.160;170;39;679;111;489;1.071;363;2.789;14;0;0;7.186;0;0;0;0;0;0;0;0;0;0;0;0;63;155;78;80;2;5;28;40;41;45;15;0;269;263;1.130;2.805;678;59;2.455;593;1.021;1.315;597;4.626;62;0;1;16.426
