;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;106;905;439;512;12;75;439;260;238;213;90;0;1.423;1.102;32.815;11.138;3.717;680;9.551;4.766;4.676;683;2.229;36.958;1.010;114.037;23;120;73;85;2;27;92;149;83;80;201;0;1.064;287;3.323;10.408;1.471;728;3.252;1.189;7.253;2.657;3.049;41.490;259;77.365;129;1.025;512;597;14;102;531;409;321;293;291;0;2.487;1.389;36.138;21.546;5.188;1.408;12.803;5.955;11.929;3.340;5.278;78.448;1.269;191.402
;00:Até 0,50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;211;61;8;1;27;13;41;1;10;98;1;474;0;0;1;0;0;0;0;0;0;0;0;0;2;0;157;48;5;0;17;18;45;3;24;129;0;449;1;1;1;0;0;0;0;0;0;0;0;0;2;0;368;109;13;1;44;31;86;4;34;227;1;923
;01:0,51 a 1,00;1;21;10;2;0;4;7;3;4;4;5;0;24;1;182;288;59;5;109;60;153;28;83;1.308;90;2.451;1;3;3;0;0;1;4;5;1;4;8;0;36;4;97;247;42;17;198;53;256;100;226;2.217;41;3.564;2;24;13;2;0;5;11;8;5;8;13;0;60;5;279;535;101;22;307;113;409;128;309;3.525;131;6.015
;02:1,01 a 1,50;16;195;115;42;3;29;94;79;64;56;38;0;466;29;1.948;4.255;1.014;56;1.551;554;1.483;168;293;3.045;327;15.920;10;53;42;12;1;12;60;77;34;46;126;0;632;21;470;5.410;744;122;1.361;379;3.812;1.184;649;5.788;139;21.184;26;248;157;54;4;41;154;156;98;102;164;0;1.098;50;2.418;9.665;1.758;178;2.912;933;5.295;1.352;942;8.833;466;37.104
;03:1,51 a 2,00;34;186;117;118;7;27;143;68;67;58;13;0;425;81;4.308;2.715;1.033;18;4.889;897;839;178;241;4.956;234;21.652;4;13;10;26;1;7;15;27;25;11;39;0;241;10;554;2.631;295;35;957;215;1.296;751;334;7.151;29;14.677;38;199;127;144;8;34;158;95;92;69;52;0;666;91;4.862;5.346;1.328;53;5.846;1.112;2.135;929;575;12.107;263;36.329
;04:2,01 a 3,00;27;191;110;134;2;12;131;75;53;35;16;0;298;115;10.698;2.019;831;66;1.868;1.517;759;158;287;4.632;249;24.283;6;21;12;16;0;3;7;20;13;12;23;0;79;24;1.225;1.276;206;90;354;279;692;348;402;6.494;29;11.631;33;212;122;150;2;15;138;95;66;47;39;0;377;139;11.923;3.295;1.037;156;2.222;1.796;1.451;506;689;11.126;278;35.914
;05:3,01 a 4,00;12;88;36;75;0;1;37;20;14;21;8;0;99;124;7.122;723;326;102;381;906;278;56;220;7.466;50;18.165;2;13;1;18;0;4;3;9;3;3;2;0;27;20;406;358;77;107;137;101;221;110;278;9.417;9;11.326;14;101;37;93;0;5;40;29;17;24;10;0;126;144;7.528;1.081;403;209;518;1.007;499;166;498;16.883;59;29.491
;06:4,01 a 5,00;10;111;27;49;0;0;13;6;20;4;5;0;36;48;2.159;399;135;81;200;298;303;31;157;2.804;19;6.915;0;6;2;6;0;0;0;4;3;2;2;0;12;18;100;183;44;83;58;34;175;72;187;2.566;1;3.558;10;117;29;55;0;0;13;10;23;6;7;0;48;66;2.259;582;179;164;258;332;478;103;344;5.370;20;10.473
;07:5,01 a 7,00;2;71;15;32;0;1;6;6;10;14;2;0;31;119;2.483;356;138;118;210;189;220;18;290;4.684;14;9.029;0;4;2;3;0;0;3;1;3;1;1;0;22;38;143;136;30;104;61;52;190;42;270;3.317;3;4.426;2;75;17;35;0;1;9;7;13;15;3;0;53;157;2.626;492;168;222;271;241;410;60;560;8.001;17;13.455
